"identifier","context","text"
"City:label","Label for City or Place Name http://rs.tdwg.org/dwc/terms/City","Název města nebo místa"
"City:rdfs_comment","Comment for City or Place Name http://rs.tdwg.org/dwc/terms/City","Název města, ve kterém se dané místo nachází. Tento prvek se nachází na čtvrté úrovni geografické hierarchie shora dolů."
"City:dcterms_description","Description for City or Place Name http://rs.tdwg.org/dwc/terms/City",""
"City:skos_scopeNote","Usage for City or Place Name http://rs.tdwg.org/dwc/terms/City",""
"CountryCode:label","Label for Country Code http://rs.tdwg.org/dwc/terms/CountryCode","Kód země"
"CountryCode:rdfs_comment","Comment for Country Code http://rs.tdwg.org/dwc/terms/CountryCode","ISO kód země nebo místa. Tento prvek se nachází na druhé úrovni geografické hierarchie shora dolů."
"CountryCode:dcterms_description","Description for Country Code http://rs.tdwg.org/dwc/terms/CountryCode",""
"CountryCode:skos_scopeNote","Usage for Country Code http://rs.tdwg.org/dwc/terms/CountryCode",""
"CountryName:label","Label for Country Name http://rs.tdwg.org/dwc/terms/CountryName","Název země"
"CountryName:rdfs_comment","Comment for Country Name http://rs.tdwg.org/dwc/terms/CountryName","Název země nebo místa. Tento prvek se nachází na druhé úrovni geografické hierarchie shora dolů."
"CountryName:dcterms_description","Description for Country Name http://rs.tdwg.org/dwc/terms/CountryName",""
"CountryName:skos_scopeNote","Usage for Country Name http://rs.tdwg.org/dwc/terms/CountryName","Toto pole může být volný text, ale pokud je to možné, je preferováno použití http://iptc.org/std/Iptc4xmpExt/2008-02-29/CountryCode."
"CVterm:label","Label for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm",""
"CVterm:rdfs_comment","Comment for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm","Termín popisující obsah obrázku pomocí hodnoty z řízeného slovníku. "
"CVterm:dcterms_description","Description for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm",""
"CVterm:skos_scopeNote","Usage for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm",""
"LocationCreated:label","Label for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated","Vytvořená lokalita"
"LocationCreated:rdfs_comment","Comment for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated","Lokalita, kde byl obsah položky vytvořen "
"LocationCreated:dcterms_description","Description for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated",""
"LocationCreated:skos_scopeNote","Usage for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated","Místo, kde byl umístěn záznamový přístroj v době vytvoření média."
"LocationShown:label","Label for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown","Zobrazená lokkalita"
"LocationShown:rdfs_comment","Comment for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown","Lokalita které se obsah položky týká. U fotografií se jedná o lokalitu zobrazenou na obrázku."
"LocationShown:dcterms_description","Description for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown",""
"LocationShown:skos_scopeNote","Usage for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown","Lokalita, která je zobrazena v mediálním obsahu, bez ohledu na lokalitu, ve které byl zdroj vytvořen."
"ProvinceState:label","Label for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState","Provincie nebo stát"
"ProvinceState:rdfs_comment","Comment for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState","Název subregionu země – provincie nebo státu – dané lokality. Tento prvek se nachází na třetí úrovni geografické hierarchie shora dolů."
"ProvinceState:dcterms_description","Description for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState",""
"ProvinceState:skos_scopeNote","Usage for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState","VOLITELNĚ geografická jednotka bezprostředně pod úrovní země (jednotlivé státy ve federálních zemích, provincie nebo jiné správní jednotky), ve které se nacházel předmět mediálního zdroje (např. druhy, stanoviště nebo události) (pokud jsou tyto informace k dispozici v samostatných polích)."
"Sublocation:label","Label for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation","Podpoloha"
"Sublocation:rdfs_comment","Comment for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation","Název dílčí lokality. Název dílčí lokality může být buď název dílčí lokality města, nebo název známého místa či (přírodní) památky mimo město. Ve smyslu dílčí lokality města se tento prvek nachází na páté úrovni geografické hierarchie shora dolů."
"Sublocation:dcterms_description","Description for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation",""
"Sublocation:skos_scopeNote","Usage for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation","Volně formulované podrobnosti o poloze subjektů, až na úroveň vesnice, lesa nebo geografického prvku atd., pod názvem místa Iptc4xmpExt:City, zejména informace, které nebylo možné najít v geografickém slovníku."
"WorldRegion:label","Label for World Region http://rs.tdwg.org/dwc/terms/WorldRegion","Světový region"
"WorldRegion:rdfs_comment","Comment for World Region http://rs.tdwg.org/dwc/terms/WorldRegion","Název světové oblasti dané lokality. Tento prvek se nachází na první (nejvyšší) úrovni geografické hierarchie shora dolů."
"WorldRegion:dcterms_description","Description for World Region http://rs.tdwg.org/dwc/terms/WorldRegion",""
"WorldRegion:skos_scopeNote","Usage for World Region http://rs.tdwg.org/dwc/terms/WorldRegion","Název světové oblasti v některé z vyšších klasifikací, jako jsou názvy kontinentů, vodních ploch nebo skupin ostrovů, podle toho, co je nejvhodnější. Termíny by měly být pokud možno odvozeny z řízeného slovníku."
