"identifier","context","text"
"City:label","Label for City or Place Name http://rs.tdwg.org/dwc/terms/City",""
"City:rdfs_comment","Comment for City or Place Name http://rs.tdwg.org/dwc/terms/City",""
"City:skos_scopeNote","Usage for City or Place Name http://rs.tdwg.org/dwc/terms/City",""
"CountryCode:label","Label for Country Code http://rs.tdwg.org/dwc/terms/CountryCode","Código del país"
"CountryCode:rdfs_comment","Comment for Country Code http://rs.tdwg.org/dwc/terms/CountryCode",""
"CountryCode:dcterms_description","Description for Country Code http://rs.tdwg.org/dwc/terms/CountryCode",""
"CountryCode:skos_scopeNote","Usage for Country Code http://rs.tdwg.org/dwc/terms/CountryCode",""
"CountryName:label","Label for Country Name http://rs.tdwg.org/dwc/terms/CountryName",""
"CountryName:rdfs_comment","Comment for Country Name http://rs.tdwg.org/dwc/terms/CountryName",""
"CountryName:skos_scopeNote","Usage for Country Name http://rs.tdwg.org/dwc/terms/CountryName",""
"CVterm:label","Label for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm","Categoría de tema (IRI)"
"CVterm:rdfs_comment","Comment for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm",""
"CVterm:skos_scopeNote","Usage for Subject Category (IRI) http://rs.tdwg.org/dwc/terms/CVterm","Los valores DEBEN ser IRI de un vocabulario controlado de temas para facilitar una clasificación amplia de los elementos multimedia. Se prefieren los IRI del vocabulario controlado de la Descripción de Contenido Básico Audiovisual, pero se pueden usar otros vocabularios controlados siempre que el término esté identificado de forma única por un IRI. Este término PUEDE usarse para describir el contenido de una región de interés dentro de un elemento multimedia. Estas directrices sobre el formato de valores son menos restrictivas que las especificadas por las directrices IPTC y esta propiedad PUEDE usarse con cualquier tipo de medio, no solo imágenes."
"LocationCreated:label","Label for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated",""
"LocationCreated:rdfs_comment","Comment for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated",""
"LocationCreated:dcterms_description","Description for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated",""
"LocationCreated:skos_scopeNote","Usage for Location Created http://rs.tdwg.org/dwc/terms/LocationCreated",""
"LocationShown:label","Label for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown",""
"LocationShown:rdfs_comment","Comment for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown",""
"LocationShown:skos_scopeNote","Usage for Location Shown http://rs.tdwg.org/dwc/terms/LocationShown",""
"ProvinceState:label","Label for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState",""
"ProvinceState:rdfs_comment","Comment for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState",""
"ProvinceState:skos_scopeNote","Usage for Province or State http://rs.tdwg.org/dwc/terms/ProvinceState",""
"Sublocation:label","Label for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation",""
"Sublocation:rdfs_comment","Comment for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation",""
"Sublocation:skos_scopeNote","Usage for Sublocation http://rs.tdwg.org/dwc/terms/Sublocation",""
"WorldRegion:label","Label for World Region http://rs.tdwg.org/dwc/terms/WorldRegion",""
"WorldRegion:rdfs_comment","Comment for World Region http://rs.tdwg.org/dwc/terms/WorldRegion",""
"WorldRegion:dcterms_description","Description for World Region http://rs.tdwg.org/dwc/terms/WorldRegion",""
"WorldRegion:skos_scopeNote","Usage for World Region http://rs.tdwg.org/dwc/terms/WorldRegion",""
