header,predicate,type,value,attribute,subject_id
version_isDefinedBy,rdfs:isDefinedBy,iri,,,$root
version_isDefinedBy,dcterms:isPartOf,iri,,,$root
version_issued,dcterms:issued,datatype,,xsd:date,$root
version_status,tdwgutility:status,datatype,,xsd:string,$root
replaces_version,dcterms:replaces,iri,,,$root
replaces1_version,dcterms:replaces,iri,,,$root
replaces2_version,dcterms:replaces,iri,,,$root
label,rdfs:label,language,,en,$root
label,skos:prefLabel,language,,en,$root
definition,rdfs:comment,language,,en,$root
definition,skos:definition,language,,en,$root
definition_derived_from ,sawsdlrdf:modelReference,iri,,,$root
usage,skos:scopeNote,language,,en,$root
notes,dcterms:description,language,,en,$root
examples,skos:example,language,,en,$root
rdf_type,rdf:type,iri,,,$root
term_localName,dcterms:isVersionOf,iri,http://rs.tdwg.org/abcd/terms/,,$root
tdwgutility_organizedInClass,tdwgutility:organizedInClass,iri,,,$root
tdwgutility_required,tdwgutility:required,plain,,,$root
tdwgutility_repeatable,tdwgutility:repeatable,plain,,,$root
