"identifier","context","text"
"r:label","Label for subject orientation concept scheme http://rs.tdwg.org/dwc/terms/r","koncepční schéma orientace na předmět"
"r:definition","Definition for subject orientation concept scheme http://rs.tdwg.org/dwc/terms/r",""
"r0000:label","Label for unspecified orientation http://rs.tdwg.org/dwc/terms/r0000","nespecifikovaná orientace"
"r0000:definition","Definition for unspecified orientation http://rs.tdwg.org/dwc/terms/r0000","orientace není známa, protože není specifikována"
"r0001:label","Label for anterior side http://rs.tdwg.org/dwc/terms/r0001","přední strana"
"r0001:definition","Definition for anterior side http://rs.tdwg.org/dwc/terms/r0001","pohled na stranu směrem k hlavě nebo přednímu konci organismu"
"r0002:label","Label for posterior side http://rs.tdwg.org/dwc/terms/r0002","zadní strana"
"r0002:definition","Definition for posterior side http://rs.tdwg.org/dwc/terms/r0002","pohled na stranu od hlavy nebo směrem k zadnímu konci organismu"
"r0003:label","Label for lateral side http://rs.tdwg.org/dwc/terms/r0003","boční strana"
"r0003:definition","Definition for lateral side http://rs.tdwg.org/dwc/terms/r0003",""
"r0004:label","Label for right side http://rs.tdwg.org/dwc/terms/r0004",""
"r0004:definition","Definition for right side http://rs.tdwg.org/dwc/terms/r0004",""
"r0005:label","Label for left side http://rs.tdwg.org/dwc/terms/r0005",""
"r0005:definition","Definition for left side http://rs.tdwg.org/dwc/terms/r0005",""
"r0006:label","Label for dorsal side http://rs.tdwg.org/dwc/terms/r0006",""
"r0006:definition","Definition for dorsal side http://rs.tdwg.org/dwc/terms/r0006",""
"r0007:label","Label for ventral side http://rs.tdwg.org/dwc/terms/r0007",""
"r0007:definition","Definition for ventral side http://rs.tdwg.org/dwc/terms/r0007",""
"r0008:label","Label for upper side http://rs.tdwg.org/dwc/terms/r0008",""
"r0008:definition","Definition for upper side http://rs.tdwg.org/dwc/terms/r0008",""
"r0008:usage","Usage for upper side http://rs.tdwg.org/dwc/terms/r0008",""
"r0008:notes","Notes for upper side http://rs.tdwg.org/dwc/terms/r0008",""
"r0009:label","Label for lower side http://rs.tdwg.org/dwc/terms/r0009",""
"r0009:definition","Definition for lower side http://rs.tdwg.org/dwc/terms/r0009",""
"r0009:usage","Usage for lower side http://rs.tdwg.org/dwc/terms/r0009",""
"r0009:notes","Notes for lower side http://rs.tdwg.org/dwc/terms/r0009",""
"r0010:label","Label for apical side http://rs.tdwg.org/dwc/terms/r0010",""
"r0010:definition","Definition for apical side http://rs.tdwg.org/dwc/terms/r0010",""
"r0011:label","Label for basal side http://rs.tdwg.org/dwc/terms/r0011",""
"r0011:definition","Definition for basal side http://rs.tdwg.org/dwc/terms/r0011",""
"r0012:label","Label for oral side http://rs.tdwg.org/dwc/terms/r0012",""
"r0012:definition","Definition for oral side http://rs.tdwg.org/dwc/terms/r0012",""
"r0013:label","Label for aboral side http://rs.tdwg.org/dwc/terms/r0013",""
"r0013:definition","Definition for aboral side http://rs.tdwg.org/dwc/terms/r0013",""
