identifier,context,text
p:label,Label for subject part concept scheme http://rs.tdwg.org/dwc/terms/p,subject part concept scheme
p:definition,Definition for subject part concept scheme http://rs.tdwg.org/dwc/terms/p,a SKOS concept scheme for ac:subjectOrientation
p0000:label,Label for unspecified part http://rs.tdwg.org/dwc/terms/p0000,unspecified part
p0000:definition,Definition for unspecified part http://rs.tdwg.org/dwc/terms/p0000,Part is not known because it is not specified
p0001:label,Label for entire organism http://rs.tdwg.org/dwc/terms/p0001,entire organism
p0001:examples,Examples for entire organism http://rs.tdwg.org/dwc/terms/p0001,http://bioimages.vanderbilt.edu/baskauf/25638
p0001:definition,Definition for entire organism http://rs.tdwg.org/dwc/terms/p0001,An entire multicellular organism
p0002:label,Label for bark http://rs.tdwg.org/dwc/terms/p0002,bark
p0002:examples,Examples for bark http://rs.tdwg.org/dwc/terms/p0002,http://bioimages.vanderbilt.edu/baskauf/41910
p0002:definition,Definition for bark http://rs.tdwg.org/dwc/terms/p0002,Plant tissue outside the vascular cambium
p0003:label,Label for twig http://rs.tdwg.org/dwc/terms/p0003,twig
p0003:examples,Examples for twig http://rs.tdwg.org/dwc/terms/p0003,http://bioimages.vanderbilt.edu/baskauf/63779
p0003:definition,Definition for twig http://rs.tdwg.org/dwc/terms/p0003,Plant shoot axis developed from axillary buds
p0004:label,Label for stem http://rs.tdwg.org/dwc/terms/p0004,stem
p0004:examples,Examples for stem http://rs.tdwg.org/dwc/terms/p0004,http://bioimages.vanderbilt.edu/baskauf/65236
p0004:definition,Definition for stem http://rs.tdwg.org/dwc/terms/p0004,Plant shoot axis that defines the primary axis
p0005:label,Label for leaf http://rs.tdwg.org/dwc/terms/p0005,leaf
p0005:examples,Examples for leaf http://rs.tdwg.org/dwc/terms/p0005,http://bioimages.vanderbilt.edu/baskauf/41905
p0005:definition,Definition for leaf http://rs.tdwg.org/dwc/terms/p0005,Plant non-reproductive phyllome
p0006:label,Label for strobilis (cone) http://rs.tdwg.org/dwc/terms/p0006,strobilis (cone)
p0006:examples,Examples for strobilis (cone) http://rs.tdwg.org/dwc/terms/p0006,http://bioimages.vanderbilt.edu/baskauf/60561
p0006:definition,Definition for strobilis (cone) http://rs.tdwg.org/dwc/terms/p0006,Plant reproductive system consisting of sporophylls
p0007:label,Label for inflorescence http://rs.tdwg.org/dwc/terms/p0007,inflorescence
p0007:examples,Examples for inflorescence http://rs.tdwg.org/dwc/terms/p0007,http://bioimages.vanderbilt.edu/baskauf/57919
p0007:definition,Definition for inflorescence http://rs.tdwg.org/dwc/terms/p0007,Plant reproductive shoot system containing flowers
p0008:label,Label for fruit http://rs.tdwg.org/dwc/terms/p0008,fruit
p0008:examples,Examples for fruit http://rs.tdwg.org/dwc/terms/p0008,http://bioimages.vanderbilt.edu/baskauf/41891
p0008:definition,Definition for fruit http://rs.tdwg.org/dwc/terms/p0008,Plant structure developing from a flower
p0009:label,Label for seed http://rs.tdwg.org/dwc/terms/p0009,seed
p0009:examples,Examples for seed http://rs.tdwg.org/dwc/terms/p0009,http://bioimages.vanderbilt.edu/baskauf/30744
p0009:definition,Definition for seed http://rs.tdwg.org/dwc/terms/p0009,Plant structure containing dormant embryo
p0010:label,Label for male cone http://rs.tdwg.org/dwc/terms/p0010,male cone
p0010:examples,Examples for male cone http://rs.tdwg.org/dwc/terms/p0010,http://bioimages.vanderbilt.edu/baskauf/51365
p0010:definition,Definition for male cone http://rs.tdwg.org/dwc/terms/p0010,Plant strobilis bearing pollen
p0011:label,Label for female cone http://rs.tdwg.org/dwc/terms/p0011,female cone
p0011:examples,Examples for female cone http://rs.tdwg.org/dwc/terms/p0011,http://bioimages.vanderbilt.edu/baskauf/51363
p0011:definition,Definition for female cone http://rs.tdwg.org/dwc/terms/p0011,Plant strobilis bearing ovules
p0012:label,Label for flower http://rs.tdwg.org/dwc/terms/p0012,flower
p0012:examples,Examples for flower http://rs.tdwg.org/dwc/terms/p0012,http://bioimages.vanderbilt.edu/baskauf/52498
p0012:definition,Definition for flower http://rs.tdwg.org/dwc/terms/p0012,Plant reproductive shoot system containing a carpel
p0013:label,Label for head http://rs.tdwg.org/dwc/terms/p0013,head
p0013:examples,Examples for head http://rs.tdwg.org/dwc/terms/p0013,https://monarch.calacademy.org/mnt/target-images/CASTYPE/00001/CASTYPE1503_h.jpg
p0013:definition,Definition for head http://rs.tdwg.org/dwc/terms/p0013,Anterior-most division of the body
p0014:label,Label for thorax http://rs.tdwg.org/dwc/terms/p0014,thorax
p0014:examples,Examples for thorax http://rs.tdwg.org/dwc/terms/p0014,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610536_Lasioglossum_oblongum_thl.jpg
p0014:definition,Definition for thorax http://rs.tdwg.org/dwc/terms/p0014,The middle division of the insect body bearing locomotor appendages
p0015:label,Label for abdomen http://rs.tdwg.org/dwc/terms/p0015,abdomen
p0015:examples,Examples for abdomen http://rs.tdwg.org/dwc/terms/p0015,"https://commons.wikimedia.org/wiki/File:Halictus_scabiosae,_specimen_exonie54,_from_Botevgrad,_Bulgaria_10_(dorsal,_abdomen).jpg"
p0015:definition,Definition for abdomen http://rs.tdwg.org/dwc/terms/p0015,The posterior-most division of the insect body
p0016:label,Label for leg http://rs.tdwg.org/dwc/terms/p0016,leg
p0016:examples,Examples for leg http://rs.tdwg.org/dwc/terms/p0016,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00000547_Halictus_albitarsis_hlg.jpg
p0016:definition,Definition for leg http://rs.tdwg.org/dwc/terms/p0016,Walking appendage
p0017:label,Label for wing http://rs.tdwg.org/dwc/terms/p0017,wing
p0017:examples,Examples for wing http://rs.tdwg.org/dwc/terms/p0017,https://commons.wikimedia.org/wiki/File:Monarch_Butterfly_Danaus_plexippus_Wing_2400px.jpg
p0017:definition,Definition for wing http://rs.tdwg.org/dwc/terms/p0017,Appendage that is shaped in order to produce lift for flight through the air
p0018:label,Label for antenna http://rs.tdwg.org/dwc/terms/p0018,antenna
p0018:examples,Examples for antenna http://rs.tdwg.org/dwc/terms/p0018,"https://commons.wikimedia.org/wiki/File:Blatta_orientalis_male_from_Botevgrad,_Bulgaria_05.jpg"
p0018:definition,Definition for antenna http://rs.tdwg.org/dwc/terms/p0018,"The paired, usually multiple jointed, sensory organs on the head"
p0019:label,Label for forewing http://rs.tdwg.org/dwc/terms/p0019,forewing
p0019:examples,Examples for forewing http://rs.tdwg.org/dwc/terms/p0019,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00017211_Melissa_porteri_fwg.jpg
p0019:definition,Definition for forewing http://rs.tdwg.org/dwc/terms/p0019,The paired insect wing that is continuous with the mesonotum
p0020:label,Label for hindwing http://rs.tdwg.org/dwc/terms/p0020,hindwing
p0020:examples,Examples for hindwing http://rs.tdwg.org/dwc/terms/p0020,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610195_Agapostemon_texanus_hwg.jpg
p0020:definition,Definition for hindwing http://rs.tdwg.org/dwc/terms/p0020,The paired insect wing that is continuous with the metanotum
p0021:label,Label for foreleg http://rs.tdwg.org/dwc/terms/p0021,foreleg
p0021:examples,Examples for foreleg http://rs.tdwg.org/dwc/terms/p0021,https://www.morphbank.net/?id=861240
p0021:definition,Definition for foreleg http://rs.tdwg.org/dwc/terms/p0021,Leg of the prothoracic segment
p0022:label,Label for midleg http://rs.tdwg.org/dwc/terms/p0022,midleg
p0022:examples,Examples for midleg http://rs.tdwg.org/dwc/terms/p0022,https://www.morphbank.net/?id=102967
p0022:definition,Definition for midleg http://rs.tdwg.org/dwc/terms/p0022,Leg of the mesothoracic segment
p0023:label,Label for hindleg http://rs.tdwg.org/dwc/terms/p0023,hindleg
p0023:examples,Examples for hindleg http://rs.tdwg.org/dwc/terms/p0023,https://www.morphbank.net/?id=468627
p0023:definition,Definition for hindleg http://rs.tdwg.org/dwc/terms/p0023,Leg of the metathoracic segment
p0024:label,Label for eye http://rs.tdwg.org/dwc/terms/p0024,eye
p0024:examples,Examples for eye http://rs.tdwg.org/dwc/terms/p0024,https://commons.wikimedia.org/wiki/File:Compound_eye_of_a_Bumblebee.jpg
