document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type,term_localName
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Drawing-2020-10-13,Drawing-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Drawing,,Drawing,"Visual works produced by drawing, which is the application of lines on a surface, often paper, by using a pencil, pen, chalk, or some other tracing instrument to focus on the delineation of form rather than the application of color.",,See http://vocab.getty.edu/page/aat/300033973,,http://www.w3.org/2000/01/rdf-schema#Class,Drawing
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Painting-2020-10-13,Painting-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Painting,,Painting,"Unique works in which images are formed primarily by the direct application of pigments suspended in oil, water, egg yolk, molten wax, or other liquid, arranged in masses of color, onto a generally two-dimensional surface.",,See http://vocab.getty.edu/page/aat/300033618,,http://www.w3.org/2000/01/rdf-schema#Class,Painting
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Logo-2020-10-13,Logo-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Logo,,Logo,"Devices that are specifically symbol- or picture based, designed for ready recognition to identify a product, company, or organization and sometimes used as trademarks.",,See http://vocab.getty.edu/page/aat/300028715,,http://www.w3.org/2000/01/rdf-schema#Class,Logo
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Icon-2020-10-13,Icon-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Icon,,Icon,"Small pictures, pictograms, or symbols used on computer displays or in graphical user interfaces meant to represent files, objects, applications, actions, or messages.",,See http://vocab.getty.edu/page/aat/300266210,,http://www.w3.org/2000/01/rdf-schema#Class,Icon
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Illustration-2020-10-13,Illustration-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Illustration,,Illustration,Pictures or diagrams that clarify or provide an example or visualization. They usually accompany a text; the term is most often used to refer to pictures in books or published journal.,,See http://vocab.getty.edu/page/aat/300015578,,http://www.w3.org/2000/01/rdf-schema#Class,Illustration
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Graphic-2020-10-13,Graphic-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Graphic,,Graphic,Visual images or designs preserved on some medium.,,,,http://www.w3.org/2000/01/rdf-schema#Class,Graphic
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Photograph-2020-10-13,Photograph-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Photograph,,Photograph,"Refers to still images produced from radiation-sensitive materials (sensitive to light, electron beams, or nuclear radiation), generally by means of the chemical action of light on a sensitive film, paper, glass, or metal. Photographs may be positive or negative, opaque or transparent. The concept may include photographs made by digital means.",,See http://vocab.getty.edu/page/aat/300046300,,http://www.w3.org/2000/01/rdf-schema#Class,Photograph
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Animation-2020-10-13,Animation-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Animation,,Animation,"Works that present the illusion of movement and that may be created by a number of techniques including successive drawings, photographing positions of puppets or models, or using computers.",,See http://vocab.getty.edu/page/aat/300411663,,http://www.w3.org/2000/01/rdf-schema#Class,Animation
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Film-2020-10-13,Film-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Film,,Film,"Works presented in the form of a series of pictures carried on photographic film or video tape, presented to the eye in such rapid succession as to give the illusion of natural movement.",,Also known as motion pictures. See http://vocab.getty.edu/page/aat/300136900,,http://www.w3.org/2000/01/rdf-schema#Class,Film
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/SlideShow-2020-10-13,SlideShow-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Slide Show,,SlideShow,"Visual representations of information for the purpose of achieving favorable visibility and persuading an audience to believe or support the presentor's ideas, projects, or goals.",,See http://vocab.getty.edu/page/aat/300258677,,http://www.w3.org/2000/01/rdf-schema#Class,SlideShow
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/DesignPlan-2020-10-13,DesignPlan-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Design Plan,,DesignPlan,"Refers to drawings, sketches, prints, computer graphics, or works in other media depicting a building or any object viewed from above, geometrically represented as projected on a horizontal plane.",,See http://vocab.getty.edu/page/aat/300034104,,http://www.w3.org/2000/01/rdf-schema#Class,DesignPlan
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Diagram-2020-10-13,Diagram-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Diagram,,Diagram,Graphic designs intended to explain rather than simply represent. ,,See http://vocab.getty.edu/page/aat/300015387,"in geometry, a diagram may be a figure composed of lines, serving to illustrate a definition or statement, or to aid in the proof of a proposition",http://www.w3.org/2000/01/rdf-schema#Class,Diagram
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/Map-2020-10-13,Map-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Map,,Map,"Refers to graphic or photogrammetric representations of the Earth's surface or a part of it, including physical features and political boundaries, where each point corresponds to a geographical or celestial position according to a definite scale or projection.",,See http://vocab.getty.edu/page/aat/300028094,,http://www.w3.org/2000/01/rdf-schema#Class,Map
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/MusicalNotation-2020-10-13,MusicalNotation-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Musical Notation,,MusicalNotation,General term for systems used to visually represent music through written words or standard notations.,,See http://vocab.getty.edu/page/aat/300417622,,http://www.w3.org/2000/01/rdf-schema#Class,MusicalNotation
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/IdentificationKey-2020-10-13,IdentificationKey-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Identification Key,,IdentificationKey,A taxonomic key used for identifying unknown organisms.,,,,http://www.w3.org/2000/01/rdf-schema#Class,IdentificationKey
2020-10-18T19:34:03-04:00,http://rs.tdwg.org/acsubtype/values/version/ScannedText-2020-10-13,ScannedText-2020-10-13,http://rs.tdwg.org/acsubtype/values/version/,2020-10-13,recommended,,,,Scanned Text,,ScannedText,A body of physical type or written matter transformed into an electronic format that can be used to reproduce the original material on a screen.  ,,,,http://www.w3.org/2000/01/rdf-schema#Class,ScannedText
