term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_cs,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_pt,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_cs,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_pt,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_cs,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_pt,notes_ru,notes_zh-Hans,notes_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
Drawing,Drawing,Kresba,,,,,,,Рисунок,,素描,"Visual works produced by drawing, which is the application of lines on a surface, often paper, by using a pencil, pen, chalk, or some other tracing instrument to focus on the delineation of form rather than the application of color.","Vizuální díla vytvořená kresbou, což je nanášení čar na povrch, často papír, pomocí tužky, pera, křídy nebo jiného kreslicího nástroje, přičemž se klade důraz spíše na vykreslení tvaru než na použití barvy.",,,,,,,"Изображение на плоскости, часто на бумаге, создаваемое с помощью карандаша, ручки, мела или других инструментов, когда целью является отражение формы, а не цвета.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Painting,Painting,Malba,,,,,,,Картина,,繪畫,"Unique works in which images are formed primarily by the direct application of pigments suspended in oil, water, egg yolk, molten wax, or other liquid, arranged in masses of color, onto a generally two-dimensional surface.","Jedinečná díla, v nichž jsou obrazy tvořeny především přímým nanášením pigmentů suspendovaných v oleji, vodě, vaječném žloutku, roztaveném vosku nebo jiné kapalině, uspořádaných do barevných mas, na obecně dvourozměrný povrch.",,,,,,,"Изображение, сделанное с помощью пигментов, растворенных в масле, воде, яичном желтке, воске или других растворителях, формирующих визуальный эффект пространства.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo,Logo,Logo,,,,,,,Лого,,標誌,"Devices that are specifically symbol- or picture based, designed for ready recognition to identify a product, company, or organization and sometimes used as trademarks.","Zařízení, která jsou specificky založena na symbolech nebo obrázcích, navržená pro snadné rozpoznání za účelem identifikace produktu, společnosti nebo organizace a někdy používaná jako ochranné známky.",,,,,,,"Изображение, созданное из символов или картины для специфичного представления проекта, компании или организации.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icon,Icon,Ikona,,,,,,,Иконка,,圖示,"Small pictures, pictograms, or symbols used on computer displays or in graphical user interfaces meant to represent files, objects, applications, actions, or messages.","Malé obrázky, piktogramy nebo symboly používané na počítačových displejích nebo v grafických uživatelských rozhraních, které mají představovat soubory, objekty, aplikace, akce nebo zprávy.",,,,,,,"Небольшие изображения, пиктограммы или символы, использующиеся на компьютере или в графических пользовательских интерфейсах, предназначенные для представления файлов, объектов, приложений, действий или сообщений.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illustration,Illustration,Ilustrace,,,,,,,Иллюстрация,,插圖,Pictures or diagrams that clarify or provide an example or visualization. They usually accompany a text; the term is most often used to refer to pictures in books or published journal.,"Obrázky nebo diagramy, které objasňují, poskytují příklad nebo vizualizaci. Obvykle doprovázejí text; tento termín se nejčastěji používá pro obrázky v knihách nebo publikovaných časopisech.",,,,,,,"Рисунки или диаграммы, которые поясняют или предоставляют пример или визуализацию. Обычно они сопровождают текст; этот термин чаще всего используется для обозначения изображений в книгах или опубликованных журналах.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphic,Graphic,Grafika,,,,,,,Графика,,圖形,Visual images or designs preserved on some medium.,Vizuální obrazy nebo návrhy uchované na nějakém médiu.,,,,,,,"Визуальные образы или элементы дизайна, сохраненные на каком-либо носителе.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photograph,Photograph,Fotografie,,,,,,,Фотография,,照片,"Refers to still images produced from radiation-sensitive materials (sensitive to light, electron beams, or nuclear radiation), generally by means of the chemical action of light on a sensitive film, paper, glass, or metal. Photographs may be positive or negative, opaque or transparent. The concept may include photographs made by digital means.","Označuje statické obrazy vytvořené z materiálů citlivých na záření (citlivých na světlo, elektronové paprsky nebo jaderné záření), obvykle pomocí chemického působení světla na citlivý film, papír, sklo nebo kov. Fotografie mohou být pozitivní nebo negativní, neprůhledné nebo průhledné. Tento pojem může zahrnovat i fotografie pořízené digitálními prostředky.",,,,,,,"Относится к неподвижным изображениям, полученным на чувствительных к излучению материалах (чувствительных к свету, электронным лучам или ядерному излучению), как правило, посредством химического воздействия света на чувствительную пленку, бумагу, стекло или металл. Фотографии могут быть позитивными или негативными, непрозрачными или прозрачными. В концепцию входят фотографии, сделанные с помощью цифровых средств.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animation,Animation,Animace,,,,,,,Анимация,,動畫,"Works that present the illusion of movement and that may be created by a number of techniques including successive drawings, photographing positions of puppets or models, or using computers.","Díla, která vytvářejí iluzi pohybu a která mohou být vytvořena řadou technik, včetně postupného kreslení, fotografování poloh loutek nebo modelů nebo pomocí počítačů.",,,,,,,"Работы, которые создают иллюзию движения и созданные с помощью ряда методов, включая последовательные рисунки, фотографирование положения моделей или использование компьютера.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Film,Film,Film,,,,,,,Фильм,,影片,"Works presented in the form of a series of pictures carried on photographic film or video tape, presented to the eye in such rapid succession as to give the illusion of natural movement.","Díla prezentovaná ve formě série obrázků zaznamenaných na fotografický film nebo videokazetu, které se před očima diváka promítají v tak rychlém sledu, že vytvářejí iluzi přirozeného pohybu.",,,,,,,"Работы, созданные из серии изображений, записанных на фотопленку или видеопленку, показанных с такой быстротой, что создается иллюзия естественного движения.",,,,,,,,,,,,,,Also known as motion pictures.,Také známé jako filmy.,,,,,,,,,,,,,,,,,,,,
SlideShow,Slide Show,Prezentace,,,,,,,Слайд шоу,,投影片,"Visual representations of information for the purpose of achieving favorable visibility and persuading an audience to believe or support the presentor's ideas, projects, or goals.","Vizuální znázornění informací za účelem dosažení příznivé viditelnosti a přesvědčení publika, aby uvěřilo nebo podpořilo myšlenky, projekty nebo cíle prezentujícího.",,,,,,,Визуальное представление информации для успешной демонстрации изображения и убеждения аудитории в идеях и целях докладчика.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DesignPlan,Design Plan,Designový návrh,,,,,,,Дизайн проект,,設計,"Refers to drawings, sketches, prints, computer graphics, or works in other media depicting a building or any object viewed from above, geometrically represented as projected on a horizontal plane.","Odkazuje na výkresy, náčrtky, tisky, počítačovou grafiku nebo díla v jiných médiích, která zobrazují budovu nebo jakýkoli objekt pohledem shora, geometricky znázorněný jako promítnutý na vodorovnou rovinu.",,,,,,,"Относится к чертежам, наброскам, распечаткам, компьютерной графике или работам на других носителях, изображающим здание или любой объект, рассматриваемый сверху, геометрически представленный в виде проекции на горизонтальную плоскость.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diagram,Diagram,Diagram,,,,,,,Диаграмма,,圖解,Graphic designs intended to explain rather than simply represent. ,,,,,,,,"Графический дизайн, предназначенный для представления аналитических результатов.",,,,,,,,,,,,,,,,,,,,,,,,,"in geometry, a diagram may be a figure composed of lines, serving to illustrate a definition or statement, or to aid in the proof of a proposition","v geometrii může být diagram obrázek složený z čar, který slouží k ilustraci definice nebo tvrzení nebo k podpoře důkazu tvrzení",,,,,,,,,
Map,Map,,,,,,,,Карта,,地圖,"Refers to graphic or photogrammetric representations of the Earth's surface or a part of it, including physical features and political boundaries, where each point corresponds to a geographical or celestial position according to a definite scale or projection.",,,,,,,,"Относится к графическим или фотограмметрическим изображениям поверхности Земли или ее части, включая физические особенности и политические границы, где каждая точка соответствует географическому или небесному положению в соответствии с определенным масштабом или проекцией.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MusicalNotation,Musical Notation,,,,,,,,Нотная запись,,音符,General term for systems used to visually represent music through written words or standard notations.,,,,,,,,"Общий термин, используемый для визуального представления музыки посредством письменных слов или стандартных обозначений.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IdentificationKey,Identification Key,,,,,,,,Ключ для определения,,鑑定表,A taxonomic key used for identifying unknown organisms.,,,,,,,,"Таксономический ключ, используемый для определения неизвестных организмов.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScannedText,Scanned Text,,,,,,,,Отсканированный текст,,掃瞄文本,A body of physical type or written matter transformed into an electronic format that can be used to reproduce the original material on a screen.  ,,,,,,,,"Физический предмет или письменный материал, преобразованный в электронный формат, который можно использовать для воспроизведения исходного материала на экране.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordedText,Recorded Text,,,,,,,,Записанный из звука текст,,紀錄文本,A body of physical type or written matter read aloud by a narrator and recorded. ,,,,,,,,"Физический предмет или письменный источник, описанный или прочитанный рассказчиком вслух и записанный.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordedOrganism,Recorded Organism,,,,,,,,Записанный организм,,紀錄生物,The sounds produced by an organism or organisms recorded on an audio medium.,,,,,,,,"Звуки, издаваемые организмом или организмами, записанные на звуковой носитель.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaxonPage,Taxon Page,,,,,,,,Страница таксона,,分類頁,A web page summarizing information about a particular taxon.,,,,,,,,"Веб-страница, обобщающая информацию о конкретном таксоне.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
