version,term_localName
http://rs.tdwg.org/acsubtype/values/version/Drawing-2020-10-13,Drawing
http://rs.tdwg.org/acsubtype/values/version/Painting-2020-10-13,Painting
http://rs.tdwg.org/acsubtype/values/version/Logo-2020-10-13,Logo
http://rs.tdwg.org/acsubtype/values/version/Icon-2020-10-13,Icon
http://rs.tdwg.org/acsubtype/values/version/Illustration-2020-10-13,Illustration
http://rs.tdwg.org/acsubtype/values/version/Graphic-2020-10-13,Graphic
http://rs.tdwg.org/acsubtype/values/version/Photograph-2020-10-13,Photograph
http://rs.tdwg.org/acsubtype/values/version/Animation-2020-10-13,Animation
http://rs.tdwg.org/acsubtype/values/version/Film-2020-10-13,Film
http://rs.tdwg.org/acsubtype/values/version/SlideShow-2020-10-13,SlideShow
http://rs.tdwg.org/acsubtype/values/version/DesignPlan-2020-10-13,DesignPlan
http://rs.tdwg.org/acsubtype/values/version/Diagram-2020-10-13,Diagram
http://rs.tdwg.org/acsubtype/values/version/Map-2020-10-13,Map
http://rs.tdwg.org/acsubtype/values/version/MusicalNotation-2020-10-13,MusicalNotation
http://rs.tdwg.org/acsubtype/values/version/IdentificationKey-2020-10-13,IdentificationKey
http://rs.tdwg.org/acsubtype/values/version/ScannedText-2020-10-13,ScannedText
http://rs.tdwg.org/acsubtype/values/version/RecordedText-2020-10-13,RecordedText
http://rs.tdwg.org/acsubtype/values/version/RecordedOrganism-2020-10-13,RecordedOrganism
http://rs.tdwg.org/acsubtype/values/version/TaxonPage-2020-10-13,TaxonPage
http://rs.tdwg.org/acsubtype/values/version/MultimediaLearningObject-2020-10-13,MultimediaLearningObject
http://rs.tdwg.org/acsubtype/values/version/VirtualRealityEnvironment-2020-10-13,VirtualRealityEnvironment
http://rs.tdwg.org/acsubtype/values/version/GlossaryPage-2020-10-13,GlossaryPage
http://rs.tdwg.org/acsubtype/values/version/Drawing-2022-02-23,Drawing
http://rs.tdwg.org/acsubtype/values/version/Painting-2022-02-23,Painting
http://rs.tdwg.org/acsubtype/values/version/Logo-2022-02-23,Logo
http://rs.tdwg.org/acsubtype/values/version/Icon-2022-02-23,Icon
http://rs.tdwg.org/acsubtype/values/version/Illustration-2022-02-23,Illustration
http://rs.tdwg.org/acsubtype/values/version/Photograph-2022-02-23,Photograph
http://rs.tdwg.org/acsubtype/values/version/Animation-2022-02-23,Animation
http://rs.tdwg.org/acsubtype/values/version/Film-2022-02-23,Film
http://rs.tdwg.org/acsubtype/values/version/SlideShow-2022-02-23,SlideShow
http://rs.tdwg.org/acsubtype/values/version/DesignPlan-2022-02-23,DesignPlan
http://rs.tdwg.org/acsubtype/values/version/Diagram-2022-02-23,Diagram
http://rs.tdwg.org/acsubtype/values/version/Map-2022-02-23,Map
http://rs.tdwg.org/acsubtype/values/version/MusicalNotation-2022-02-23,MusicalNotation
http://rs.tdwg.org/acsubtype/values/version/VirtualRealityEnvironment-2022-02-23,VirtualRealityEnvironment
http://rs.tdwg.org/acsubtype/values/version/GlossaryPage-2022-02-23,GlossaryPage
