identifier,context,text
Drawing:label,,Рисунок
Painting:label,,Картина
Logo:label,,Лого
Icon:label,,Иконка
Illustration:label,,Иллюстрация
Graphic:label,,Графика
Photograph:label,,Фотография
Animation:label,,Анимация
Film:label,,Фильм
SlideShow:label,,Слайд шоу
DesignPlan:label,,Дизайн проект
Diagram:label,,Диаграмма
Map:label,,Карта
MusicalNotation:label,,Нотная запись
IdentificationKey:label,,Ключ для определения
ScannedText:label,,Отсканированный текст
RecordedText:label,,Записанный из звука текст
RecordedOrganism:label,,Записанный организм
TaxonPage:label,,Страница таксона
MultimediaLearningObject:label,,Образовательный мультимедиа-ресурс
VirtualRealityEnvironment:label,,Среда виртуального пространства
GlossaryPage:label,,Страница словаря
Drawing:description,,"Изображение на плоскости, часто на бумаге, создаваемое с помощью карандаша, ручки, мела или других инструментов, когда целью является отражение формы, а не цвета."
Painting:description,,"Изображение, сделанное с помощью пигментов, растворенных в масле, воде, яичном желтке, воске или других растворителях, формирующих визуальный эффект пространства."
Logo:description,,"Изображение, созданное из символов или картины для специфичного представления проекта, компании или организации."
Icon:description,,"Небольшие изображения, пиктограммы или символы, использующиеся на компьютере или в графических пользовательских интерфейсах, предназначенные для представления файлов, объектов, приложений, действий или сообщений."
Illustration:description,,"Рисунки или диаграммы, которые поясняют или предоставляют пример или визуализацию. Обычно они сопровождают текст; этот термин чаще всего используется для обозначения изображений в книгах или опубликованных журналах."
Graphic:description,,"Визуальные образы или элементы дизайна, сохраненные на каком-либо носителе."
Photograph:description,,"Относится к неподвижным изображениям, полученным на чувствительных к излучению материалах (чувствительных к свету, электронным лучам или ядерному излучению), как правило, посредством химического воздействия света на чувствительную пленку, бумагу, стекло или металл. Фотографии могут быть позитивными или негативными, непрозрачными или прозрачными. В концепцию входят фотографии, сделанные с помощью цифровых средств."
Animation:description,,"Работы, которые создают иллюзию движения и созданные с помощью ряда методов, включая последовательные рисунки, фотографирование положения моделей или использование компьютера."
Film:description,,"Работы, созданные из серии изображений, записанных на фотопленку или видеопленку, показанных с такой быстротой, что создается иллюзия естественного движения."
SlideShow:description,,Визуальное представление информации для успешной демонстрации изображения и убеждения аудитории в идеях и целях докладчика.
DesignPlan:description,,"Относится к чертежам, наброскам, распечаткам, компьютерной графике или работам на других носителях, изображающим здание или любой объект, рассматриваемый сверху, геометрически представленный в виде проекции на горизонтальную плоскость."
Diagram:description,,"Графический дизайн, предназначенный для представления аналитических результатов."
Map:description,,"Относится к графическим или фотограмметрическим изображениям поверхности Земли или ее части, включая физические особенности и политические границы, где каждая точка соответствует географическому или небесному положению в соответствии с определенным масштабом или проекцией."
MusicalNotation:description,,"Общий термин, используемый для визуального представления музыки посредством письменных слов или стандартных обозначений."
IdentificationKey:description,,"Таксономический ключ, используемый для определения неизвестных организмов."
ScannedText:description,,"Физический предмет или письменный материал, преобразованный в электронный формат, который можно использовать для воспроизведения исходного материала на экране."
RecordedText:description,,"Физический предмет или письменный источник, описанный или прочитанный рассказчиком вслух и записанный."
RecordedOrganism:description,,"Звуки, издаваемые организмом или организмами, записанные на звуковой носитель."
TaxonPage:description,,"Веб-страница, обобщающая информацию о конкретном таксоне."
MultimediaLearningObject:description,,"Работы, в которых используется несколько различных медиа-ресурсов для оптимизации результатов обучения."
VirtualRealityEnvironment:description,,"Используется в отношении типов компьютерных интерфейсов, имеющих обратную связь в ответ на действия мышью или движения пользователя."
GlossaryPage:description,,"Алфавитный список терминов, относящихся к конкретному предмету или области интересов, включая определения или руководства к использованию."
