"identifier","context","text"
"Drawing:label","Label for Drawing http://rs.tdwg.org/dwc/terms/Drawing","素描"
"Drawing:definition","Definition for Drawing http://rs.tdwg.org/dwc/terms/Drawing",""
"Painting:label","Label for Painting http://rs.tdwg.org/dwc/terms/Painting","繪畫"
"Painting:definition","Definition for Painting http://rs.tdwg.org/dwc/terms/Painting",""
"Logo:label","Label for Logo http://rs.tdwg.org/dwc/terms/Logo","標誌"
"Logo:definition","Definition for Logo http://rs.tdwg.org/dwc/terms/Logo",""
"Icon:label","Label for Icon http://rs.tdwg.org/dwc/terms/Icon","圖示"
"Icon:definition","Definition for Icon http://rs.tdwg.org/dwc/terms/Icon",""
"Illustration:label","Label for Illustration http://rs.tdwg.org/dwc/terms/Illustration","插圖"
"Illustration:definition","Definition for Illustration http://rs.tdwg.org/dwc/terms/Illustration",""
"Graphic:label","Label for Graphic http://rs.tdwg.org/dwc/terms/Graphic","圖形"
"Graphic:definition","Definition for Graphic http://rs.tdwg.org/dwc/terms/Graphic",""
"Photograph:label","Label for Photograph http://rs.tdwg.org/dwc/terms/Photograph","照片"
"Photograph:definition","Definition for Photograph http://rs.tdwg.org/dwc/terms/Photograph",""
"Animation:label","Label for Animation http://rs.tdwg.org/dwc/terms/Animation","動畫"
"Animation:definition","Definition for Animation http://rs.tdwg.org/dwc/terms/Animation",""
"Film:label","Label for Film http://rs.tdwg.org/dwc/terms/Film","影片"
"Film:definition","Definition for Film http://rs.tdwg.org/dwc/terms/Film",""
"Film:notes","Notes for Film http://rs.tdwg.org/dwc/terms/Film",""
"SlideShow:label","Label for Slide Show http://rs.tdwg.org/dwc/terms/SlideShow","投影片"
"SlideShow:definition","Definition for Slide Show http://rs.tdwg.org/dwc/terms/SlideShow",""
"DesignPlan:label","Label for Design Plan http://rs.tdwg.org/dwc/terms/DesignPlan","設計"
"DesignPlan:definition","Definition for Design Plan http://rs.tdwg.org/dwc/terms/DesignPlan",""
"Diagram:label","Label for Diagram http://rs.tdwg.org/dwc/terms/Diagram","圖解"
"Diagram:examples","Examples for Diagram http://rs.tdwg.org/dwc/terms/Diagram",""
"Diagram:definition","Definition for Diagram http://rs.tdwg.org/dwc/terms/Diagram",""
"Map:label","Label for Map http://rs.tdwg.org/dwc/terms/Map","地圖"
"Map:definition","Definition for Map http://rs.tdwg.org/dwc/terms/Map",""
"MusicalNotation:label","Label for Musical Notation http://rs.tdwg.org/dwc/terms/MusicalNotation","音符"
"MusicalNotation:definition","Definition for Musical Notation http://rs.tdwg.org/dwc/terms/MusicalNotation",""
"IdentificationKey:label","Label for Identification Key http://rs.tdwg.org/dwc/terms/IdentificationKey","鑑定表"
"IdentificationKey:definition","Definition for Identification Key http://rs.tdwg.org/dwc/terms/IdentificationKey",""
"ScannedText:label","Label for Scanned Text http://rs.tdwg.org/dwc/terms/ScannedText","掃瞄文本"
"ScannedText:definition","Definition for Scanned Text http://rs.tdwg.org/dwc/terms/ScannedText",""
"RecordedText:label","Label for Recorded Text http://rs.tdwg.org/dwc/terms/RecordedText","紀錄文本"
"RecordedText:definition","Definition for Recorded Text http://rs.tdwg.org/dwc/terms/RecordedText",""
"RecordedOrganism:label","Label for Recorded Organism http://rs.tdwg.org/dwc/terms/RecordedOrganism","紀錄生物"
"RecordedOrganism:definition","Definition for Recorded Organism http://rs.tdwg.org/dwc/terms/RecordedOrganism",""
"TaxonPage:label","Label for Taxon Page http://rs.tdwg.org/dwc/terms/TaxonPage","分類頁"
"TaxonPage:definition","Definition for Taxon Page http://rs.tdwg.org/dwc/terms/TaxonPage",""
"MultimediaLearningObject:label","Label for Multimedia Learning Object http://rs.tdwg.org/dwc/terms/MultimediaLearningObject","多媒體學習物件"
"MultimediaLearningObject:definition","Definition for Multimedia Learning Object http://rs.tdwg.org/dwc/terms/MultimediaLearningObject",""
"VirtualRealityEnvironment:label","Label for Virtual Reality Environment http://rs.tdwg.org/dwc/terms/VirtualRealityEnvironment","虛擬實境"
"VirtualRealityEnvironment:definition","Definition for Virtual Reality Environment http://rs.tdwg.org/dwc/terms/VirtualRealityEnvironment",""
"GlossaryPage:label","Label for Glossary Page http://rs.tdwg.org/dwc/terms/GlossaryPage","詞彙表"
"GlossaryPage:definition","Definition for Glossary Page http://rs.tdwg.org/dwc/terms/GlossaryPage",""
