"identifier","context","text"
"v:label","Label for variant concept scheme http://rs.tdwg.org/dwc/terms/v","varianta koncepčního schématu"
"v:definition","Definition for variant concept scheme http://rs.tdwg.org/dwc/terms/v","Koncepční schéma SKOS pro kontrolované hodnoty pro ac:variant"
"v001:label","Label for Thumbnail http://rs.tdwg.org/dwc/terms/v001","Náhled"
"v001:definition","Definition for Thumbnail http://rs.tdwg.org/dwc/terms/v001","Přístupový bod služby poskytuje miniaturu obrázku, krátký zvukový klip nebo krátký filmový klip, které lze použít kromě zdroje k reprezentaci mediálního objektu, obvykle v nižší kvalitě a s vyšší kompresí než náhled objektu."
"v001:notes","Notes for Thumbnail http://rs.tdwg.org/dwc/terms/v001"," Typická velikost malého miniaturního obrázku může být 50–100 pixelů v delší straně."
"v002:label","Label for Trailer http://rs.tdwg.org/dwc/terms/v002","Upoutávka"
"v002:definition","Definition for Trailer http://rs.tdwg.org/dwc/terms/v002","Přístupový bod služby poskytuje náhled videoklipu ve formě speciálně vytvořené „upoutávky“, která může obsahovat poněkud odlišný obsah než původní zdroj."
"v003:label","Label for Lower Quality http://rs.tdwg.org/dwc/terms/v003","Nižší kvalita"
"v003:examples","Examples for Lower Quality http://rs.tdwg.org/dwc/terms/v003","obrázek vhodný pro webové stránky"
"v003:definition","Definition for Lower Quality http://rs.tdwg.org/dwc/terms/v003","Přístupový bod služby poskytuje verzi mediálního zdroje v nižší kvalitě."
"v004:label","Label for Medium Quality http://rs.tdwg.org/dwc/terms/v004","Střední kvalita"
"v004:examples","Examples for Medium Quality http://rs.tdwg.org/dwc/terms/v004","zkrácená délka, zmenšená velikost, použití nižšího rozlišení nebo vyšší komprese způsobující mírné artefakty"
"v004:definition","Definition for Medium Quality http://rs.tdwg.org/dwc/terms/v004","Přístupový bod služby poskytuje verzi mediálního zdroje ve střední kvalitě."
"v005:label","Label for Good Quality http://rs.tdwg.org/dwc/terms/v005","Dobrá kvalita"
"v005:examples","Examples for Good Quality http://rs.tdwg.org/dwc/terms/v005","obrázek o šířce nebo výšce mezi 800 a 1600 pixely"
"v005:definition","Definition for Good Quality http://rs.tdwg.org/dwc/terms/v005","Přístupový bod služby poskytuje kvalitní verzi mediálního zdroje určenou pro zdroje zobrazené jako primární informace."
"v006:label","Label for Best Quality http://rs.tdwg.org/dwc/terms/v006","Nejvyšší kvalita"
"v006:definition","Definition for Best Quality http://rs.tdwg.org/dwc/terms/v006","Přístupový bod služby poskytuje nejvyšší dostupnou kvalitu mediálních zdrojů, bez ohledu na jejich rozlišení nebo úroveň kvality."
"v007:label","Label for Offline http://rs.tdwg.org/dwc/terms/v007","Offline"
"v007:definition","Definition for Offline http://rs.tdwg.org/dwc/terms/v007","Přístupový bod služby poskytuje data o offline zdroji."
"v008:label","Label for Visual http://rs.tdwg.org/dwc/terms/v008","Zobrazení"
"v008:examples","Examples for Visual http://rs.tdwg.org/dwc/terms/v008","sonogram, oscillogram"
"v008:definition","Definition for Visual http://rs.tdwg.org/dwc/terms/v008","Přístupový bod služby poskytuje vizuální nebo grafické znázornění mediálního zdroje, který není obrázkem."
