identifier,context,text
v:label,,схема концепции variant
v001:label,,Миниатюра
v002:label,,Трейлер
v003:label,,Низкое качество
v004:label,,Среднее качество
v005:label,,Хорошее качество
v006:label,,Наилучшее качество
v007:label,,Офлайн
v008:label,,Визуальный
v:description,,Концептуальная схема SKOS для контроллируемого словаря ac:variant
v001:description,,"Точка доступа в виде эскизного изображения, короткого звукового клипа или короткого фрагмента ролика, которые можно использовать в дополнение к ресурсу для представления мультимедийного объекта, как правило, с более низким качеством и более высоким сжатием, чем объект предварительного просмотра."
v002:description,,"Точка доступа в виде предварительного просмотра видеоклипа («трейлера»), который может предоставлять несколько иное содержание, чем исходный ресурс."
v003:description,,Точка доступа в виде медиаресурса более низкого качества.
v004:description,,Точка доступа в виде медиаресурса среднего качества.
v005:description,,Точка доступа в виде медиаресурса хорошего качества.
v006:description,,Точка доступа в виде медиаресурса более хорошего качества.
v007:description,,Точка доступа к сервису офлайн.
v008:description,,"Точка доступа, обеспечивающая визуальное или графическое представление медиаресурса, не являющегося изображением."
