document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,skos_scopeNote,dcterms_description,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable,term_localName
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/accessURI-2013-10-28,accessURI-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Access URI,"A URI that uniquely identifies a service that provides a representation of the underlying resource. If this resource can be acquired by an http request, its http URL should be given. If not, but it has some URI in another URI scheme, that may be given here.",,"Value might point to something offline, such as a published CD, etc. For example, the doi of an published CD would be a suitable value.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ServiceAccessPoint,,1,No,No,accessURI
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/associatedObservationReference-2013-10-28,associatedObservationReference-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Associated Observation Reference,A reference to an observation associated with this resource.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/RelatedResources,,1,No,Yes,associatedObservationReference
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/associatedSpecimenReference-2013-10-28,associatedSpecimenReference-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Associated Specimen Reference,A reference to a specimen associated with this resource.,,"Supports finding a specimen resource, where additional information is available. If several resources relate to the same specimen, these are implicitly related. Examples: for NHM ""BM 23974324"" for a barcoded or ""BM Smith 32"" for a non-barcoded specimen; for UNITS: ""TSB 28637""; for PMSL: ""PMSL-Lepidoptera-2534781"". Ideally this may be a URI identifying a specimen record that is available online.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/RelatedResources,,1,No,Yes,associatedSpecimenReference
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/attributionLinkURL-2013-10-28,attributionLinkURL-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Attribution Link URL,"The URL where information about ownership, attribution, etc. of the resource may be found.",,"This URL may be used in creating a clickable logo. Providers should consider making this link as specific and useful to consumers as possible, e. g., linking to a metadata page of the specific image resource rather than to a generic page describing the owner or provider of a resource.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Attribution,,1,No,No,attributionLinkURL
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/attributionLogoURL-2013-10-28,attributionLogoURL-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Attribution URL,The URL of the icon or logo image to appear in source attribution.,,Entering this URL into a browser should only result in the icon (not in a webpage including the icon).,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Attribution,,1,No,No,attributionLogoURL
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/caption-2013-10-28,caption-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Caption,"As alternative or in addition to description, a caption is free-form text to be displayed together with (rather than instead of) a resource that is suitable for captions (especially images).",,"If both description and caption are present in the metadata, a description is typically displayed instead of the resource, a caption together with the resource. Often only one of description or caption is present; choose the term most appropriate for your metadata.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ContentCoverage,,2,No,No,caption
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/captureDevice-2013-10-28,captureDevice-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Capture Device,Free form text describing the device or devices used to create the resource.,,"It is best practice to record the device; this may include a combination such as camera plus lens, or camera plus microscope. Examples: ""Canon Supershot 2000"", ""Makroscan Scanner 2000"", ""Zeiss Axioscope with Camera IIIu"", ""SEM (Scanning Electron Microscope)"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ResourceCreation,,2,No,No,captureDevice
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/commenter-2013-10-28,commenter-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Commenter,"A URI denoting a person, using some controlled vocabulary such as FOAF. Implementers and communities of practice may produce restrictions or recommendations on the choice of vocabularies.",,"See also Reviewer Comments for the distinction between Comments and Reviewer Comments. See also the entry for ac:commenterLiteral and the section Namespaces, Prefixes and Term Names in the Audubon Core Term List document for discussion of the rationale for separate terms taking URI values from those taking Literal values where both are possible. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Management,,2,No,No,commenter
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/commenterLiteral-2013-10-28,commenterLiteral-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Commenter,"A name or the literal ""anonymous"" (= anonymously commented).",,"See also Reviewer Comments for the distinction between Comments and Reviewer Comments. See also the entry for ac:commenter and the section Namespaces, Prefixes and Term Names in the Audubon Core Term List document for discussion of the rationale for separate terms taking URI values from those taking Literal values where both are possible. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Management,,2,No,No,commenterLiteral
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/comments-2013-10-28,comments-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Comments,"Any comment provided on the media resource, as free-form text. Best practice would also identify the commenter.",,"Comments may refer to the resource itself (e. g., asserting a taxon name or location of a biological subject in an image), or to the relation between resource and associated metadata (e. g., asserting that the taxon name given in the metadata is wrong, without asserting a positive identification). There is a separate item for Reviewer Comments, which is defined more as an expert-level review. Implementers or communities of practice might establish conventions about the meaning of the absence of a commenter, but this specification is silent on that matter.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Management,,2,No,Yes,comments
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/derivedFrom-2013-10-28,derivedFrom-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Derived From,A reference to an original resource from which the current one is derived.,,"Derivation of one resource from another is of special interest for identification tools (e. g. a key from an unpublished data set, as in FRIDA, or a PDA key from a PC or web key) or web services (e. g. a name synonymization service being derived from a specific data set). It may very rarely also be known where one image or sound recording is derived from another (but compare the separate mechanism to be used for quality/resolution levels). Human readable, or doi number, or URL. Simple name of parent for human readable. Can be repeated if a montage of images.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/RelatedResources,,1,No,Yes,derivedFrom
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/digitizationDate-2013-10-28,digitizationDate-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Date and Time Digitized,"Date the first digital version was created, if different from Original Date and Time found in the Temporal Coverage Vocabulary. The date and time must comply with the World Wide Web Consortium (W3C) datetime practice, https://www.w3.org/TR/NOTE-datetime, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004, https://www.iso.org/standard/40874.html. AC datetime values may also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). See also the wikipedia IS0 8601 entry, https://en.wikipedia.org/wiki/ISO_8601, for further explanation and examples.",,"This is often not the media creation or modification date. For example, if photographic prints have been scanned, the date of that scanning is what this term carries, but Original Date and Time is that depicted in the print. Use the international (ISO/xml) format yyyy-mm-ddThh:mm (e. g. ""2007-12-31"" or ""2007-12-31T14:59""). Where available, timezone information should be added. In the case of digital images containing EXIF, whereas the EXIF capture date does not contain time zone information, but EXIF GPSDateStamp and GPSTimeStamp may be relevant as these include time-zone information. See also Metadata Working Group Guidelines for Handling Image Metadata, Version 2.0 (November 2010), http://www.metadataworkinggroup.org/pdf/mwg_guidance.pdf, which has best practice advice on handling time-zone-less EXIF date/time data. See also the Wikipedia IS0 8601 entry, https://en.wikipedia.org/wiki/ISO_8601, for further explanation and examples.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ResourceCreation,,2,No,No,digitizationDate
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/fundingAttribution-2013-10-28,fundingAttribution-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Funding,Organizations or individuals who funded the creation of the resource.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Attribution,,1,No,Yes,fundingAttribution
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/furtherInformationURL-2013-10-28,furtherInformationURL-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Further Information URL,The URL of a Web site that provides additional information about the version of the media resource that is provided by the Service Access Point.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ServiceAccessPoint,,2,No,No,furtherInformationURL
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/hashFunction-2013-10-28,hashFunction-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Hash Function,The cryptographic hash function used to compute the value given in the Hash Value.,,"Recommended values include MD5, SHA-1, SHA-224,SHA-256, SHA-384, SHA-512, SHA-512/224 and SHA-512/256",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ServiceAccessPoint,,2,No,No,hashFunction
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/hashValue-2013-10-28,hashValue-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Hash,The value computed by a hash function applied to the media that will be delivered at the access point.,,"Best practice is to also specify the hash function by supplying a value of the Hash Function term, using one of the standard literals from the Notes there.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/ServiceAccessPoint,,2,No,No,hashValue
2020-01-27T08:57:06-06:00,http://rs.tdwg.org/ac/terms/version/hasServiceAccessPoint-2013-10-28,hasServiceAccessPoint-2013-10-28,http://rs.tdwg.org/ac/terms/version/,2013-10-28,superseded,,,,Service Access Point,"In a chosen serialization (RDF, XML Schema, etc.) the potentially multiple service access points (e.g., for different resolutions of an image) might be provided in a referenced or in a nested object. This property identifies one such access point. That is, each of potentially multiple values of hasServiceAccessPoint identifies a set of representation-dependent metadata using the properties defined under the Service Access Point Vocabulary section of the Audubon Core Term List document.",,"In a chosen serialization (RDF, XML Schema, etc.) the potentially multiple service access points (e.g., for different resolutions of an image) might be provided in a referenced or in a nested object. This property identifies one such access point. That is, each of potentially multiple values of hasServiceAccessPoint identifies a set of representation-dependent metadata using the properties defined under the Service Access Point Vocabulary of the Audubon Core Term List document.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/attributes/Management,,1,No,Yes,hasServiceAccessPoint
