"identifier","context","text"
"accessURI:label","Label for Access URI http://rs.tdwg.org/dwc/terms/accessURI",""
"accessURI:rdfs_comment","Comment for Access URI http://rs.tdwg.org/dwc/terms/accessURI",""
"accessURI:dcterms_description","Description for Access URI http://rs.tdwg.org/dwc/terms/accessURI",""
"accessURI:skos_scopeNote","Usage for Access URI http://rs.tdwg.org/dwc/terms/accessURI",""
"associatedObservationReference:label","Label for Associated Observation Reference http://rs.tdwg.org/dwc/terms/associatedObservationReference",""
"associatedObservationReference:rdfs_comment","Comment for Associated Observation Reference http://rs.tdwg.org/dwc/terms/associatedObservationReference",""
"associatedSpecimenReference:label","Label for Associated Specimen Reference http://rs.tdwg.org/dwc/terms/associatedSpecimenReference",""
"associatedSpecimenReference:rdfs_comment","Comment for Associated Specimen Reference http://rs.tdwg.org/dwc/terms/associatedSpecimenReference",""
"associatedSpecimenReference:dcterms_description","Description for Associated Specimen Reference http://rs.tdwg.org/dwc/terms/associatedSpecimenReference",""
"attributionLinkURL:label","Label for Attribution Link URL http://rs.tdwg.org/dwc/terms/attributionLinkURL",""
"attributionLinkURL:rdfs_comment","Comment for Attribution Link URL http://rs.tdwg.org/dwc/terms/attributionLinkURL",""
"attributionLinkURL:dcterms_description","Description for Attribution Link URL http://rs.tdwg.org/dwc/terms/attributionLinkURL",""
"attributionLogoURL:label","Label for Attribution URL http://rs.tdwg.org/dwc/terms/attributionLogoURL",""
"attributionLogoURL:rdfs_comment","Comment for Attribution URL http://rs.tdwg.org/dwc/terms/attributionLogoURL",""
"attributionLogoURL:dcterms_description","Description for Attribution URL http://rs.tdwg.org/dwc/terms/attributionLogoURL",""
"caption:label","Label for Caption http://rs.tdwg.org/dwc/terms/caption",""
"caption:rdfs_comment","Comment for Caption http://rs.tdwg.org/dwc/terms/caption",""
"caption:dcterms_description","Description for Caption http://rs.tdwg.org/dwc/terms/caption",""
"captureDevice:label","Label for Capture Device http://rs.tdwg.org/dwc/terms/captureDevice",""
"captureDevice:rdfs_comment","Comment for Capture Device http://rs.tdwg.org/dwc/terms/captureDevice",""
"captureDevice:dcterms_description","Description for Capture Device http://rs.tdwg.org/dwc/terms/captureDevice",""
"commenter:label","Label for Commenter http://rs.tdwg.org/dwc/terms/commenter",""
"commenter:rdfs_comment","Comment for Commenter http://rs.tdwg.org/dwc/terms/commenter",""
"commenter:dcterms_description","Description for Commenter http://rs.tdwg.org/dwc/terms/commenter",""
"commenter:skos_scopeNote","Usage for Commenter http://rs.tdwg.org/dwc/terms/commenter",""
"commenterLiteral:label","Label for Commenter http://rs.tdwg.org/dwc/terms/commenterLiteral",""
"commenterLiteral:rdfs_comment","Comment for Commenter http://rs.tdwg.org/dwc/terms/commenterLiteral",""
"commenterLiteral:dcterms_description","Description for Commenter http://rs.tdwg.org/dwc/terms/commenterLiteral",""
"comments:label","Label for Comments http://rs.tdwg.org/dwc/terms/comments","Commentaires"
"comments:rdfs_comment","Comment for Comments http://rs.tdwg.org/dwc/terms/comments",""
"comments:dcterms_description","Description for Comments http://rs.tdwg.org/dwc/terms/comments",""
"comments:skos_scopeNote","Usage for Comments http://rs.tdwg.org/dwc/terms/comments",""
"derivedFrom:label","Label for Derived From http://rs.tdwg.org/dwc/terms/derivedFrom",""
"derivedFrom:rdfs_comment","Comment for Derived From http://rs.tdwg.org/dwc/terms/derivedFrom",""
"derivedFrom:dcterms_description","Description for Derived From http://rs.tdwg.org/dwc/terms/derivedFrom",""
"derivedFrom:skos_scopeNote","Usage for Derived From http://rs.tdwg.org/dwc/terms/derivedFrom",""
"digitizationDate:label","Label for Date and Time Digitized http://rs.tdwg.org/dwc/terms/digitizationDate",""
"digitizationDate:rdfs_comment","Comment for Date and Time Digitized http://rs.tdwg.org/dwc/terms/digitizationDate",""
"digitizationDate:dcterms_description","Description for Date and Time Digitized http://rs.tdwg.org/dwc/terms/digitizationDate",""
"digitizationDate:skos_scopeNote","Usage for Date and Time Digitized http://rs.tdwg.org/dwc/terms/digitizationDate",""
"fundingAttribution:label","Label for Funding http://rs.tdwg.org/dwc/terms/fundingAttribution",""
"fundingAttribution:rdfs_comment","Comment for Funding http://rs.tdwg.org/dwc/terms/fundingAttribution","Description textuelle des organisations ou des personnes qui ont financé la création de la ressource."
"furtherInformationURL:label","Label for Further Information URL http://rs.tdwg.org/dwc/terms/furtherInformationURL",""
"furtherInformationURL:rdfs_comment","Comment for Further Information URL http://rs.tdwg.org/dwc/terms/furtherInformationURL",""
"hashFunction:label","Label for Hash Function http://rs.tdwg.org/dwc/terms/hashFunction",""
