document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,term_localName
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/ChronometricAge-2020-09-14,ChronometricAge-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/ChronometricAge-2018-11-08,,,Chronometric Age,The age of a specimen or related materials that is generated from a dating assay.,This is a categorical term (class) to organize the other chronometric age properties and does not ever have values.,A radiocarbon date. A date determined through dendrochronology. A date derived using the potassium-argon method.,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,,extension,ChronometricAge
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeConversionProtocol-2020-09-14,chronometricAgeConversionProtocol-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/verbatimChronometricAgeConversionProtocol-2018-11-08,,,Chronometric Age Conversion Protocol,"The method used to convert the uncalibratedChronometricAge into a chronometric age in years, as captured in maximumChronometricAge, maximumChronometricAgeReferenceSystem, minimumChronometricAge, and minimumChronometricAgeReferenceSystem.","For example, calibration of conventional radiocarbon age or the currently accepted age range of a cultural or geological period.","`INTCAL13`, `sequential 6 phase Bayesian model and IntCal13 calibration`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeConversionProtocol
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeID-2020-09-14,chronometricAgeID-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/chronometricAgeID-2018-11-08,,,Chronometric Age ID,An identifier for the set of information associated with a ChronometricAge.,May be a global unique identifier or an identifier specific to the dataset. This can be used to link this record to another repository where more information about the dataset is shared.,`https://www.canadianarchaeology.ca/samples/70673`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeID
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeProtocol-2020-09-14,chronometricAgeProtocol-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/chronometricAgeProtocol-2018-11-13,,,Chronometric Age Protocol,A description of or reference to the methods used to determine the chronometric age.,,"`radiocarbon AMS`, `K-Ar dates for the lower most marker tuff`, `historic documentation`, `ceramic seriation`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeProtocol
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeReferences-2020-09-14,chronometricAgeReferences-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/chronometricAgeReferences-2018-11-13,,,Chronometric Age References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the ChronometricAge.",Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,"`Pluckhahn, Thomas J., Neill J. Wallis, and Victor D. Thompson. 2020  The History and Future of Migrationist Explanation in the Archaeology of the Eastern Woodlands: A Review and Case Study of the Woodland Period Gulf Coast. Journal of Archaeological Research. https://doi.org/10.1007/s10814-019-09140-x`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeReferences
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeRemarks-2020-09-14,chronometricAgeRemarks-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/chronometricAgeRemarks-2018-11-08,,,Chronometric Age Remarks,Notes or comments about the ChronometricAge.,,"`Beta Analytic number: 323913 | One of the Crassostrea virginica right valve specimens from North Midden Feature 17 was chosen for AMS dating, but it is unclear exactly which specimen it was.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeRemarks
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyInYears-2020-09-14,chronometricAgeUncertaintyInYears-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyInYears-2018-11-13,,,Chronometric Age Uncertainty In Years,The temporal uncertainty of the maximumChronometricAge and minimumChronometicAge in years.,This is the +/- number for the age in years. The expected unit for this field is years.,`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeUncertaintyInYears
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyMethod-2020-09-14,chronometricAgeUncertaintyMethod-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/chronometricAgeUncertaintyMethod-2018-11-13,,,Chronometric Age Uncertainty Method,The method used to generate the value of chronometricAgeUncertaintyInYears.,,"`2-sigma calibrated range`, `Half of 95% confidence interval`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeUncertaintyMethod
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/materialDated-2020-09-14,materialDated-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/materialDated-2018-11-08,,,Material Dated,"A description of the material on which the chronometricAgeProtocol was actually performed, if known.",,"`Double Tuff`, `Charcoal found in Stratum V`, `charred wood`, `tooth`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,materialDated
2021-05-04T21:04:16-05:00,http://rs.tdwg.org/chrono/terms/version/materialDatedID-2020-09-14,materialDatedID-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/materialDatedID-2018-11-08,,,Material Dated ID,"An identifier for the material on which the chronometricAgeProtocol was performed, if applicable.",,"`dwc:occurrenceID: 702b306d-f167-44d0-a5c9-890ece2b8839`, `https://www.idigbio.org/portal/records/e1438058-c8b9-418e-998e-1e497a3bcec4`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,materialDatedID
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/maximumChronometricAge-2020-09-14,maximumChronometricAge-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/maximumChronometricAge-2018-11-13,,,Maximum Chronometric Age,Upper limit for the age of a specimen as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated maximumChronometricAgeReferenceSystem.",`27`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,maximumChronometricAge
