version,term_localName
http://rs.tdwg.org/chrono/terms/version/ChronometricAge-2020-09-14,ChronometricAge
http://rs.tdwg.org/chrono/terms/version/chronometricAgeConversionProtocol-2020-09-14,chronometricAgeConversionProtocol
http://rs.tdwg.org/chrono/terms/version/chronometricAgeID-2020-09-14,chronometricAgeID
http://rs.tdwg.org/chrono/terms/version/chronometricAgeProtocol-2020-09-14,chronometricAgeProtocol
http://rs.tdwg.org/chrono/terms/version/chronometricAgeReferences-2020-09-14,chronometricAgeReferences
http://rs.tdwg.org/chrono/terms/version/chronometricAgeRemarks-2020-09-14,chronometricAgeRemarks
http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyInYears-2020-09-14,chronometricAgeUncertaintyInYears
http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyMethod-2020-09-14,chronometricAgeUncertaintyMethod
http://rs.tdwg.org/chrono/terms/version/materialDated-2020-09-14,materialDated
http://rs.tdwg.org/chrono/terms/version/materialDatedID-2020-09-14,materialDatedID
http://rs.tdwg.org/chrono/terms/version/maximumChronometricAge-2020-09-14,maximumChronometricAge
http://rs.tdwg.org/chrono/terms/version/maximumChronometricAgeReferenceSystem-2020-09-14,maximumChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/version/minimumChronometricAge-2020-09-14,minimumChronometricAge
http://rs.tdwg.org/chrono/terms/version/minimumChronometricAgeReferenceSystem-2020-09-14,minimumChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/version/uncalibratedChronometricAge-2020-09-14,uncalibratedChronometricAge
http://rs.tdwg.org/chrono/terms/version/verbatimChronometricAge-2020-09-14,verbatimChronometricAge
http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedBy-2020-10-05,chronometricAgeDeterminedBy
http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedDate-2020-10-05,chronometricAgeDeterminedDate
http://rs.tdwg.org/chrono/terms/version/ChronometricAge-2020-11-17,ChronometricAge
http://rs.tdwg.org/chrono/terms/version/chronometricAgeConversionProtocol-2020-11-17,chronometricAgeConversionProtocol
http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedBy-2020-11-17,chronometricAgeDeterminedBy
http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedDate-2020-11-17,chronometricAgeDeterminedDate
http://rs.tdwg.org/chrono/terms/version/chronometricAgeProtocol-2020-11-17,chronometricAgeProtocol
http://rs.tdwg.org/chrono/terms/version/chronometricAgeReferences-2020-11-17,chronometricAgeReferences
http://rs.tdwg.org/chrono/terms/version/chronometricAgeRemarks-2020-11-17,chronometricAgeRemarks
http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyInYears-2020-11-17,chronometricAgeUncertaintyInYears
http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyMethod-2020-11-17,chronometricAgeUncertaintyMethod
http://rs.tdwg.org/chrono/terms/version/materialDated-2020-11-17,materialDated
http://rs.tdwg.org/chrono/terms/version/maximumChronometricAge-2020-11-17,maximumChronometricAge
http://rs.tdwg.org/chrono/terms/version/maximumChronometricAgeReferenceSystem-2020-11-17,maximumChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/version/minimumChronometricAge-2020-11-17,minimumChronometricAge
http://rs.tdwg.org/chrono/terms/version/minimumChronometricAgeReferenceSystem-2020-11-17,minimumChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/version/ChronometricAge-2021-01-26,ChronometricAge
http://rs.tdwg.org/chrono/terms/version/earliestChronometricAge-2021-01-26,earliestChronometricAge
http://rs.tdwg.org/chrono/terms/version/earliestChronometricAgeReferenceSystem-2021-01-26,earliestChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/version/latestChronometricAge-2021-01-26,latestChronometricAge
http://rs.tdwg.org/chrono/terms/version/latestChronometricAgeReferenceSystem-2021-01-26,latestChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/version/materialDatedID-2021-01-26,materialDatedID
http://rs.tdwg.org/chrono/terms/version/materialDatedRelationship-2021-01-26,materialDatedRelationship
http://rs.tdwg.org/chrono/terms/version/chronometricAgeConversionProtocol-2021-02-02,chronometricAgeConversionProtocol
http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedBy-2021-02-02,chronometricAgeDeterminedBy
http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyInYears-2021-02-02,chronometricAgeUncertaintyInYears
http://rs.tdwg.org/chrono/terms/version/materialDatedID-2021-02-05,materialDatedID
http://rs.tdwg.org/chrono/terms/version/ChronometricAge-2021-02-21,ChronometricAge
http://rs.tdwg.org/chrono/terms/version/chronometricAgeID-2025-06-12,chronometricAgeID
http://rs.tdwg.org/chrono/terms/version/chronometricAgeProtocol-2025-06-12,chronometricAgeProtocol
http://rs.tdwg.org/chrono/terms/version/chronometricAgeConversionProtocol-2025-06-12,chronometricAgeConversionProtocol
http://rs.tdwg.org/chrono/terms/version/earliestChronometricAge-2025-06-12,earliestChronometricAge
http://rs.tdwg.org/chrono/terms/version/earliestChronometricAgeReferenceSystem-2025-06-12,earliestChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/version/latestChronometricAge-2025-06-12,latestChronometricAge
http://rs.tdwg.org/chrono/terms/version/latestChronometricAgeReferenceSystem-2025-06-12,latestChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyInYears-2025-06-12,chronometricAgeUncertaintyInYears
http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyMethod-2025-06-12,chronometricAgeUncertaintyMethod
http://rs.tdwg.org/chrono/terms/version/materialDated-2025-06-12,materialDated
http://rs.tdwg.org/chrono/terms/version/materialDatedID-2025-06-12,materialDatedID
http://rs.tdwg.org/chrono/terms/version/materialDatedRelationship-2025-06-12,materialDatedRelationship
http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedBy-2025-06-12,chronometricAgeDeterminedBy
http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedDate-2025-06-12,chronometricAgeDeterminedDate
http://rs.tdwg.org/chrono/terms/version/chronometricAgeReferences-2025-06-12,chronometricAgeReferences
http://rs.tdwg.org/chrono/terms/version/chronometricAgeRemarks-2025-06-12,chronometricAgeRemarks
