rdf_type,replacing_version,replacing_version_localName,replacing_version_namespace,replaced_version,replaced_version_namespace,replaced_version_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/recordNumber-2009-04-24,recordNumber-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/CollectorNumber-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,CollectorNumber-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/dateIdentified-2009-04-24,dateIdentified-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/DateIdentified-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,DateIdentified-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/disposition-2009-04-24,disposition-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/Disposition-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,Disposition-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/fieldNotes-2009-04-24,fieldNotes-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/FieldNotes-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,FieldNotes-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/fieldNumber-2009-04-24,fieldNumber-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/FieldNumber-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,FieldNumber-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/associatedSequences-2009-04-24,associatedSequences-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/GenBankNumber-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,GenBankNumber-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/identifiedBy-2009-04-24,identifiedBy-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/IdentifiedBy-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,IdentifiedBy-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/individualCount-2009-04-24,individualCount-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/IndividualCount-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,IndividualCount-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/otherCatalogNumbers-2009-04-24,otherCatalogNumbers-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/OtherCatalogNumbers-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,OtherCatalogNumbers-2007-04-17
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs-test.tdwg.org/dwc/terms/version/preparations-2009-04-24,preparations-2009-04-24,http://rs-test.tdwg.org/dwc/terms/version/,http://rs-test.tdwg.org/dwc/curatorial/version/Preparations-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,Preparations-2007-04-17
