document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,term_localName
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/CatalogNumberNumeric-2007-04-17,CatalogNumberNumeric-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberNumeric-2003-06-17,,,Catalog Number Numeric,"The CatalogNumber as a numeric value, if applicable. This element allows searching on numeric ranges of CatalogNumbers. Example: 145732.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/UnitIDNumeric,,,CatalogNumberNumeric
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/CollectorNumber-2007-04-17,CollectorNumber-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-17,,,Collector Number,An identifying string applied to the object or observation at the time of collection. Serves as a link between field notes and the object or observation.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/GatheringAgents/GatheringAgentsText,,,CollectorNumber
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/DateIdentified-2007-04-17,DateIdentified-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/MonthIdentified-2003-06-17,http://digir.net/schema/conceptual/darwin/2003/1.0/version/YearIdentified-2003-06-17,Date Identified,The date-time in the Common Era calendar in which the object or observation was identified as being a member of the taxon given in the ScientificName.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/Date/DateText,,,DateIdentified
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/Disposition-2007-04-17,Disposition-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,,,,Disposition,"The current disposition of the cataloged item. Examples: ""in collection"", ""missing"", ""voucher elsewhere"", ""duplicates elsewhere"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SpecimenUnit/Disposition,,,Disposition
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/FieldNotes-2007-04-17,FieldNotes-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/FieldNotes-2003-06-17,,,Field Notes,"One of a) a flag indicating the existence of, b) a reference to (such as a URL or literature citation), or c) the actual free text content of notes taken in the field about the specimen or observation.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/FieldNotes,,,FieldNotes
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/FieldNumber-2007-04-17,FieldNumber-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/FieldNumber-2003-06-17,,,Field Number,An identifying string applied to a set of objects or observations resulting from a single collecting event.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Code,,,FieldNumber
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/GenBankNumber-2007-04-17,GenBankNumber-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/GenBankNum-2003-06-17,,,Gen Bank Number,GenBank Accession number(s) associated with the biological individual(s) referred to by the cataloged object.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Sequences/Sequence/ID-in-Database + constant,,,GenBankNumber
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/IdentifiedBy-2007-04-17,IdentifiedBy-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IdentifiedBy-2003-06-17,,,Identified By,The name(s) of the person(s) who applied the ScientificName to the object or observation. Example: James L. Patton.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/Identifiers/IdentifiersText,,,IdentifiedBy
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/IndividualCount-2007-04-17,IndividualCount-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/IndividualCount-2003-06-17,,,Individual Count,The number of individuals present in the lot or container. Not to be used for observations.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/LowerValue,,,IndividualCount
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/OtherCatalogNumbers-2007-04-17,OtherCatalogNumbers-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/OtherCatalogNumbers-2003-06-17,,,Other Catalog Numbers,"A list of previous or alternative fully qualified catalog numbers for the same object or observation, whether in the current collection or in any other.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnitsText,,,OtherCatalogNumbers
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/Preparations-2007-04-17,Preparations-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/Preparations-2003-06-17,,,Preparations,"A concatenated list of preparations and preservation methods for the object. Examples: ""skin"", ""skull"", ""skeleton"", ""whole animal (ETOH)"", ""tissue (EDTA)"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SpecimenUnit/Preparations/PreparationsText,,,Preparations
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/RelatedCatalogedItems-2007-04-17,RelatedCatalogedItems-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/RelatedCatalogedItems-2003-06-17,,,Related Cataloged Items,"One or more GlobalUniqueIdentifiers (cf. http://wiki.tdwg.org/twiki/bin/view/DarwinCore/GlobalUniqueIdentifier ) of related objects or observations, optionally preceded by the nature of the relationship. Examples: ""(sibling of) URN:catalog:MVZ:Mammal:1234"", ""(endoparasite of) URN:catalog:FMNH:Bird:41321"", ""(sheet 2 of 2) URN:WTU:VascularPlants:353087"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceInstitutionCode + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceName + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitID,,,RelatedCatalogedItems
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/TypeStatus-2007-04-17,TypeStatus-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/TypeStatus-2003-06-17,,,Type Status,"A list of one or more nomenclatural types (including type status and typified taxonomic name) represented by the object. Example: ""holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeText,,,TypeStatus
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/VerbatimCollectingDate-2007-04-17,VerbatimCollectingDate-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/VerbatimCollectingDate-2003-06-17,,,Verbatim Collecting Date,"The verbatim original representation of the date (and time) information for the collecting event. Example: ""spring 1910"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/DateTime/DateText,,,VerbatimCollectingDate
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/VerbatimDepth-2007-04-17,VerbatimDepth-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/VerbatimDepth-2003-06-17,,,Verbatim Depth,"A text representation of the depth in its original format in the source database. Example: ""100 to 200 ft below sea level"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactText,,,VerbatimDepth
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/curatorial/version/VerbatimElevation-2007-04-17,VerbatimElevation-2007-04-17,http://rs-test.tdwg.org/dwc/curatorial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/VerbatimElevation-2003-06-17,,,Verbatim Elevation,"A text representation of the altitude in its original format in the source database. Example: ""1000+- meters"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactText,,,VerbatimElevation
