replacing_term,replaced_term_localName
http://rs.tdwg.org/dwc/terms/recordNumber,CollectorNumber
http://rs.tdwg.org/dwc/terms/dateIdentified,DateIdentified
http://rs.tdwg.org/dwc/terms/disposition,Disposition
http://rs.tdwg.org/dwc/terms/fieldNotes,FieldNotes
http://rs.tdwg.org/dwc/terms/fieldNumber,FieldNumber
http://rs.tdwg.org/dwc/terms/associatedSequences,GenBankNumber
http://rs.tdwg.org/dwc/terms/identifiedBy,IdentifiedBy
http://rs.tdwg.org/dwc/terms/individualCount,IndividualCount
http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,OtherCatalogNumbers
http://rs.tdwg.org/dwc/terms/preparations,Preparations
http://rs.tdwg.org/dwc/terms/associatedOccurrences,RelatedCatalogedItems
http://rs.tdwg.org/dwc/terms/typeStatus,TypeStatus
http://rs.tdwg.org/dwc/terms/verbatimEventDate,VerbatimCollectingDate
http://rs.tdwg.org/dwc/terms/verbatimDepth,VerbatimDepth
http://rs.tdwg.org/dwc/terms/verbatimElevation,VerbatimElevation
