document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision
2017-09-23T06:53:00-05:00,CatalogNumberNumeric,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/CatalogNumberNumeric,,,Catalog Number Numeric,"The CatalogNumber as a numeric value, if applicable. This element allows searching on numeric ranges of CatalogNumbers. Example: 145732.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/UnitIDNumeric,,
2017-09-23T06:53:00-05:00,CollectorNumber,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/CollectorNumber,,,Collector Number,An identifying string applied to the object or observation at the time of collection. Serves as a link between field notes and the object or observation.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/GatheringAgents/GatheringAgentsText,,
2017-09-23T06:53:00-05:00,DateIdentified,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/DayIdentified,http://digir.net/schema/conceptual/darwin/2003/1.0/MonthIdentified,http://digir.net/schema/conceptual/darwin/2003/1.0/YearIdentified,Date Identified,The date-time in the Common Era calendar in which the object or observation was identified as being a member of the taxon given in the ScientificName.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/Date/DateText,,
2017-09-23T06:53:00-05:00,Disposition,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,,,,Disposition,"The current disposition of the cataloged item. Examples: ""in collection"", ""missing"", ""voucher elsewhere"", ""duplicates elsewhere"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SpecimenUnit/Disposition,,
2017-09-23T06:53:00-05:00,FieldNotes,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/FieldNotes,,,Field Notes,"One of a) a flag indicating the existence of, b) a reference to (such as a URL or literature citation), or c) the actual free text content of notes taken in the field about the specimen or observation.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/FieldNotes,,
2017-09-23T06:53:00-05:00,FieldNumber,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/FieldNumber,,,Field Number,An identifying string applied to a set of objects or observations resulting from a single collecting event.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/Code,,
2017-09-23T06:53:00-05:00,GenBankNumber,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/GenBankNum,,,Gen Bank Number,GenBank Accession number(s) associated with the biological individual(s) referred to by the cataloged object.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Sequences/Sequence/ID-in-Database + constant,,
2017-09-23T06:53:00-05:00,IdentifiedBy,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/IdentifiedBy,,,Identified By,The name(s) of the person(s) who applied the ScientificName to the object or observation. Example: James L. Patton.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Identifications/Identification/Identifiers/IdentifiersText,,
2017-09-23T06:53:00-05:00,IndividualCount,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/IndividualCount,,,Individual Count,The number of individuals present in the lot or container. Not to be used for observations.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/LowerValue,,
2017-09-23T06:53:00-05:00,OtherCatalogNumbers,http://rs-test.tdwg.org/dwc/curatorial/,2007-04-17,2009-04-24,true,http://digir.net/schema/conceptual/darwin/2003/1.0/OtherCatalogNumbers,,,Other Catalog Numbers,"A list of previous or alternative fully qualified catalog numbers for the same object or observation, whether in the current collection or in any other.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/SpecimenUnit/History/PreviousUnitsText,,
