replacing_version,replaced_version_localName
http://rs.tdwg.org/dwc/dwcore/version/LifeStage-2007-04-17,AgeClass-2003-06-17
http://www.iobis.org/obis/version/Lifestage-2005-07-10,AgeClass-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BasisOfRecord-2003-06-17,BasisOfRecord-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/BasisOfRecord-2007-04-17,BasisOfRecord-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/BoundingBox-2003-06-17,BoundingBox-2003-06-13
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CatalogNumberText-2003-06-17,CatalogNumber-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/CatalogNumberNumeric-2007-04-17,CatalogNumberNumeric-2003-06-17
http://rs.tdwg.org/dwc/terms/version/CatalogNumberNumeric-2008-11-19,CatalogNumberNumeric-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/CatalogNumber-2007-04-17,CatalogNumberText-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Class-2003-06-17,Class-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Class-2007-04-17,Class-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectionCode-2003-06-17,CollectionCode-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/CollectionCode-2007-04-17,CollectionCode-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Collector-2003-06-17,Collector-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Collector-2007-04-17,Collector-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CollectorNumber-2003-06-17,CollectorNumber-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/CollectorNumber-2007-04-17,CollectorNumber-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/ContinentOcean-2003-06-17,ContinentOcean-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Continent-2007-04-17,ContinentOcean-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/WaterBody-2007-04-17,ContinentOcean-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinateUncertaintyInMeters-2003-06-17,CoordinatePrecision-2003-06-13
http://rs.tdwg.org/dwc/terms/version/coordinatePrecision-2009-04-24,CoordinatePrecision-2003-06-13
http://rs.tdwg.org/dwc/geospatial/version/CoordinateUncertaintyInMeters-2007-04-17,CoordinateUncertaintyInMeters-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Country-2003-06-17,Country-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Country-2007-04-17,Country-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/County-2003-06-17,County-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/County-2007-04-17,County-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DateLastModified-2003-06-17,DateLastModified-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/DateLastModified-2007-04-17,DateLastModified-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayCollected-2003-06-17,DayCollected-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/EarliestDateCollected-2007-04-17,DayCollected-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/LatestDateCollected-2007-04-17,DayCollected-2003-06-17
http://rs.tdwg.org/dwc/terms/version/day-2009-04-24,DayCollected-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DayIdentified-2003-06-17,DayIdentified-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/DateIdentified-2007-04-17,DayIdentified-2003-06-17
http://rs.tdwg.org/dwc/geospatial/version/DecimalLatitude-2007-04-17,DecimalLatitude-2003-06-17
http://rs.tdwg.org/dwc/geospatial/version/DecimalLongitude-2007-04-17,DecimalLongitude-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Family-2003-06-17,Family-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Family-2007-04-17,Family-2003-06-17
http://rs.tdwg.org/dwc/curatorial/version/FieldNotes-2007-04-17,FieldNotes-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/FieldNumber-2003-06-17,FieldNumber-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/FieldNumber-2007-04-17,FieldNumber-2003-06-17
http://rs.tdwg.org/dwc/curatorial/version/GenBankNumber-2007-04-17,GenBankNum-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Genus-2003-06-17,Genus-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Genus-2007-04-17,Genus-2003-06-17
http://rs.tdwg.org/dwc/geospatial/version/GeoreferenceProtocol-2007-04-17,GeorefMethod-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/HigherGeography-2007-04-17,HigherGeography-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/HigherTaxon-2007-04-17,HigherTaxon-2003-06-17
http://rs.tdwg.org/dwc/geospatial/version/GeodeticDatum-2007-04-17,HorizontalDatum-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/IdentificationQualifier-2007-04-17,IdentificationModifier-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/IdentifiedBy-2003-06-17,IdentifiedBy-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/IdentifiedBy-2007-04-17,IdentifiedBy-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/IndividualCount-2003-06-17,IndividualCount-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/IndividualCount-2007-04-17,IndividualCount-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/InstitutionCode-2003-06-17,InstitutionCode-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/InstitutionCode-2007-04-17,InstitutionCode-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/Island-2007-04-17,Island-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/IslandGroup-2007-04-17,IslandGroup-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/JulianDay-2003-06-17,JulianDay-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/DayOfYear-2007-04-17,JulianDay-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Kingdom-2003-06-17,Kingdom-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Kingdom-2007-04-17,Kingdom-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DecimalLatitude-2003-06-17,Latitude-2003-06-13
http://rs.tdwg.org/dwc/geospatial/version/GeoreferenceRemarks-2007-04-17,LatLongComments-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Locality-2003-06-17,Locality-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Locality-2007-04-17,Locality-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/DecimalLongitude-2003-06-17,Longitude-2003-06-13
http://digir.net/schema/conceptual/darwin/2003/1.0/version/MaximumDepthInMeters-2003-06-17,MaximumDepth-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/MaximumDepthInMeters-2007-04-17,MaximumDepthInMeters-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/MaximumElevationInMeters-2003-06-17,MaximumElevation-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/MaximumElevationInMeters-2007-04-17,MaximumElevationInMeters-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/MinimumDepthInMeters-2003-06-17,MinimumDepth-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/MinimumDepthInMeters-2007-04-17,MinimumDepthInMeters-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/MinimumElevationInMeters-2003-06-17,MinimumElevation-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/MinimumElevationInMeters-2007-04-17,MinimumElevationInMeters-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/MonthCollected-2003-06-17,MonthCollected-2003-06-13
http://rs.tdwg.org/dwc/terms/version/month-2009-04-24,MonthCollected-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/EarliestDateCollected-2007-04-17,MonthCollected-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/LatestDateCollected-2007-04-17,MonthCollected-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/MonthIdentified-2003-06-17,MonthIdentified-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/DateIdentified-2007-04-17,MonthIdentified-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Remarks-2003-06-17,Notes-2003-06-13
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Order-2003-06-17,Order-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Order-2007-04-17,Order-2003-06-17
http://rs.tdwg.org/dwc/geospatial/version/VerbatimCoordinateSystem-2007-04-17,OriginalCoordinateSystem-2003-06-17
http://rs.tdwg.org/dwc/curatorial/version/OtherCatalogNumbers-2007-04-17,OtherCatalogNumbers-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Phylum-2003-06-17,Phylum-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Phylum-2007-04-17,Phylum-2003-06-17
http://rs.tdwg.org/dwc/curatorial/version/Preparations-2007-04-17,Preparations-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Preparations-2003-06-17,PreparationType-2003-06-13
http://digir.net/schema/conceptual/darwin/2003/1.0/version/OtherCatalogNumbers-2003-06-17,PreviousCatalogNumber-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/RelatedCatalogedItems-2007-04-17,RelatedCatalogedItems-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/RelatedCatalogedItems-2003-06-17,RelatedCatalogItem-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Remarks-2007-04-17,Remarks-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/ScientificName-2003-06-17,ScientificName-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/ScientificName-2007-04-17,ScientificName-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/ScientificNameAuthor-2003-06-17,ScientificNameAuthor-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/AuthorYearOfScientificName-2007-04-17,ScientificNameAuthor-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Sex-2003-06-17,Sex-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/Sex-2007-04-17,Sex-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Species-2003-06-17,Species-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/SpecificEpithet-2007-04-17,Species-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/StateProvince-2003-06-17,StateProvince-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/StateProvince-2007-04-17,StateProvince-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/Subspecies-2003-06-17,Subspecies-2003-06-13
http://rs.tdwg.org/dwc/dwcore/version/InfraspecificEpithet-2007-04-17,Subspecies-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/TimeCollected-2003-06-17,TimeOfDay-2003-06-13
http://digir.net/schema/conceptual/darwin/2003/1.0/version/TypeStatus-2003-06-17,TypeStatus-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/TypeStatus-2007-04-17,TypeStatus-2003-06-17
http://rs.tdwg.org/dwc/curatorial/version/VerbatimCollectingDate-2007-04-17,VerbatimCollectingDate-2003-06-17
http://rs.tdwg.org/dwc/curatorial/version/VerbatimDepth-2007-04-17,VerbatimDepth-2003-06-17
http://rs.tdwg.org/dwc/curatorial/version/VerbatimElevation-2007-04-17,VerbatimElevation-2003-06-17
http://rs.tdwg.org/dwc/geospatial/version/VerbatimLatitude-2007-04-17,VerbatimLatitude-2003-06-17
http://rs.tdwg.org/dwc/geospatial/version/VerbatimLongitude-2007-04-17,VerbatimLongitude-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/YearCollected-2003-06-17,YearCollected-2003-06-13
http://rs.tdwg.org/dwc/terms/version/year-2009-04-24,YearCollected-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/EarliestDateCollected-2007-04-17,YearCollected-2003-06-17
http://rs.tdwg.org/dwc/dwcore/version/LatestDateCollected-2007-04-17,YearCollected-2003-06-17
http://digir.net/schema/conceptual/darwin/2003/1.0/version/YearIdentified-2003-06-17,YearIdentified-2003-06-13
http://rs.tdwg.org/dwc/curatorial/version/DateIdentified-2007-04-17,YearIdentified-2003-06-17
http://rs.tdwg.org/dwc/terms/version/bed-2009-04-24,Bed-2005-07-03
http://rs.tdwg.org/dwc/terms/version/earliestAgeOrLowestStage-2009-04-24,EarliestAgeOrLowestStage-2005-07-03
http://rs.tdwg.org/dwc/terms/version/earliestEonOrLowestEonothem-2009-04-24,EarliestEonOrLowestEonothem-2005-07-03
http://rs.tdwg.org/dwc/terms/version/earliestEpochOrLowestSeries-2009-04-24,EarliestEpochOrLowestSeries-2005-07-03
http://rs.tdwg.org/dwc/terms/version/earliestEraOrLowestErathem-2009-04-24,EarliestEraOrLowestErathem-2005-07-03
http://rs.tdwg.org/dwc/terms/version/earliestPeriodOrLowestSystem-2009-04-24,EarliestPeriodOrLowestSystem-2005-07-03
http://rs.tdwg.org/dwc/terms/version/formation-2009-04-24,Formation-2005-07-03
http://rs.tdwg.org/dwc/terms/version/group-2009-04-24,Group-2005-07-03
http://rs.tdwg.org/dwc/terms/version/highestBiostratigraphicZone-2009-04-24,HighestBiostratigraphicZone-2005-07-03
http://rs.tdwg.org/dwc/terms/version/latestAgeOrHighestStage-2009-04-24,LatestAgeOrHighestStage-2005-07-03
http://rs.tdwg.org/dwc/terms/version/latestEpochOrHighestSeries-2009-04-24,LatestEpochOrHighestSeries-2005-07-03
http://rs.tdwg.org/dwc/terms/version/latestEraOrHighestErathem-2009-04-24,LatestEraOrHighestErathem-2005-07-03
http://rs.tdwg.org/dwc/terms/version/latestPeriodOrHighestSystem-2009-04-24,LatestPeriodOrHighestSystem-2005-07-03
http://rs.tdwg.org/dwc/terms/version/lithostratigraphicTerms-2009-04-24,LithostratigraphicTerms-2005-07-03
http://rs.tdwg.org/dwc/terms/version/lowestBiostratigraphicZone-2009-04-24,LowestBiostratigraphicZone-2005-07-03
http://rs.tdwg.org/dwc/terms/version/member-2009-04-24,Member-2005-07-03
http://dublincore.org/usage/terms/history/#accessRights-002,accessRights-001
http://dublincore.org/usage/terms/history/#bibliographicCitation-002,bibliographicCitation-001
http://dublincore.org/usage/terms/history/#license-002,license-001
http://dublincore.org/usage/terms/history/#modified-003,modified-002
http://dublincore.org/usage/terms/history/#references-003,references-002
http://dublincore.org/usage/terms/history/#rightsHolder-002,rightsHolder-001
http://rs.tdwg.org/dwc/terms/version/materialSampleID-2013-05-25,source_mat_id-2011-01-26
http://rs.tdwg.org/dwc/terms/version/EndTimeOfDay-2008-11-19,EndTimeOfDay-2005-07-10
http://rs.tdwg.org/dwc/dwcore/version/RelatedInformation-2007-04-17,RecordURL-2005-07-10
http://rs.tdwg.org/dwc/terms/version/StartTimeOfDay-2008-11-19,StartTimeOfDay-2005-07-10
http://rs.tdwg.org/dwc/terms/version/subgenus-2009-04-24,Subgenus-2005-07-10
