identifier,context,text
available:label,Label for Date Available http://rs.tdwg.org/dwc/terms/available,Date Available
available:rdfs_comment,Comment for Date Available http://rs.tdwg.org/dwc/terms/available,Date (often a range) that the resource became or will become available. 
available:dcterms_description,Description for Date Available http://rs.tdwg.org/dwc/terms/available,"A use case is the harvesting of metadata published before the media are available, which are pending a formal publication elsewhere. One important example is the case of metadata that documents an occurrence, which metadata harvesters might exploit without use of the media. See also the wikipedia IS0 8601 entry, https://en.wikipedia.org/wiki/ISO_8601, for further explanation and examples."
available:skos_scopeNote,Usage for Date Available http://rs.tdwg.org/dwc/terms/available,"The date (often a range) that the resource became or will become available. The date and time MUST comply with the World Wide Web Consortium (W3C) datetime practice, https://www.w3.org/TR/NOTE-datetime, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004, https://www.iso.org/standard/40874.html. AC datetime values MAY also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/')."
creator:label,Label for Creator http://rs.tdwg.org/dwc/terms/creator,Creator
creator:rdfs_comment,Comment for Creator http://rs.tdwg.org/dwc/terms/creator,An entity primarily responsible for making the resource. 
creator:dcterms_description,Description for Creator http://rs.tdwg.org/dwc/terms/creator,"Note that the Creator need not be the Copyright Owner. See also the entry for dc:creator in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions."
creator:skos_scopeNote,Usage for Creator http://rs.tdwg.org/dwc/terms/creator,A URI representing the person or organization responsible for creating the media resource.
description:label,Label for Description http://rs.tdwg.org/dwc/terms/description,Description
description:rdfs_comment,Comment for Description http://rs.tdwg.org/dwc/terms/description,An account of the resource. 
description:dcterms_description,Description for Description http://rs.tdwg.org/dwc/terms/description,"This property optionally allows the presentation of detailed information and will in most cases be shown together with the resource title. If both a description and a caption are present in the metadata, a description is typically displayed instead of the resource, whereas a caption is displayed together with the resource. The description should aim to be a good proxy for the underlying media resource in cases where only text can be shown, whereas the caption may only make sense when shown together with the media. Thus, in HTML it would be appropriate to use dcterms:description values for alt attributes in img elements. Often only one of description or caption is present; choose the term most appropriate for your metadata. It is the role of implementers of an AC concrete representation (e.g., an XML Schema, an RDF representation, etc.) to decide and document how formatting advice will be represented in descriptions serialized according to such representations."
description:skos_scopeNote,Usage for Description http://rs.tdwg.org/dwc/terms/description,"Description of collection or individual resource, containing the Who, What, When, Where and Why as free-form text."
format:label,Label for Format (IRI) http://rs.tdwg.org/dwc/terms/format,Format (IRI)
format:rdfs_comment,Comment for Format (IRI) http://rs.tdwg.org/dwc/terms/format,"The file format, physical medium, or dimensions of the resource. "
format:dcterms_description,Description for Format (IRI) http://rs.tdwg.org/dwc/terms/format,"In cases where an IRI for the format does not exist in the controlled vocabulary, a provider can omit this property and provide a media type or file extension value for dc:format. See the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Labels have no effect on information discovery and are only suggestions."
format:skos_scopeNote,Usage for Format (IRI) http://rs.tdwg.org/dwc/terms/format,An IRI denoting the technical format of the resource (file format or physical medium). The IRI SHOULD be from the Audiovisual Core Controlled Vocabulary for Dublin Core format. Human-readable information about the Controlled Vocabulary for format is at http://rs.tdwg.org/ac/doc/format/ .
identifier:label,Label for Identifier http://rs.tdwg.org/dwc/terms/identifier,Identifier
identifier:rdfs_comment,Comment for Identifier http://rs.tdwg.org/dwc/terms/identifier,An unambiguous reference to the resource within a given context. 
identifier:dcterms_description,Description for Identifier http://rs.tdwg.org/dwc/terms/identifier,"Using multiple identifiers implies that they have a same-as relationship, i.e. they all identify the same object (e. g. an object may have all of an http-URL, an lsid-URI, and a UUID)."
identifier:skos_scopeNote,Usage for Identifier http://rs.tdwg.org/dwc/terms/identifier,"An arbitrary code that is unique for the resource, with the resource being either a provider, collection, or media item."
language:label,Label for Language http://rs.tdwg.org/dwc/terms/language,Language
language:rdfs_comment,Comment for Language http://rs.tdwg.org/dwc/terms/language,A language of the resource. 
language:dcterms_description,Description for Language http://rs.tdwg.org/dwc/terms/language,"An image may contain language such as superimposed labels. If an image is of a natural scene or organism, without any language included, the resource is language-neutral with URI http://id.loc.gov/vocabulary/iso639-2/zxx corresponding to ISO ISO639-2 code ""zxx"". Resources with present but unknown language are to be coded as undetermined, with URI http://id.loc.gov/vocabulary/iso639-2/und corresponding to ISO639-2 code ""und"". Regional dialects or other special cases should conform to the ISO639-5 Alpha-3 Code for Language Families and Groups, http://id.loc.gov/vocabulary/iso639-5.html, where possible or the IETF Best Practices for Tags Identifying Languages, https://tools.ietf.org/html/rfc5646, where not. See also the entry for dc:language in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions."
language:skos_scopeNote,Usage for Language http://rs.tdwg.org/dwc/terms/language,"URI from the ISO639-2 list of URIs for ISO 3-letter language codes, http://id.loc.gov/vocabulary/iso639-2."
modified:label,Label for Modified http://rs.tdwg.org/dwc/terms/modified,Modified
modified:rdfs_comment,Comment for Modified http://rs.tdwg.org/dwc/terms/modified,Date on which the resource was changed. 
modified:dcterms_description,Description for Modified http://rs.tdwg.org/dwc/terms/modified,"dcterms:modified permits all modification dates to be recorded, or if only one is recorded, it is assumed to be the latest. See also the wikipedia IS0 8601 entry, https://en.wikipedia.org/wiki/ISO_8601, for further explanation and examples."
modified:skos_scopeNote,Usage for Modified http://rs.tdwg.org/dwc/terms/modified,"Date that the media resource was altered. The date and time MUST comply with the World Wide Web Consortium (W3C) datetime practice, https://www.w3.org/TR/NOTE-datetime, which requires that date and time representation correspond to ISO 8601:1998, https://www.iso.org/standard/40874.html, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values MAY also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/')."
rights:label,Label for Copyright Statement http://rs.tdwg.org/dwc/terms/rights,Copyright Statement
rights:rdfs_comment,Comment for Copyright Statement http://rs.tdwg.org/dwc/terms/rights,Information about rights held in and over the resource.
rights:dcterms_description,Description for Copyright Statement http://rs.tdwg.org/dwc/terms/rights,"This expresses rights over the media resource, not over the metadata text. See also the entry for dc:rights in the Audiovisual Core Term List document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions. Examples include http://creativecommons.org/licenses/by/3.0/legalcode and http://creativecommons.org/publicdomain/zero/1.0/."
rights:skos_scopeNote,Usage for Copyright Statement http://rs.tdwg.org/dwc/terms/rights,"A URI pointing to structured information about rights held in and over the resource. At least one of dcterms:rights and dc:rights MUST be supplied but, when feasible, supplying both might make the metadata more widely useful. They MUST specify the same rights. In case of ambiguity, dcterms:rights prevails."
source:label,Label for Published Source http://rs.tdwg.org/dwc/terms/source,Published Source
source:rdfs_comment,Comment for Published Source http://rs.tdwg.org/dwc/terms/source,A related resource from which the described resource is derived. 
source:dcterms_description,Description for Published Source http://rs.tdwg.org/dwc/terms/source,"If the resource was digitized from a non-digital resource, or was also previously published in a digital or printed publication, this describes the original. If a string is required for this, use dc:source. Do not put generally ""related"" publications in here. A URI that can be resolved and dereferenced to provide a description of the source resource may also be used here. For example, ""http://www.loc.gov/pictures/item/fsa1998021539/PP/"" is the address of a web page that provides a description the original negative of a famous picture by the photographer Dorothea Lange and so would be an appropriate value of dcterms:source. The term may be repeatable if a montage of images. Information about further provenance beyond the ultimate source should be put in the derivedFrom attribute. See also the entry for dc:source in the Audiovisual Core term list document and see the DCMI FAQ on DC and DCTERMS Namespaces, https://web.archive.org/web/20171126043657/https://github.com/dcmi/repository/blob/master/mediawiki_wiki/FAQ/DC_and_DCTERMS_Namespaces.md, for discussion of the rationale for terms in two namespaces. Normal practice is to use the same Label if both are provided. Labels have no effect on information discovery and are only suggestions."
source:skos_scopeNote,Usage for Published Source http://rs.tdwg.org/dwc/terms/source,URI for an identifiable source from which the described resources was derived.
temporal:label,Label for Temporal Coverage http://rs.tdwg.org/dwc/terms/temporal,Temporal Coverage
temporal:rdfs_comment,Comment for Temporal Coverage http://rs.tdwg.org/dwc/terms/temporal,Temporal characteristics of the resource. 
