document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
2020-07-26T07:00:00-04:00,accessRights,http://purl.org/dc/terms/,2003-02-15,2008-01-14,,http://rs.tdwg.org/dwc/terms/AccessConstraints,,,Access Rights,"Information about who can access the resource or an indication of its security status. Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.","Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.","`not-for-profit use only`, `https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple
2020-07-26T07:00:00-04:00,bibliographicCitation,http://purl.org/dc/terms/,2003-02-15,2008-01-14,,,,,Bibliographic Citation,A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used.,Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.,"Specimen example: `Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal`. Taxon example: `Oliver P. Pearson. 1985. Los tuco-tucos (genera Ctenomys) de los Parques Nacionales Lanin y Nahuel Huapi, Argentina Historia Natural, 5(37):337-343.`.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple
2020-07-26T07:00:00-04:00,language,http://purl.org/dc/terms/,2008-01-14,2008-01-14,,,,,Language,A language of the resource.,Recommended best practice is to use a controlled vocabulary such as RFC 4646 [RFC4646].,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple
2020-07-26T07:00:00-04:00,license,http://purl.org/dc/terms/,2004-06-14,2008-01-14,,http://purl.org/dc/terms/rights,,,License,A legal document giving official permission to do something with the resource.,,"`http://creativecommons.org/publicdomain/zero/1.0/legalcode`, `http://creativecommons.org/licenses/by/4.0/legalcode`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple
2020-07-26T07:00:00-04:00,Location,http://purl.org/dc/terms/,2008-01-14,2008-01-14,,http://rs.tdwg.org/dwc/dwctype/Location,,,Location,A spatial region or named place.,,"The municipality of San Carlos de Bariloche, Río Negro, Argentina. The place defined by a georeference.",http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,http://purl.org/dc/terms/,,simple
2020-07-26T07:00:00-04:00,modified,http://purl.org/dc/terms/,2000-07-11,2008-01-14,,,,,Date Modified,The most recent date-time on which the resource was changed.,Recommended best practice is to use a date that conforms to ISO 8601:2004(E).,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC). `2009-02-20T08:40Z` (20 February 2009 8:40am UTC). `2018-08-29T15:19` (3:19pm local time on 29 August 2018). `1809-02-12` (some time during 12 February 1809). `1906-06` (some time in June 1906). `1971` (some time in the year 1971). `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC). `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909). `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple
2020-07-26T07:00:00-04:00,references,http://purl.org/dc/terms/,2000-07-11,2008-01-14,,,,,References,"A related resource that is referenced, cited, or otherwise pointed to by the described resource.",,"`http://arctos.database.museum/guid/MVZ:Mamm:165861`, `http://www.catalogueoflife.org/annual-checklist/show_species_details.php?record_id=6197868`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple
2020-07-26T07:00:00-04:00,rightsHolder,http://purl.org/dc/terms/,2004-06-14,2008-01-14,,,,,Rights Holder,A person or organization owning or managing rights over the resource.,,`The Regents of the University of California`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,simple
2020-07-26T07:00:00-04:00,type,http://purl.org/dc/terms/,2008-01-14,2008-01-14,true,,,,Type,The nature or genre of the resource.,"To provide a string literal value for type, use dc:type rather than this term. In accordance with the Darwin Core RDF guide, rdf:type should be used instead of this term to indicate an IRI value for type.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,,
2020-07-26T07:00:00-04:00,rights,http://purl.org/dc/terms/,2008-01-14,2008-01-14,true,,,,Rights,Information about rights held in and over the resource.,"Typically, rights information includes a statement about various property rights associated with the resource, including intellectual property rights.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://purl.org/dc/terms/,http://rs.tdwg.org/dwc/terms/history/decisions/#Decision-2014-11-06_17,
