identifier,context,text
accessRights:label,Label for Access Rights http://rs.tdwg.org/dwc/terms/accessRights,Access Rights
accessRights:rdfs_comment,Comment for Access Rights http://rs.tdwg.org/dwc/terms/accessRights,Information about who can access the resource or an indication of its security status.
accessRights:dcterms_description,Description for Access Rights http://rs.tdwg.org/dwc/terms/accessRights,"Access Rights may include information regarding access or restrictions based on privacy, security, or other policies."
accessRights:examples,Examples for Access Rights http://rs.tdwg.org/dwc/terms/accessRights,`not-for-profit use only` (string literal example); `https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images` (URI example)
bibliographicCitation:label,Label for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation,Bibliographic Citation
bibliographicCitation:rdfs_comment,Comment for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation,A bibliographic reference for the resource.
bibliographicCitation:dcterms_description,Description for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation,"From Dublin Core, ""Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible."" The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself - ""how to cite this record"". Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource - ""where to find the as-close-to-original reference"", if one is available."
bibliographicCitation:examples,Examples for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation,"`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)"
language:label,Label for Language http://rs.tdwg.org/dwc/terms/language,Language
language:rdfs_comment,Comment for Language http://rs.tdwg.org/dwc/terms/language,A language of the resource.
language:dcterms_description,Description for Language http://rs.tdwg.org/dwc/terms/language,Recommended best practice is to use an IRI from the Library of Congress ISO 639-2 scheme http://id.loc.gov/vocabulary/iso639-2
license:label,Label for License http://rs.tdwg.org/dwc/terms/license,License
license:rdfs_comment,Comment for License http://rs.tdwg.org/dwc/terms/license,A legal document giving official permission to do something with the resource.
Location:label,Label for Location http://rs.tdwg.org/dwc/terms/Location,Location
Location:rdfs_comment,Comment for Location http://rs.tdwg.org/dwc/terms/Location,A spatial region or named place.
modified:label,Label for Date Modified http://rs.tdwg.org/dwc/terms/modified,Date Modified
modified:rdfs_comment,Comment for Date Modified http://rs.tdwg.org/dwc/terms/modified,Date on which the resource was changed.
modified:dcterms_description,Description for Date Modified http://rs.tdwg.org/dwc/terms/modified,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.
modified:examples,Examples for Date Modified http://rs.tdwg.org/dwc/terms/modified,`1963-03-08T14:07-06:00` (8 Mar 1963 at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 at or after 8:40am and before 8:41 UTC); `2018-08-29T15:19` (29 August 2018 at or after 3:19pm and before 3:20pm local time); `1809-02-12` (within the day 12 February 1809); `1906-06` (in the month of June 1906); `1971` (in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time within the interval beginning 1 March 2007 at 1pm UTC and before 11 May 2008 at 3:30pm UTC); `1900/1909` (some time within the interval between the beginning of the year 1900 and before the year 1909); `2007-11-13/15` (some time in the interval between the beginning of 13 November 2007 and before 15 November 2007)
references:label,Label for References http://rs.tdwg.org/dwc/terms/references,References
references:rdfs_comment,Comment for References http://rs.tdwg.org/dwc/terms/references,"A related resource that is referenced, cited, or otherwise pointed to by the described resource."
references:dcterms_description,Description for References http://rs.tdwg.org/dwc/terms/references,"From Dublin Core, ""This property is intended to be used with non-literal values. This property is an inverse property of Is Referenced By."" The intended usage of this term in Darwin Core is to point to the definitive source representation of the resource (e.g.,dwc:Taxon, dwc:Occurrence, dwc:Event), if one is available. Note that the intended usage of dcterms:bibliographicCitation in Darwin Core, by contrast, is to provide the preferred way to cite the resource itself."
references:examples,Examples for References http://rs.tdwg.org/dwc/terms/references,`http://arctos.database.museum/guid/MVZ:Mamm:165861` (MaterialEntity example); `https://www.catalogueoflife.org/data/taxon/32664` (Taxon example)
rightsHolder:label,Label for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder,Rights Holder
rightsHolder:rdfs_comment,Comment for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder,A person or organization owning or managing rights over the resource.
