"identifier","context","text"
"accessRights:label","Label for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","Derechos de Acceso"
"accessRights:rdfs_comment","Comment for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","Información sobre quién puede acceder al recurso o una indicación de su estado de seguridad."
"accessRights:dcterms_description","Description for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","Derechos de Acceso puede incluir información acerca del acceso o restricciones basadas en privacidad, seguridad u otras políticas."
"accessRights:examples","Examples for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","`solo uso sin fines de lucro` (ejemplo de string literal); `https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images` (ejemplo de URI)"
"bibliographicCitation:label","Label for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation","Citación Bibliográfica"
"bibliographicCitation:rdfs_comment","Comment for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation","Una referencia bibliográfica del recurso."
"bibliographicCitation:dcterms_description","Description for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation","Desde Dublin Core, ""Práctica recomendada es incluir suficientes detalles biobliográficos para identificar el recurso evitando toda posible ambiguedad"" [traducción libre]. El uso previsto de este término en Darwin Core es proveer la forma preferente para citar lo recursos en sí mismos - ""cómo citar este registro"". Notar que el uso previsto de dcterms:references en Darwin Core, en contraste, es para señalar la definitiva representación de la fuente del recurso - ""dónde encontrar la referencia más cercana a la original"", si ésta está disponible."
"bibliographicCitation:examples","Examples for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Fuente: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Ejemplo de Ocurrencia); `https://www.gbif.org/species/2439608 Fuente: GBIF Taxonomic Backbone` (Ejemplo de Taxón); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Ejemplo de Evento)"
"language:label","Label for Language http://rs.tdwg.org/dwc/terms/language","Idioma"
"language:rdfs_comment","Comment for Language http://rs.tdwg.org/dwc/terms/language","Un idioma del recurso."
"language:dcterms_description","Description for Language http://rs.tdwg.org/dwc/terms/language","Buena práctica recomendada es usar un IRI desde Library of Congress ISO 639-2 scheme http://id.loc.gov/vocabulary/iso639-2"
"license:label","Label for License http://rs.tdwg.org/dwc/terms/license","Licencia"
"license:rdfs_comment","Comment for License http://rs.tdwg.org/dwc/terms/license","Un documento legal dando permiso oficial para hacer algo con el recurso."
"Location:label","Label for Location http://rs.tdwg.org/dwc/terms/Location","Ubicación"
"Location:rdfs_comment","Comment for Location http://rs.tdwg.org/dwc/terms/Location","Una región espacial o lugar mencionado."
"modified:label","Label for Date Modified http://rs.tdwg.org/dwc/terms/modified","Fecha de modificación"
"modified:rdfs_comment","Comment for Date Modified http://rs.tdwg.org/dwc/terms/modified","Fecha en la que se modificó el recurso."
"modified:dcterms_description","Description for Date Modified http://rs.tdwg.org/dwc/terms/modified","Buena práctica recomendad es usar una fecha conforme con ISO 8601-1:2019."
"modified:examples","Examples for Date Modified http://rs.tdwg.org/dwc/terms/modified","`1963-03-08T14:07-06:00` (8 de marzo de 1963 a partir de las 2:07 p. m. y antes de las 2:08 p. m. en la zona horaria seis horas anterior a UTC); `2009-02-20T08:40Z` (20 de febrero de 2009 a partir de las 8:40 a. m. y antes de las 8:41 UTC); `2018-08-29T15:19` (29 de agosto de 2018 a partir de las 3:19 p. m. y antes de las 3:20 p. m. hora local); `1809-02-12` (dentro del día 12 de febrero de 1809); `1906-06` (en el mes de junio de 1906); `1971` (en el año 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (en algún momento dentro del intervalo que comienza el 1 de marzo de 2007 a la 1 p. m. UTC y antes del 11 de mayo de 2008 a las 3:30 p. m. UTC); `1900/1909` (en algún momento dentro del intervalo entre principios del año 1900 y antes del año 1909); `2007-11-13/15` (en algún momento en el intervalo entre principios del 13 de noviembre de 2007 y antes del 15 de noviembre de 2007)"
"references:label","Label for References http://rs.tdwg.org/dwc/terms/references","Referencias"
"references:rdfs_comment","Comment for References http://rs.tdwg.org/dwc/terms/references","Un recurso relacionado que es referenciado, citado o señalado de alguna forma por el recurso descrito."
"references:dcterms_description","Description for References http://rs.tdwg.org/dwc/terms/references","Desde Dublin Core, ""La propiedad es prevista para ser usada con valores no literales. Esta propiedad es una propiedad inversa de Is Referenced By"" [tradución libre]. El uso previsto de este término en Darwin Core es señalar el representación definitiva de la fuente del recurso (por ejemplo: dwc:Taxon, dwc:Occurrence, dwc:Event), si alguno está disponible. Notar que el uso previsto del término dcterms:bibliographicCitation en Darwin Core, en contraste, es para proveer la forma predilecta para citar el recurso en sí mismo."
"references:examples","Examples for References http://rs.tdwg.org/dwc/terms/references","`http://arctos.database.museum/guid/MVZ:Mamm:165861` (ejemplo de Entidad Material); `https://www.catalogueoflife.org/data/taxon/32664` (ejemplo de Taxón)"
"rightsHolder:label","Label for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Titular de Derechos"
"rightsHolder:rdfs_comment","Comment for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder","Una persona u organización dueña o gerente de derechos sobre el recurso."
