"identifier","context","text"
"accessRights:label","Label for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","Droits d'accès"
"accessRights:rdfs_comment","Comment for Access Rights http://rs.tdwg.org/dwc/terms/accessRights","Informations sur les personnes autorisées à accéder à la ressource ou indication de son statut de sécurité."
"accessRights:dcterms_description","Description for Access Rights http://rs.tdwg.org/dwc/terms/accessRights",""
"accessRights:examples","Examples for Access Rights http://rs.tdwg.org/dwc/terms/accessRights",""
"bibliographicCitation:label","Label for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"bibliographicCitation:rdfs_comment","Comment for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"bibliographicCitation:dcterms_description","Description for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"bibliographicCitation:examples","Examples for Bibliographic Citation http://rs.tdwg.org/dwc/terms/bibliographicCitation",""
"language:label","Label for Language http://rs.tdwg.org/dwc/terms/language","Langue"
"language:rdfs_comment","Comment for Language http://rs.tdwg.org/dwc/terms/language","Une langue de la ressource."
"language:dcterms_description","Description for Language http://rs.tdwg.org/dwc/terms/language","La pratique optimale recommandée est d'utiliser un IRI du schéma ISO 639-2 de la Bibliothèque du Congrès US http://id.loc.gov/vocabulary/iso639-2"
"license:label","Label for License http://rs.tdwg.org/dwc/terms/license","Licence"
"license:rdfs_comment","Comment for License http://rs.tdwg.org/dwc/terms/license","Document juridique donnant l'autorisation officielle de faire quelque chose avec la ressource."
"Location:label","Label for Location http://rs.tdwg.org/dwc/terms/Location",""
"Location:rdfs_comment","Comment for Location http://rs.tdwg.org/dwc/terms/Location",""
"modified:label","Label for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:rdfs_comment","Comment for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:dcterms_description","Description for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"modified:examples","Examples for Date Modified http://rs.tdwg.org/dwc/terms/modified",""
"references:label","Label for References http://rs.tdwg.org/dwc/terms/references","Références"
"references:rdfs_comment","Comment for References http://rs.tdwg.org/dwc/terms/references",""
"references:dcterms_description","Description for References http://rs.tdwg.org/dwc/terms/references",""
"references:examples","Examples for References http://rs.tdwg.org/dwc/terms/references",""
"rightsHolder:label","Label for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder",""
"rightsHolder:rdfs_comment","Comment for Rights Holder http://rs.tdwg.org/dwc/terms/rightsHolder",""
