document_modified,term_localName,term_isDefinedBy,term_modified,label,rdfs_comment
2017-10-10T08:14:00-05:00,decision-2009-12-07_1,http://rs.tdwg.org/decisions/,2009-12-07,TDWG Executive Committee decision 1,"The recommended controlled vocabulary for dcterms:type was changed from a vocabulary of Darwin Core Classes (Occurrence, Taxon, Location, Event) to the DCMI type vocabulary (PhysicalObject, Event, StillImage, MovingImage, Sound, Text, Dataset) to be consistent with the standard use of that term."
2017-10-10T08:14:00-05:00,decision-2009-12-07_2,http://rs.tdwg.org/decisions/,2009-12-07,TDWG Executive Committee decision 2,"The recommended controlled vocabulary for basisOfRecord remains the Darwin Core Type Vocabulary, but the Dublin Core classes StillImage, MovingImage, and Sound were removed from that list as these are to be used as vocabulary for the dcterms:type term."
2017-10-10T08:14:00-05:00,decision-2011-10-16_3,http://rs.tdwg.org/decisions/,2011-10-16,TDWG Executive Committee decision 3,"The Dublin Core type vocabulary values StillImage, MovingImage, and Sound have not been added to the list of valid values for Darwin Core type vocabulary pending further insights from the RDF Interest Group about how best to manage basisOfRecord when a record can be ""about"" more than one subject."
2017-10-10T08:14:00-05:00,decision-2011-10-16_4,http://rs.tdwg.org/decisions/,2011-10-16,TDWG Executive Committee decision 4,The recommendation to add alias as an attribute of Darwin Core terms was rejected as being an application-specific recommendation without sufficiently demonstrated community need.
2017-10-10T08:14:00-05:00,decision-2011-10-16_5,http://rs.tdwg.org/decisions/,2011-10-16,TDWG Executive Committee decision 5,The label for all terms have been changed to words in English rather than lower camel case term names. This will facilitate discovery with search engines and is consistent with Dublin Core.
2017-10-10T08:14:00-05:00,decision-2011-10-16_6,http://rs.tdwg.org/decisions/,2011-10-16,TDWG Executive Committee decision 6,The subclasses for Darwin Core type vocabulary have been removed. These were seen as too constraining when considering biodiversity information in the context of linked data.
2017-10-10T08:14:00-05:00,decision-2011-10-16_7,http://rs.tdwg.org/decisions/,2011-10-16,TDWG Executive Committee decision 7,"The term Darwin Core term dwc:occurrenceDetails has been deprecated in favor of a new record-level term from the Dublin Core - dcterms:references, which is broader in meaning than the deprecated term."
2017-10-10T08:14:00-05:00,decision-2011-10-16_8,http://rs.tdwg.org/decisions/,2011-10-16,TDWG Executive Committee decision 8,Added term namePublishedInYear.
2017-10-10T08:14:00-05:00,decision-2011-10-16_9,http://rs.tdwg.org/decisions/,2011-10-16,TDWG Executive Committee decision 9,Added term georeferencedDate.
2017-10-10T08:14:00-05:00,decision-2011-10-16_10,http://rs.tdwg.org/decisions/,2011-10-16,TDWG Executive Committee decision 10,Added term identificationVerificationStatus.
2017-10-10T08:14:00-05:00,decision-2013-10-09_11,http://rs.tdwg.org/decisions/,2013-10-09,TDWG Executive Committee decision 11,Added term MaterialSample.
2017-10-10T08:14:00-05:00,decision-2013-10-09_12,http://rs.tdwg.org/decisions/,2013-10-09,TDWG Executive Committee decision 12,Added Darwin Core type vocabulary term MaterialSample.
2017-10-10T08:14:00-05:00,decision-2013-10-09_13,http://rs.tdwg.org/decisions/,2013-10-09,TDWG Executive Committee decision 13,Added term materialSampleID.
2017-10-10T08:14:00-05:00,decision-2014-10-26_14,http://rs.tdwg.org/decisions/,2014-10-26,TDWG Executive Committee decision 14,"Added class term Organism with associated properties organismID, organismName, organismScope, organismRemarks, and associatedOrganisms. Associated terms previousIdentifications and associatedOccurrences with the new Organism class. Removed the individualID term."
2017-10-10T08:14:00-05:00,decision-2014-10-26_15,http://rs.tdwg.org/decisions/,2014-10-26,TDWG Executive Committee decision 15,"Deprecated the Darwin Core Type Vocabulary (http://rs.tdwg.org/dwc/dwctype) in favor of the corresponding terms in the dwc namespace (http://rs.tdwg.org/dwc/terms). Added terms PreservedSpecimen, LivingSpecimen, FossilSpecimen, MachineObservation, and HumanObservation to the Darwin Core namespace (http://rs.tdwg.org/dwc/terms)."
2017-10-10T08:14:00-05:00,decision-2014-10-30_16,http://rs.tdwg.org/decisions/,2014-10-30,TDWG Executive Committee decision 16,Added comments recommending list value separation with ' | ' for terms that can be constructed from concatenated lists. Added comment recommending that dynamicProperties be populated with JSON.
2017-10-10T08:14:00-05:00,decision-2014-11-06_17,http://rs.tdwg.org/decisions/,2014-11-06,TDWG Executive Committee decision 17,"Deprecated the Dublin Core rights term in favor of the Dublin Core license term, which is how rights was being promoted since it was first recommended for use in Darwin Core."
2017-10-10T08:14:00-05:00,decision-2015-03-19_18,http://rs.tdwg.org/decisions/,2015-03-19,TDWG Executive Committee decision 18,"Added the following terms related to sampling events: parentEventID, sampleSizeValue, sampleSizeUnit, organismQuantity, organismQuantityType."
2020-01-27T15:45:00-06:00,decision-2019-12-01_19,http://rs.tdwg.org/decisions/,2019-12-01,TDWG Executive Committee decision 19,Remove the layer property from all terms in Audubon Core. See https://github.com/tdwg/ac/issues/143
2020-01-27T15:45:00-06:00,decision-2019-12-01_20,http://rs.tdwg.org/decisions/,2019-12-01,TDWG Executive Committee decision 20,Revised the usage guidelines for dc:type and dcterms:type in Audubon Core. See https://github.com/tdwg/ac/issues/144
2020-01-27T15:45:00-06:00,decision-2019-12-01_21,http://rs.tdwg.org/decisions/,2019-12-01,TDWG Executive Committee decision 21,Added the service access point class ac:ServiceAccessPoint to Audubon Core. See https://github.com/tdwg/ac/issues/137
2020-10-18T19:34:24-04:00,decision-2020-10-13_22,http://rs.tdwg.org/decisions/,2020-10-13,TDWG Executive Committee decision 22,Created the controlled vocabulary for the Darwin Core pathway term. See https://github.com/tdwg/dwc/issues/259
2020-10-18T19:34:24-04:00,decision-2020-10-13_23,http://rs.tdwg.org/decisions/,2020-10-13,TDWG Executive Committee decision 23,Added new Darwin Core terms dwc:pathway and dwciri:pathway. See https://github.com/tdwg/dwc/issues/236
2020-10-18T19:34:24-04:00,decision-2020-10-13_24,http://rs.tdwg.org/decisions/,2020-10-13,TDWG Executive Committee decision 24,Created the controlled vocabulary for the Darwin Core establishmentMeans term. See https://github.com/tdwg/dwc/issues/258
2020-10-18T19:34:24-04:00,decision-2020-10-13_25,http://rs.tdwg.org/decisions/,2020-10-13,TDWG Executive Committee decision 25,Changed definition of dwc:establishmentMeans and dwciri:establishmentMeans and metadata pointing to newly established controlled vocabulary. See https://github.com/tdwg/dwc/issues/235
