document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,controlled_value_string,skos_inScheme,type,term_localName
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d-2020-10-13,d-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,degreeOfEstablishment concept scheme,A SKOS Concept Scheme to be used as a controlled vocabulary for the Darwin Core terms dwc:degreeOfEstablishment and dwciri:degreeOfEstablishment,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,d
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d001-2020-10-13,d001-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,native (category A),Not transported beyond limits of native range,,Considered native and naturally occuring. See also Blackburn et al. 2011 https://doi.org/10.1016/j.tree.2011.03.023 category A,native,d,http://www.w3.org/2004/02/skos/core#Concept,d001
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d002-2020-10-13,d002-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,captive (category B1),"Individuals in captivity or quarantine (i.e. individuals provided with conditions suitable for them, but explicit measures of containment are in place)",Only for cases where specific actions have been taken place to prevent escape of individuals or propagules,See also Blackburn et al. 2011 https://doi.org/10.1016/j.tree.2011.03.023 category B1,captive,d,http://www.w3.org/2004/02/skos/core#Concept,d002
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d003-2020-10-13,d003-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,cultivated (category B2),"Individuals in cultivation (i.e. individuals provided with conditions suitable for them, but explicit measures to prevent dispersal are limited at best)",,"Examples include gardens, parks and farms. See also Blackburn et al. 2011 https://doi.org/10.1016/j.tree.2011.03.023 category B2",cultivated,d,http://www.w3.org/2004/02/skos/core#Concept,d003
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d004-2020-10-13,d004-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,released (category B3),Individuals directly released into novel environment,,"For example, fish stocked for angling, birds for hunting. See also Blackburn et al. 2011 https://doi.org/10.1016/j.tree.2011.03.023 category B3",released,d,http://www.w3.org/2004/02/skos/core#Concept,d004
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d005-2020-10-13,d005-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,failing (category C0),"Individuals released outside of captivity or cultivation in a location, but incapable of surviving for a significant period",,Such as frost tender plants sown or planted in a cold climate. See also Blackburn et al. 2011 https://doi.org/10.1016/j.tree.2011.03.023 category C0,failing,d,http://www.w3.org/2004/02/skos/core#Concept,d005
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d006-2020-10-13,d006-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,casual (category C1),"Individuals surviving outside of captivity or cultivation in a location, no reproduction",,Trees planted in the wild for forestry or ornament may come under this category. See also Blackburn et al. 2011 https://doi.org/10.1016/j.tree.2011.03.023 category C1,casual,d,http://www.w3.org/2004/02/skos/core#Concept,d006
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d007-2020-10-13,d007-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,reproducing (category C2),"Individuals surviving outside of captivity or cultivation in a location, reproduction is occurring, but population not self-sustaining",,"Offspring are produced, but these either do not survive or are fertile enough to maintain the population. See also Blackburn et al. 2011 https://doi.org/10.1016/j.tree.2011.03.023 category C2",reproducing,d,http://www.w3.org/2004/02/skos/core#Concept,d007
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d008-2020-10-13,d008-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,established (category C3),"Individuals surviving outside of captivity or cultivation in a location, reproduction occurring, and population self-sustaining",,"The population is maintained by reproduction, but is not spreading. See also Blackburn et al. 2011 https://doi.org/10.1016/j.tree.2011.03.023 category C3",established,d,http://www.w3.org/2004/02/skos/core#Concept,d008
2020-10-18T01:16:05-04:00,http://rs.tdwg.org/dwcdoe/values/version/d009-2020-10-13,d009-2020-10-13,http://rs.tdwg.org/dwcdoe/values/version/,2020-10-13,recommended,,,,colonising (category D1),"Self-sustaining population outside of captivity or cultivation, with individuals surviving a significant distance from the original point of introduction",,The population is maintained by reproduction and is spreading. See also Blackburn et al. 2011 https://doi.org/10.1016/j.tree.2011.03.023 category D1,colonising,d,http://www.w3.org/2004/02/skos/core#Concept,d009
