version,term_localName
http://rs.tdwg.org/dwcdoe/values/version/d-2020-10-13,d
http://rs.tdwg.org/dwcdoe/values/version/d001-2020-10-13,d001
http://rs.tdwg.org/dwcdoe/values/version/d002-2020-10-13,d002
http://rs.tdwg.org/dwcdoe/values/version/d003-2020-10-13,d003
http://rs.tdwg.org/dwcdoe/values/version/d004-2020-10-13,d004
http://rs.tdwg.org/dwcdoe/values/version/d005-2020-10-13,d005
http://rs.tdwg.org/dwcdoe/values/version/d006-2020-10-13,d006
http://rs.tdwg.org/dwcdoe/values/version/d007-2020-10-13,d007
http://rs.tdwg.org/dwcdoe/values/version/d008-2020-10-13,d008
http://rs.tdwg.org/dwcdoe/values/version/d009-2020-10-13,d009
http://rs.tdwg.org/dwcdoe/values/version/d010-2020-10-13,d010
http://rs.tdwg.org/dwcdoe/values/version/d011-2020-10-13,d011
