"identifier","context","text"
"d:label","Label for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d",""
"d:definition","Definition for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d",""
"d001:label","Label for native (category A) http://rs.tdwg.org/dwc/terms/d001","einheimisch"
"d001:definition","Definition for native (category A) http://rs.tdwg.org/dwc/terms/d001","Nicht über die Grenzen des einheimischen Verbreitungsgebiets hinaus transportiert."
"d001:notes","Notes for native (category A) http://rs.tdwg.org/dwc/terms/d001",""
"d002:label","Label for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","gefangen"
"d002:definition","Definition for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","Individuen in Gefangenschaft oder Quarantäne (d.h. Individuen, die unter für sie geeigneten Bedingungen gehalten werden, aber explizite Maßnahmen der Eindämmung sind umgesetzt)."
"d002:notes","Notes for captive (category B1) http://rs.tdwg.org/dwc/terms/d002",""
"d003:label","Label for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003","gezüchtet"
"d003:definition","Definition for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003","Individuen in Zucht (d.h. Individuen, denen geeignete Bedingungen geboten werden, aber explizite Maßnahmen zur bestmöglichen Verhinderung der Ausbreitung sind umgesetzt.)"
"d003:notes","Notes for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003",""
"d004:label","Label for released (category B3) http://rs.tdwg.org/dwc/terms/d004","ausgesetzt"
"d004:definition","Definition for released (category B3) http://rs.tdwg.org/dwc/terms/d004","Individuen, die direkt in eine neue Umwelt entlassen werden."
"d004:notes","Notes for released (category B3) http://rs.tdwg.org/dwc/terms/d004",""
"d005:label","Label for failing (category C0) http://rs.tdwg.org/dwc/terms/d005","erfolglos"
"d005:definition","Definition for failing (category C0) http://rs.tdwg.org/dwc/terms/d005","Individuen, die außerhalb der Gefangenschaft oder der Zucht an einem Ort freigelassen werden, aber nicht in der Lage sind, über einen längeren Zeitraum zu überleben."
"d005:notes","Notes for failing (category C0) http://rs.tdwg.org/dwc/terms/d005",""
"d006:label","Label for casual (category C1) http://rs.tdwg.org/dwc/terms/d006","unbeständig"
"d006:definition","Definition for casual (category C1) http://rs.tdwg.org/dwc/terms/d006","Individuen, die außerhalb von Gefangenschaft oder Zucht an einem Ort überleben, sich aber nicht fortpflanzen."
"d006:notes","Notes for casual (category C1) http://rs.tdwg.org/dwc/terms/d006",""
"d007:label","Label for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007","fortpflanzend"
"d007:definition","Definition for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007","Individuen, die außerhalb von Gefangenschaft oder Zucht an einem Ort überleben. Fortpflanzung ist erfolgreich, aber die Population ist nicht selbsterhaltend."
"d007:notes","Notes for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007",""
"d008:label","Label for established (category C3) http://rs.tdwg.org/dwc/terms/d008","etabliert"
"d008:definition","Definition for established (category C3) http://rs.tdwg.org/dwc/terms/d008","Individuen, die außerhalb von Gefangenschaft oder Zucht an einem Ort überleben. Fortpflanzung ist erfolgreichund die Population ist selbsterhaltend."
"d008:notes","Notes for established (category C3) http://rs.tdwg.org/dwc/terms/d008",""
"d009:label","Label for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009","kolonisierend"
"d009:definition","Definition for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009","Sich selbst erhaltende Population außerhalb von Gefangenschaft oder Zucht, in der die Individuen eine große Entfernungen vom Aussetzungsortüberleben."
"d009:notes","Notes for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009",""
"d010:label","Label for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010","invasiv"
"d010:definition","Definition for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010","Sich selbst erhaltende Population außerhalb von Gefangenschaft oder Zucht, in der die Individuen überleben und sich in großer Entfernung vom Aussetzungsort erfolgreich fortpflanzen."
"d010:notes","Notes for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010",""
"d011:label","Label for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011","verbreitet invasiv"
"d011:definition","Definition for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011","Vollständig invasive Art, deren Individuen sich über verschiedenen Lebensräumen henaus ausbreiten, dort überleben und sich an meheren Orten erfolgreich fortpflanzen."
"d011:notes","Notes for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011",""
