identifier,context,text
d:label,Label for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d,degreeOfEstablishment concept scheme
d:definition,Definition for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d,A SKOS Concept Scheme to be used as a controlled vocabulary for the Darwin Core terms dwc:degreeOfEstablishment and dwciri:degreeOfEstablishment
d001:label,Label for native (category A) http://rs.tdwg.org/dwc/terms/d001,native (category A)
d001:definition,Definition for native (category A) http://rs.tdwg.org/dwc/terms/d001,Not transported beyond limits of native range.
d001:notes,Notes for native (category A) http://rs.tdwg.org/dwc/terms/d001,"Considered native and naturally occurring. See also ""category A"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d002:label,Label for captive (category B1) http://rs.tdwg.org/dwc/terms/d002,captive (category B1)
d002:definition,Definition for captive (category B1) http://rs.tdwg.org/dwc/terms/d002,"Individuals in captivity or quarantine (i.e., individuals provided with conditions suitable for them, but explicit measures of containment are in place)."
d002:notes,Notes for captive (category B1) http://rs.tdwg.org/dwc/terms/d002,"See also ""category B1"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d003:label,Label for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003,cultivated (category B2)
d003:definition,Definition for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003,"Individuals in cultivation (i.e., individuals provided with conditions suitable for them, but explicit measures to prevent dispersal are limited at best)."
d003:notes,Notes for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003,"Examples include gardens, parks and farms. See also ""category B2"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d004:label,Label for released (category B3) http://rs.tdwg.org/dwc/terms/d004,released (category B3)
d004:definition,Definition for released (category B3) http://rs.tdwg.org/dwc/terms/d004,Individuals directly released into novel environment.
d004:notes,Notes for released (category B3) http://rs.tdwg.org/dwc/terms/d004,"For example, fish stocked for angling, birds for hunting. See also ""category B3"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d005:label,Label for failing (category C0) http://rs.tdwg.org/dwc/terms/d005,failing (category C0)
d005:definition,Definition for failing (category C0) http://rs.tdwg.org/dwc/terms/d005,"Individuals released outside of captivity or cultivation in a location, but incapable of surviving for a significant period."
d005:notes,Notes for failing (category C0) http://rs.tdwg.org/dwc/terms/d005,"For example, frost-tender plants sown or planted in a cold climate. See also ""category C0"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d006:label,Label for casual (category C1) http://rs.tdwg.org/dwc/terms/d006,casual (category C1)
d006:definition,Definition for casual (category C1) http://rs.tdwg.org/dwc/terms/d006,Individuals surviving outside of captivity or cultivation in a location with no reproduction.
d006:notes,Notes for casual (category C1) http://rs.tdwg.org/dwc/terms/d006,"Trees planted in the wild for forestry or ornament may come under this category. See also ""category C1"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d007:label,Label for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007,reproducing (category C2)
d007:definition,Definition for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007,"Individuals surviving outside of captivity or cultivation in a location. Reproduction is occurring, but population not self-sustaining."
d007:notes,Notes for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007,"Offspring are produced, but these either do not survive or are not fertile enough to maintain the population. See also ""category C2"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d008:label,Label for established (category C3) http://rs.tdwg.org/dwc/terms/d008,established (category C3)
d008:definition,Definition for established (category C3) http://rs.tdwg.org/dwc/terms/d008,"Individuals surviving outside of captivity or cultivation in a location. Reproduction occurring, and population self-sustaining."
d008:notes,Notes for established (category C3) http://rs.tdwg.org/dwc/terms/d008,"The population is maintained by reproduction, but is not spreading. See also ""category C3"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d009:label,Label for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009,colonising (category D1)
d009:definition,Definition for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009,"Self-sustaining population outside of captivity or cultivation, with individuals surviving a significant distance from the original point of introduction."
d009:notes,Notes for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009,"The population is maintained by reproduction and is spreading. See also ""category D1"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d010:label,Label for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010,invasive (category D2)
d010:definition,Definition for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010,"Self-sustaining population outside of captivity or cultivation, with individuals surviving and reproducing a significant distance from the original point of introduction."
d010:notes,Notes for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010,"The population is maintained by reproduction, is spreading, and its progeny are also reproducing and spreading. See also ""category D2"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
d011:label,Label for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011,widespread invasive (category E)
d011:definition,Definition for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011,"Fully invasive species, with individuals dispersing, surviving and reproducing at multiple sites across a spectrum of habitats and geographic range."
d011:notes,Notes for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011,"See also ""category E"" in Blackburn et al. 2011. https://doi.org/10.1016/j.tree.2011.03.023"
