"identifier","context","text"
"d:label","Label for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d","原生或引入程度評估的概念架構"
"d:definition","Definition for degreeOfEstablishment concept scheme http://rs.tdwg.org/dwc/terms/d",""
"d001:label","Label for native (category A) http://rs.tdwg.org/dwc/terms/d001","原生（類別 A）"
"d001:definition","Definition for native (category A) http://rs.tdwg.org/dwc/terms/d001","未運輸至原本活動範圍之外"
"d001:notes","Notes for native (category A) http://rs.tdwg.org/dwc/terms/d001",""
"d002:label","Label for captive (category B1) http://rs.tdwg.org/dwc/terms/d002","收容（類別 B1）"
"d002:definition","Definition for captive (category B1) http://rs.tdwg.org/dwc/terms/d002",""
"d002:usage","Usage for captive (category B1) http://rs.tdwg.org/dwc/terms/d002",""
"d002:notes","Notes for captive (category B1) http://rs.tdwg.org/dwc/terms/d002",""
"d003:label","Label for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003","栽培"
"d003:definition","Definition for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003",""
"d003:notes","Notes for cultivated (category B2) http://rs.tdwg.org/dwc/terms/d003",""
"d004:label","Label for released (category B3) http://rs.tdwg.org/dwc/terms/d004","野放"
"d004:definition","Definition for released (category B3) http://rs.tdwg.org/dwc/terms/d004",""
"d004:notes","Notes for released (category B3) http://rs.tdwg.org/dwc/terms/d004",""
"d005:label","Label for failing (category C0) http://rs.tdwg.org/dwc/terms/d005","衰退中"
"d005:definition","Definition for failing (category C0) http://rs.tdwg.org/dwc/terms/d005",""
"d005:notes","Notes for failing (category C0) http://rs.tdwg.org/dwc/terms/d005",""
"d006:label","Label for casual (category C1) http://rs.tdwg.org/dwc/terms/d006","偶然出現的"
"d006:definition","Definition for casual (category C1) http://rs.tdwg.org/dwc/terms/d006",""
"d006:notes","Notes for casual (category C1) http://rs.tdwg.org/dwc/terms/d006",""
"d007:label","Label for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007","繁殖中"
"d007:definition","Definition for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007",""
"d007:notes","Notes for reproducing (category C2) http://rs.tdwg.org/dwc/terms/d007",""
"d008:label","Label for established (category C3) http://rs.tdwg.org/dwc/terms/d008","歸化"
"d008:definition","Definition for established (category C3) http://rs.tdwg.org/dwc/terms/d008",""
"d008:notes","Notes for established (category C3) http://rs.tdwg.org/dwc/terms/d008",""
"d009:label","Label for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009","拓殖中"
"d009:definition","Definition for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009",""
"d009:notes","Notes for colonising (category D1) http://rs.tdwg.org/dwc/terms/d009",""
"d010:label","Label for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010","入侵"
"d010:definition","Definition for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010",""
"d010:notes","Notes for invasive (category D2) http://rs.tdwg.org/dwc/terms/d010",""
"d011:label","Label for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011","廣泛入侵"
"d011:definition","Definition for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011",""
"d011:usage","Usage for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011",""
"d011:notes","Notes for widespread invasive (category E) http://rs.tdwg.org/dwc/terms/d011",""
