document,lead_author,author,editor,translator,reviewer,review_manager,contributor,contributor_role,contributor_literal
http://rs.tdwg.org/sds/doc/specification/,https://orcid.org/0000-0003-4365-3135,,,,,,,lead author,Steve Baskauf
http://rs.tdwg.org/sds/doc/specification/,,https://orcid.org/0000-0003-4581-1379,,,,,,author,Roger Hyam
http://rs.tdwg.org/sds/doc/specification/,,https://orcid.org/0000-0002-4419-6960,,,,,,author,Stanley Blum
http://rs.tdwg.org/sds/doc/specification/,,https://orcid.org/0000-0002-6992-9446,,,,,,author,Robert A. Morris
http://rs.tdwg.org/sds/doc/specification/,,https://orcid.org/0000-0001-7694-8250,,,,,,author,Jonathan Rees
http://rs.tdwg.org/sds/doc/specification/,,https://orcid.org/0000-0001-8332-2571,,,,,,author,Joel Sachs
http://rs.tdwg.org/sds/doc/specification/,,https://orcid.org/0000-0002-2954-9027,,,,,,author,Greg Whitbread
http://rs.tdwg.org/sds/doc/specification/,,https://orcid.org/0000-0003-1144-0290,,,,,,author,John Wieczorek
http://rs.tdwg.org/sds/doc/specification/,,,,,,https://orcid.org/0000-0002-2352-5497,,review manager,Dag Endresen
http://rs.tdwg.org/vms/doc/specification/,https://orcid.org/0000-0003-4365-3135,,,,,,,lead author,Steve Baskauf
http://rs.tdwg.org/vms/doc/specification/,,https://orcid.org/0000-0003-1144-0290,,,,,,author,John Wieczorek
http://rs.tdwg.org/vms/doc/specification/,,https://orcid.org/0000-0002-4419-6960,,,,,,author,Stan Blum
http://rs.tdwg.org/vms/doc/specification/,,https://orcid.org/0000-0002-6992-9446,,,,,,author,Robert A. Morris
http://rs.tdwg.org/vms/doc/specification/,,https://orcid.org/0000-0001-7694-8250,,,,,,author,Jonathan Rees
http://rs.tdwg.org/vms/doc/specification/,,https://orcid.org/0000-0001-8332-2571,,,,,,author,Joel Sachs
http://rs.tdwg.org/vms/doc/specification/,,https://orcid.org/0000-0002-2954-9027,,,,,,author,Greg Whitbread
http://rs.tdwg.org/vms/doc/specification/,,,,,,https://orcid.org/0000-0002-2352-5497,,review manager,Dag Endresen
http://rs.tdwg.org/guid/doc/guidas/,http://www.wikidata.org/entity/Q51883936,,,,,,,lead author,Kevin Richards
http://rs.tdwg.org/guid/doc/guidas/,,,,,,https://orcid.org/0000-0002-6108-0572,,review manager,Ben Richardson
http://rs.tdwg.org/guid/doc/lsidas/,,http://www.wikidata.org/entity/Q51883958,,,,,,author,Ricardo Scachetti-Pereira
http://rs.tdwg.org/guid/doc/lsidas/,,http://www.wikidata.org/entity/Q51883936,,,,,,author,Kevin Richards
http://rs.tdwg.org/guid/doc/lsidas/,,https://orcid.org/0000-0001-6492-4016,,,,,,author,Donald Hobern
http://rs.tdwg.org/guid/doc/lsidas/,,https://orcid.org/0000-0003-4581-1379,,,,,,author,Roger Hyam
http://rs.tdwg.org/guid/doc/lsidas/,,https://orcid.org/0000-0001-8900-6203,,,,,,author,Lee Belbin
http://rs.tdwg.org/guid/doc/lsidas/,,https://orcid.org/0000-0002-4419-6960,,,,,,author,Stan Blum
http://rs.tdwg.org/guid/doc/lsidas/,,,,,,https://orcid.org/0000-0002-6108-0572,,review manager,Ben Richardson
http://rs.tdwg.org/dwc/index/,https://orcid.org/0000-0003-1144-0290,,,,,,,lead author,John Wieczorek
http://rs.tdwg.org/dwc/index/,,https://orcid.org/0000-0001-7757-1889,,,,,,author,Markus Döring
http://rs.tdwg.org/dwc/index/,,https://orcid.org/0000-0002-7104-7266,,,,,,author,Renato De Giovanni
http://rs.tdwg.org/dwc/index/,,https://orcid.org/0000-0001-6215-3617,,,,,,author,Tim Robertson
http://rs.tdwg.org/dwc/index/,,https://orcid.org/0000-0002-6513-4996,,,,,,author,Dave Vieglais
http://rs.tdwg.org/dwc/index/,,,,,,https://orcid.org/0000-0002-5178-4170,,review manager,Gail E. Kampmeier
http://rs.tdwg.org/dwc/terms/guides/rdf/,https://orcid.org/0000-0003-4365-3135,,,,,,,lead author,Steve Baskauf
http://rs.tdwg.org/dwc/terms/guides/rdf/,,https://orcid.org/0000-0003-1144-0290,,,,,,author,John Wieczorek
http://rs.tdwg.org/dwc/terms/guides/rdf/,,https://orcid.org/0000-0002-5905-1617,,,,,,author,John Deck 
http://rs.tdwg.org/dwc/terms/guides/rdf/,,https://orcid.org/0000-0003-1031-3249,,,,,,author,Campbell Webb
http://rs.tdwg.org/dwc/terms/guides/rdf/,,http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/5e51de22-d841-4c47-b0c4-d5ad0bd03035,,,,,,author,Paul J. Morris 
http://rs.tdwg.org/dwc/terms/guides/rdf/,,https://orcid.org/0000-0003-0632-7576,,,,,,author,Mark Schildhauer 
http://rs.tdwg.org/dwc/terms/guides/text/,https://orcid.org/0000-0001-6215-3617,,,,,,,lead author,Tim Robertson
http://rs.tdwg.org/dwc/terms/guides/text/,,https://orcid.org/0000-0001-7757-1889,,,,,,author,Markus Döring
http://rs.tdwg.org/dwc/terms/guides/text/,,https://orcid.org/0000-0003-1144-0290,,,,,,author,John Wieczorek
http://rs.tdwg.org/dwc/terms/guides/text/,,https://orcid.org/0000-0002-7104-7266,,,,,,author,Renato De Giovanni
http://rs.tdwg.org/dwc/terms/guides/text/,,https://orcid.org/0000-0002-6513-4996,,,,,,author,Dave Vieglais
http://rs.tdwg.org/dwc/terms/guides/text/,,https://orcid.org/0000-0003-4365-3135,,,,,,author,Steve Baskauf
http://rs.tdwg.org/dwc/terms/guides/text/,,,,,,https://orcid.org/0000-0002-5178-4170,,review manager,Gail E. Kampmeier
http://rs.tdwg.org/dwc/terms/guides/xml/,https://orcid.org/0000-0003-1144-0290,,,,,,,lead author,John Wieczorek
http://rs.tdwg.org/dwc/terms/guides/xml/,,https://orcid.org/0000-0001-7757-1889,,,,,,author,Markus Döring
http://rs.tdwg.org/dwc/terms/guides/xml/,,https://orcid.org/0000-0002-7104-7266,,,,,,author,Renato De Giovanni
http://rs.tdwg.org/dwc/terms/guides/xml/,,https://orcid.org/0000-0001-6215-3617,,,,,,author,Tim Robertson
http://rs.tdwg.org/dwc/terms/guides/xml/,,https://orcid.org/0000-0002-6513-4996,,,,,,author,Dave Vieglais
http://rs.tdwg.org/dwc/terms/guides/xml/,,,,,,https://orcid.org/0000-0002-5178-4170,,review manager,Gail E. Kampmeier
http://rs.tdwg.org/dwc/terms/simple/,https://orcid.org/0000-0003-1144-0290,,,,,,,lead author,John Wieczorek
http://rs.tdwg.org/dwc/terms/simple/,,https://orcid.org/0000-0001-7757-1889,,,,,,author,Markus Döring
http://rs.tdwg.org/dwc/terms/simple/,,https://orcid.org/0000-0002-7104-7266,,,,,,author,Renato De Giovanni
http://rs.tdwg.org/dwc/terms/simple/,,https://orcid.org/0000-0001-6215-3617,,,,,,author,Tim Robertson
http://rs.tdwg.org/dwc/terms/simple/,,https://orcid.org/0000-0002-6513-4996,,,,,,author,Dave Vieglais
