document_version,contributor_iri,contributor_literal,contributor_role,affiliation
http://rs.tdwg.org/sds/doc/specification/2017-04-25,http://orcid.org/0000-0003-4365-3135,Steve Baskauf,lead author,TDWG Vocabulary Maintenance Specification Task Group
http://rs.tdwg.org/sds/doc/specification/2017-04-25,http://orcid.org/0000-0003-4581-1379,Roger Hyam,author,TDWG Infrastructure Project
http://rs.tdwg.org/sds/doc/specification/2017-04-25,http://orcid.org/0000-0002-4419-6960,Stanley Blum,author,TDWG Process Interest Group
http://rs.tdwg.org/sds/doc/specification/2017-04-25,http://orcid.org/0000-0002-6992-9446,Robert A. Morris,author,"UMASS-Boston, TDWG Imaging Interest Group"
http://rs.tdwg.org/sds/doc/specification/2017-04-25,http://orcid.org/0000-0001-7694-8250,Jonathan Rees,author,Duke University
http://rs.tdwg.org/sds/doc/specification/2017-04-25,http://orcid.org/0000-0001-8332-2571,Joel Sachs,author,TDWG RDF Task Group
http://rs.tdwg.org/sds/doc/specification/2017-04-25,http://orcid.org/0000-0002-2954-9027,Greg Whitbread,author,TDWG Technical Architecture Group
http://rs.tdwg.org/sds/doc/specification/2017-04-25,http://orcid.org/0000-0003-1144-0290,John Wieczorek,author,TDWG Darwin Core Task Group
http://rs.tdwg.org/sds/doc/specification/2017-04-25,http://orcid.org/0000-0002-2352-5497,Dag Endresen,review manager,GBIF Norway/NHM University of Oslo
http://rs.tdwg.org/sds/doc/specification/2007-07-17,http://orcid.org/0000-0003-4581-1379,Roger Hyam,lead author,TDWG Infrastructure Project
http://rs.tdwg.org/vms/doc/specification/2017-04-25,http://orcid.org/0000-0003-4365-3135,Steve Baskauf,lead author,TDWG Vocabulary Maintenance Specification Task Group
http://rs.tdwg.org/vms/doc/specification/2017-04-25,http://orcid.org/0000-0003-1144-0290,John Wieczorek,author,TDWG Darwin Core Task Group
http://rs.tdwg.org/vms/doc/specification/2017-04-25,http://orcid.org/0000-0002-4419-6960,Stan Blum,author,TDWG Process Interest Group
http://rs.tdwg.org/vms/doc/specification/2017-04-25,http://orcid.org/0000-0002-6992-9446,Robert A. Morris,author,"UMASS-Boston, TDWG Imaging Interest Group"
http://rs.tdwg.org/vms/doc/specification/2017-04-25,http://orcid.org/0000-0001-7694-8250,Jonathan Rees,author,Duke University
http://rs.tdwg.org/vms/doc/specification/2017-04-25,http://orcid.org/0000-0001-8332-2571,Joel Sachs,author,TDWG RDF Task Group
http://rs.tdwg.org/vms/doc/specification/2017-04-25,http://orcid.org/0000-0002-2954-9027,Greg Whitbread,author,TDWG Technical Architecture Group
http://rs.tdwg.org/vms/doc/specification/2017-04-25,http://orcid.org/0000-0002-2352-5497,Dag Endresen,review manager,GBIF Norway/NHM University of Oslo
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0002-6992-9446,Robert A. Morris,lead author,"University of Massachusetts at Boston, USA"
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0002-4852-2567,Vijay Barve,author,
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0002-8234-0599,Mihail Carausu,author,"Danish Biodiversity Information Facility (DanBIF), Copenhagen, Denmark"
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0002-3425-6499,Vishwas Chavan,author,"Global Biodiversity Information Facility, Copenhagen, Denmark"
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://www.wikidata.org/entity/Q51883873,José Cuadra,author,
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0002-2541-5822,Chris Freeland,author,"Missouri Botanical Garden, St. Louis, USA"
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0001-7023-7386,Gregor Hagedorn,author,"JKI, Federal Research Institute for Cultivated Plants, Berlin, Germany"
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0001-5172-8577,Patrick Leary,author,
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0003-1593-1417,Dimitry Mozzherin,author,"Encyclopedia of Life, Woods Hole, USA"
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0002-0772-0022,Annette Olson,author,American Association for the Advancement of Science
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0002-3850-9983,Greg Riccardi,author,"Florida State University, Tallahassee, USA"
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0003-4176-2274 ,Ivan Teage,author,
http://rs.tdwg.org/ac/doc/termlist/2013-10-23,http://orcid.org/0000-0003-4365-3135,Steve Baskauf,review manager,"Vanderbilt University, Nashville, TN, USA"
http://rs.tdwg.org/ac/doc/structure/2013-10-23,http://orcid.org/0000-0002-6992-9446,Robert A. Morris,lead author,"University of Massachusetts at Boston, USA"
http://rs.tdwg.org/ac/doc/structure/2013-10-23,http://orcid.org/0000-0002-4852-2567,Vijay Barve,author,
