header,predicate,type,value,attribute,subject_id
documentTitle,rdfs:label,language,,en,$root
documentTitle,dcterms:title,language,,en,$root
comment,rdfs:comment,language,,en,$root
abstract,dcterms:description,language,,en,$root
$constant,dc:publisher,language,Biodiversity Information Standards (TDWG),en,$root
$constant,dcterms:publisher,iri,https://www.grid.ac/institutes/grid.480498.9,,$root
version_issued,dcterms:issued,datatype,,xsd:date,$root
current_iri,dcterms:isVersionOf,iri,,,$root
mediaType,dcterms:format,plain,,,$root
dcterms_isPartOf,dcterms:isPartOf,iri,,,$root
creator,dcterms:creator,plain,,,$root
