doc_iri,mediaType,accessUri
http://rs.tdwg.org/sds/doc/specification/,text/markdown,https://raw.githubusercontent.com/tdwg/vocab/master/sds/documentation-specification.md
http://rs.tdwg.org/vms/doc/specification/,text/markdown,https://raw.githubusercontent.com/tdwg/vocab/master/vms/maintenance-specification.md
http://rs.tdwg.org/ac/doc/termlist/,text/markdown,https://raw.githubusercontent.com/tdwg/ac/master/docs/termlist/index.md
http://rs.tdwg.org/ac/doc/structure/,text/markdown,https://github.com/tdwg/ac/raw/master/docs/structure.md
http://rs.tdwg.org/ac/doc/introduction/,text/markdown,https://github.com/tdwg/ac/raw/master/docs/introduction.md
http://rs.tdwg.org/ac/doc/guide/,text/markdown,https://github.com/tdwg/ac/raw/master/docs/guide.md
http://rs.tdwg.org/ac/doc/format/,text/markdown,https://raw.githubusercontent.com/tdwg/ac/master/docs/format.md
http://rs.tdwg.org/ac/doc/subtype/,text/markdown,https://raw.githubusercontent.com/tdwg/ac/master/docs/subtype.md
http://rs.tdwg.org/ac/doc/variant/,text/markdown,https://raw.githubusercontent.com/tdwg/ac/master/docs/variant.md
http://rs.tdwg.org/guid/doc/guidas/,application/pdf,https://github.com/tdwg/guid-as/blob/master/guid/tdwg_guid_applicability_statement.pdf
http://rs.tdwg.org/guid/doc/lsidas/,application/pdf,https://github.com/tdwg/guid-as/blob/master/lsid/tdwg_lsid_applicability_statement.pdf
http://rs.tdwg.org/dwc/index/,text/html,http://rs.tdwg.org/dwc/index.htm
http://rs.tdwg.org/dwc/terms/guides/rdf/,text/markdown,https://github.com/tdwg/dwc/raw/master/docs/rdf/index.md
http://rs.tdwg.org/dwc/terms/guides/text/,text/markdown,https://raw.githubusercontent.com/tdwg/dwc/master/docs/text/index.md
http://rs.tdwg.org/dwc/terms/guides/xml/,text/markdown,https://raw.githubusercontent.com/tdwg/dwc/master/docs/xml/index.md
http://rs.tdwg.org/dwc/terms/simple/,text/markdown,https://raw.githubusercontent.com/tdwg/dwc/master/docs/simple/index.md
http://rs.tdwg.org/dwc/terms/namespace/,text/markdown,https://raw.githubusercontent.com/tdwg/dwc/master/docs/namespace/index.md
http://rs.tdwg.org/dwc/doc/list/,text/markdown,https://raw.githubusercontent.com/tdwg/dwc/master/docs/list/index.md
http://rs.tdwg.org/dwc/doc/doe/,text/markdown,https://raw.githubusercontent.com/tdwg/dwc/refs/heads/master/docs/doe/index.md
http://rs.tdwg.org/dwc/doc/em/,text/markdown,https://raw.githubusercontent.com/tdwg/dwc/master/docs/em/index.md
http://rs.tdwg.org/dwc/doc/pw/,text/markdown,https://raw.githubusercontent.com/tdwg/dwc/master/docs/pw/index.md
http://rs.tdwg.org/tapir/doc/summary/,text/html,http://www.tdwg.org/activities/tapir/executive-summary/
http://rs.tdwg.org/tapir/doc/specification/,text/html,http://tdwg.github.io/tapir/docs/tdwg_tapir_specification_2010-05-05.html
http://rs.tdwg.org/tapir/doc/xmlschema/,application/xml,http://tdwg.github.io/tapir/schema/tapir.xsd
http://rs.tdwg.org/tapir/doc/conceptaliases/,text/plain,http://tdwg.github.io/tapir/cns/alias.txt
http://rs.tdwg.org/tapir/doc/guide/,text/html,http://tdwg.github.io/tapir/docs/TAPIRNetworkBuildersGuide_2010-05-05.html
http://rs.tdwg.org/tapir/doc/models/,text/html,http://tdwg.github.io/tapir/cs/
http://rs.tdwg.org/abcd/doc/primer/,text/plain,https://raw.githubusercontent.com/tdwg/wiki-archive/master/twiki/data/ABCD/AbcdPrimer.txt
http://rs.tdwg.org/abcd/doc/xmlschema/,application/xml,https://raw.githubusercontent.com/tdwg/abcd/master/2.06/ABCD_2.06.xsd
http://rs.tdwg.org/sdd/doc/introduction/,text/plain,https://raw.githubusercontent.com/tdwg/wiki-archive/master/twiki/data/SDD/Primer/SddIntroduction.txt
http://rs.tdwg.org/sdd/doc/xmlschema/,application/xml,https://raw.githubusercontent.com/tdwg/sdd/master/2006/Schema/1.1/SDD.xsd
http://rs.tdwg.org/tcs/doc/guide/,application/pdf,https://github.com/tdwg/tcs/raw/master/TCS101/UserGuidev_1.3.pdf
http://rs.tdwg.org/tcs/doc/xmlschema/,application/xml,https://raw.githubusercontent.com/tdwg/tcs/master/TCS101/v101.xsd
