current_iri,version_iri
http://rs.tdwg.org/sds/doc/specification/,http://rs.tdwg.org/sds/doc/specification/2017-04-25
http://rs.tdwg.org/sds/doc/specification/,http://rs.tdwg.org/sds/doc/specification/2007-11-05
http://rs.tdwg.org/vms/doc/specification/,http://rs.tdwg.org/vms/doc/specification/2017-04-25
http://rs.tdwg.org/ac/doc/termlist/,http://rs.tdwg.org/ac/doc/termlist/2013-10-23
http://rs.tdwg.org/ac/doc/structure/,http://rs.tdwg.org/ac/doc/structure/2013-10-23
http://rs.tdwg.org/ac/doc/introduction/,http://rs.tdwg.org/ac/doc/introduction/2013-10-23
http://rs.tdwg.org/ac/doc/guide/,http://rs.tdwg.org/ac/doc/guide/2013-10-15
http://rs.tdwg.org/guid/doc/guidas/,http://rs.tdwg.org/guid/doc/guidas/2010-09-09
http://rs.tdwg.org/guid/doc/lsidas/,http://rs.tdwg.org/guid/doc/lsidas/2009-09-03
http://rs.tdwg.org/dwc/index/,http://rs.tdwg.org/dwc/index/2014-11-08
http://rs.tdwg.org/dwc/terms/guides/rdf/,http://rs.tdwg.org/dwc/terms/guides/rdf/2015-06-02
http://rs.tdwg.org/dwc/terms/guides/text/,http://rs.tdwg.org/dwc/terms/guides/text/2014-11-08
http://rs.tdwg.org/dwc/terms/guides/xml/,http://rs.tdwg.org/dwc/terms/guides/xml/2014-11-08
http://rs.tdwg.org/dwc/terms/simple/,http://rs.tdwg.org/dwc/terms/simple/2014-11-08
http://rs.tdwg.org/dwc/terms/namespace/,http://rs.tdwg.org/dwc/terms/namespace/2018-08-26
http://rs.tdwg.org/dwc/doc/list/,http://rs.tdwg.org/dwc/doc/list/2020-08-12
http://rs.tdwg.org/tapir/doc/summary/,http://rs.tdwg.org/tapir/doc/summary/2007-08-28
http://rs.tdwg.org/tapir/doc/specification/,http://rs.tdwg.org/tapir/doc/specification/2010-05-05
http://rs.tdwg.org/tapir/doc/xmlschema/,http://rs.tdwg.org/tapir/doc/xmlschema/2009-02-05
http://rs.tdwg.org/tapir/doc/conceptaliases/,http://rs.tdwg.org/tapir/doc/conceptaliases/2015-06-01
http://rs.tdwg.org/tapir/doc/guide/,http://rs.tdwg.org/tapir/doc/guide/2015-06-03
http://rs.tdwg.org/tapir/doc/models/,http://rs.tdwg.org/tapir/doc/models/2015-11-25
http://rs.tdwg.org/abcd/doc/primer/,http://rs.tdwg.org/abcd/doc/primer/2006-07-27
http://rs.tdwg.org/abcd/doc/xmlschema/,http://rs.tdwg.org/abcd/doc/xmlschema/2007-06-13
http://rs.tdwg.org/sdd/doc/introduction/,http://rs.tdwg.org/sdd/doc/introduction/2006-05-11
http://rs.tdwg.org/sdd/doc/xmlschema/,http://rs.tdwg.org/sdd/doc/xmlschema/2006-05-11
http://rs.tdwg.org/tcs/doc/guide/,http://rs.tdwg.org/tcs/doc/guide/2006-09-21
http://rs.tdwg.org/tcs/doc/xmlschema/,http://rs.tdwg.org/tcs/doc/xmlschema/2006-09-21
http://rs.tdwg.org/delta/doc/definition/,http://rs.tdwg.org/delta/doc/definition/2005-09-13
http://rs.tdwg.org/ncd/doc/guide/,http://rs.tdwg.org/ncd/doc/guide/2008-08-12
http://rs.tdwg.org/ncd/doc/specification/,http://rs.tdwg.org/ncd/doc/specification/2008-08-12
http://rs.tdwg.org/abcddna/doc/guide/,http://rs.tdwg.org/abcddna/doc/guide/2010-08-04
http://rs.tdwg.org/abcddna/doc/xmlschema/,http://rs.tdwg.org/abcddna/doc/xmlschema/2010-08-04
http://rs.tdwg.org/hispid/doc/specification/,http://rs.tdwg.org/hispid/doc/specification/2007-05-11
http://rs.tdwg.org/hispid/doc/specification/,http://rs.tdwg.org/hispid/doc/specification/1993
