term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_pt,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_pt,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
dateIdentified,Date Identified,Datum identifikace,,Fecha de la identificación,Date d'identification,,,,Дата идентификации,,鑑定日期,The date on which the subject was determined as representing the Taxon.,,,,,,,,,,,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,"Doporučeným osvědčeným postupem je používat datum, které je v souladu s normou ISO 8601-1:2019.",,La práctica recomendada es utilizar una fecha de acuerdo con ISO 8601-1:2019.,La pratique optimale recommandée est d'utiliser une date conforme à la norme ISO 8601-1:2019.,,,,"Рекомендуется использовать дату в формате, соответствующем стандарту ISO 8601-1:2019.",,,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC). `2009-02-20T08:40Z` (20 February 2009 8:40am UTC). `2018-08-29T15:19` (3:19pm local time on 29 August 2018). `1809-02-12` (some time during 12 February 1809). `1906-06` (some time in June 1906). `1971` (some time in the year 1971). `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC). `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909). `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007).,,,,,,,,,,
identificationQualifier,Identification Qualifier,Identifikační kvalifikátor,,Calificador de la identificación,Qualificatif de l'identification,,,,Неточность идентификации,,學名鑑定標註,"A brief phrase or a standard term (""cf."", ""aff."") to express the determiner's doubts about the Identification.",,,,,,,,,,,"Splitting identification qualification and Scientific Taxon Name into separate fields is recommended practice in cases where only a single taxon name is available, or if the exchange format is able to keep relations between multiple names and identification qualifiers. Where the exchange format only supports simple multiplicities, a media item with multiple Scientific Taxon Names, some with, some without identification qualifiers, may have to be transferred with ""cf."" or ""aff."" qualifiers remaining embedded in the Scientific Taxon Name. Example: For the determinations ""cf. Fusarium oxysporum f. sp. palmarum"", ""Fusarium cf. oxysporum f. sp. palmarum"", ""Fusarium oxysporum cf. f. sp. palmarum"" the Scientific Taxon Name would always be ""Fusarium oxysporum f. sp. palmarum"", with Identification Qualifier ""cf. genus"", ""cf. species"" and ""cf. f.sp."", respectively. In most cases only the lowest taxon is in doubt, but cases exist where good reasons exist to suspect a specific or even infraspecific determination, without having a save generic identification.",,,,,,,,,,,"`aff. agrifolia var. oxyadenia` (for `Quercus aff. agrifolia var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia`  in specificEpithet, `oxyadenia`  in infraspecificEpithet, and `var.` in taxonRank. `cf. var. oxyadenia` for `Quercus agrifolia cf. var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia` in specificEpithet, `oxyadenia` in infraspecificEpithet, and `var.` in taxonRank.",,,,,,,,,,
identifiedBy,Identified By,Identifikováno kým,,Identificado por,Identifié par,,,,Кем идентифицировано,,鑑定者,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject.",,,,,,,,,,,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,Doporučeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `).,,,La pratique optimale recommandée consiste à séparer les valeurs d'une liste par une barre verticale (` | `).,,,,"Рекомендуемой лучшей практикой является разделение значений в списке с помощью пробела, вертикальной черты и пробела (` | `).",,,,,,,,,,,,,
lifeStage,Subject Life Stage,,,,,,,,,,,The age class or life stage of the biological individual(s) at the time the Occurrence was recorded.,,,,,,,,,,,Recommended best practice is to use a controlled vocabulary.,Doporučeným osvědčeným postupem je používat řízený slovník.,,,La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé.,,,,Рекомендуется использовать контролируемый словарь.,,,,,,,,,,,,,
nameAccordingTo,Name According To,Název podle,,,Nom selon,,,,Источник названия,,學名根據於,"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.","Odkaz na zdroj, v němž je definován nebo naznačen konkrétní pojem okruhu vymezení taxonu - tradičně označovaný latinským ""sensu"" nebo ""sec"". (od secundum, což znamená ""podle""). U taxonů, které jsou výsledkem identifikace, by měl být uveden odkaz na klíče, monografie, odborníky a další zdroje.",,,"La référence à la source dans laquelle la délimitation du taxon concept est définie ou suggérée - traditionnellement signifiée par le latin ""sensu"" ou ""sec."" (de secundum qui signifie ""selon""). Pour les taxons résultant d'identifications, une référence aux clés, monographies, experts et autres sources doit être donnée.",,,,"Ссылка на источник, в котором определена или подразумевается конкретная концепция объёма таксона - традиционно обозначается латинским ""sensu"" или ""sec."" (от secundum, ""согласно""). Для таксонов, полученных в результате идентификаций, следует указывать ссылки на определители, монографии, экспертов и другие источники.",,,"Examples are ""Flora of North America"", ""Landrum 1981, Monograph of the Genus Myrceugenia (Myrtaceae)"", ""Peterson Field Guide to Birds of North America"", or ""Expert identification by J.Smith"".",,,,,,,,,,,,,,,,,,,,,
preparations,Subject Preparation Technique,,,,,,,,,,,A list (concatenated and separated) of preparations and preservation methods for a specimen.,,,,,,,,,,,"Examples for such techniques are: Insect under CO2, cooled to immobility, preservation with ethanol or formaldehyde. See also Resource Creation Technique for technical aspects of digital media object creation.",,,,,,,,,,,,,,,,,,,,,
scientificName,Scientific Taxon Name,,,,,,,,,,,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term.",,,,,,,,,,,"The Scientific Taxon Name may possibly be of a higher rank, e.g., a genus or family name, if this is the most specific identification available. Where multiple taxa are the subject of the media item, multiple names may be given. If possible, add this information here even if the title or caption of the resource already contains scientific taxon names. Where the list of scientific taxon names is impractically large (e.g., media collections or identification tools), the number of taxa should be given in Taxon Count (see below). If possible, avoid repeating the Taxonomic Coverage here. Do not use abbreviated Genus names (""P. vulgaris""). It is recommended to provide author citation to scientific names, to avoid ambiguities in the presence of homonyms (the same name created by different authors for different taxa). Identifier qualifications should be supplied in the Identification Qualifier term rather than here (i. e. ""Abies cf. alba"" is deprecated, to be replaced with Scientific Taxon Name = ""Abies alba"" and Identification Qualifier = ""cf. species"").",,,,,,,,,,,"`Coleoptera` (order). `Vespertilionidae` (family). `Manis` (genus). `Ctenomys sociabilis` (genus + specificEpithet). `Ambystoma tigrinum diaboli` (genus + specificEpithet + infraspecificEpithet). `Roptrocerus typographi (Györfi, 1952)` (genus + specificEpithet + scientificNameAuthorship), `Quercus agrifolia var. oxyadenia (Torr.) J.T. Howell` (genus + specificEpithet + taxonRank + infraspecificEpithet + scientificNameAuthorship).",,,,,,,,,,
scientificNameID,Scientific Name ID,ID vědeckého názvu,,ID del nombre científico,Identifiant du nom scientifique,,,,ID Научного названия,,學名ID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,Identifikátor pro nomenklaturní (nikoli taxonomické) údaje vědeckého názvu.,,Un identificador de los detalles de la nomenclatura (no taxonómica) de un nombre científico.,Un identifiant pour les détails nomenclaturaux (et non taxonomiques) d'un nom scientifique.,,,,"Идентификатор, указывающий на номенклатурный источник (не таксономическую трактовку) научного названия.",,,See dwc:scientificName.,,,,,,,,,,,,,,,,,,,,,
sex,Subject Sex,,,,,,,,,,,The sex of the biological individual(s) represented in the Occurrence.,,,,,,,,,,,Recommended best practice is to use a controlled vocabulary.,Doporučeným osvědčeným postupem je používat řízený slovník.,,,La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé.,,,,Рекомендуется использовать контролируемый словарь.,,,,,,,,,,,,,
vernacularName,Common Name,,,,,,,,,,,A common or vernacular name.,Obecný nebo místní název.,,Un nombre común o vernacular.,Un nom commun ou vernaculaire.,,,,Общераспространённое народное название.,,常見名稱或俗名。,"The ISO language code after the name should be formatted as in the following example: 'abete bianco (it); Tanne (de); White Fir (en)'. If names are known to be male- or female-specific, this may be specified as in: 'ewe (en-female); ram (en-male);'.",,,,,,,,,,,,,,,,,,,,,
continent,Continent,Kontinent,,Continente,Continent,,Continent,,Континент,,大洲,The name of the continent in which the Location occurs.,,,,,,,,,,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Doporučeným osvědčeným postupem je používat řízený slovník, například Getty Thesaurus of Geographic Names.",,,La pratique optimale recommandée consiste à utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names.,,,,"Рекомендуемой лучшей практикой является использование контролируемого словаря, такого как Гетти-тезаурус географических названий (Getty Thesaurus of Geographic Names).",,,,,,,,,,,,,
coordinatePrecision,Coordinate Precision,Přesnost souřadnic,,Precisión de las coordenadas,Précision des coordonnées,,,,Точность координат,,座標精準度,A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.,,,,,,,,,,,,,,,,,,,,,,`0.00001` (normal GPS limit for decimal degrees). `0.000278` (nearest second). `0.01667` (nearest minute). `1.0` (nearest degree).,,,,,,,,,,
coordinateUncertaintyInMeters,Coordinate Uncertainty In Meters,Neurčitost souřadnic v metrech,,Incertidumbre de las coordenadas en metros,Incertitude des coordonnées en mètres,,,,Неопределенность координат в метрах,,座標誤差(公尺),"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.",,,,,,,,,,,,,,,,,,,,,,`30` (reasonable lower limit of a GPS reading under good conditions if the actual precision was not recorded at the time). `71` (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system).,,,,,,,,,,
country,Country,Země,,País,Pays,,,,Страна,,國家,The name of the country or major administrative unit in which the Location occurs.,,,,,,,,,,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Doporučeným osvědčeným postupem je používat řízený slovník, například Getty Thesaurus of Geographic Names.",,,La pratique optimale recommandée consiste à utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names.,,,,"Рекомендуемой лучшей практикой является использование контролируемого словаря, такого как Гетти-тезаурус географических названий (Getty Thesaurus of Geographic Names).",,,,,,,,,,,,,
countryCode,Country Code,Kód země,,Código del país,Code du pays,,,,Код страны,,国家代码,The standard code for the country in which the Location occurs.,,,,,,,,,,,Recommended best practice is to use an ISO 3166-1-alpha-2 country code.,,,,,,,,,,,,,,,,,,,,,
county,County,,,,,,,,,,,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.",,,,,,,,,,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Doporučeným osvědčeným postupem je používat řízený slovník, například Getty Thesaurus of Geographic Names.",,,La pratique optimale recommandée consiste à utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names.,,,,"Рекомендуемой лучшей практикой является использование контролируемого словаря, такого как Гетти-тезаурус географических названий (Getty Thesaurus of Geographic Names).",,,,,,,,,,,,,
decimalLatitude,Decimal Latitude,Desetinná zeměpisná šířka,,Latitud decimal,Latitude en échelle décimale,,,,Десятичная широта,,十進位緯度,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decimalLongitude,Decimal Longitude,Desetinná zeměpisná délka,,Longitud decimal,Longitude en échelle décimale,,,,Десятичная долгота,,十進位經度,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
footprintSpatialFit,Footprint Spatial Fit,Stopa prostorového rozložení,,Ajuste espacial del footprint,Ajustement de l'emprise au sol,,,,Соответствие границам,,,"The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left empty) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the footprintSpatialFit is 1.",,,,,,,,,,,"Detailed explanations with graphical examples can be found in the Georeferencing Best Practices, Chapman and Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).","Podrobné vysvětlení s grafickými příklady lze nalézt v publikaci Georeferencing Best Practices, Chapman a Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).",,"Se pueden encontrar explicaciones detalladas con ejemplos gráficos en Georeferencing Best Practices, Chapman y Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).","Des explications détaillées avec des exemples illustrés figurent dans le document 'Georeferencing Best Practices', par Chapman et Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).",,,,"Подробные объяснения с графическими примерами приведены в документе «Рекомендации по геопривязке» (Georeferencing Best Practices), Chapman and Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).",,,,,,,,,,,,,
footprintSRS,Footprint SRS,Stopa SRS,,SRS del footprint,SRS de l'emprise au sol,,,,Система пространственной привязки,,,"A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead.",,,,,,,,,,,,,,,,,,,,,,"`GEOGCS[""GCS_WGS_1984"", DATUM[""D_WGS_1984"", SPHEROID[""WGS_1984"",6378137,298.257223563]], PRIMEM[""Greenwich"",0], UNIT[""Degree"",0.0174532925199433]]` (WKT for the standard WGS84 Spatial Reference System EPSG:4326).",,,,,,,,,,
footprintWKT,Footprint WKT,Stopa WKT,,Footprint en WKT Well-Known Text,WKT de l'emprise au sol,,,,WKT-представление охвата,,,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.",,,,,,,,,,,,,,,,,,,,,,"`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (the one-degree bounding box with opposite corners at longitude=10, latitude=20 and longitude=11, latitude=21)","`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (ohraničující pole o jednom stupni s protilehlými rohy na zeměpisné délce=10, šířce=20 a zeměpisné délce=11, šířce=21)",,"`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (Para un cuadro delimitador de un grado con esquinas opuestas en (longitud=10, latitud=20) y (longitud=11, latitud=21)","`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (la délimitation d'un degré avec des coins opposés à longitude=10, latitude=20 et longitude=11, latitude=21)",,,,"`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (ограничивающий прямоугольник радиусом в один градус с противоположными углами на долготе = 10, широте = 20 и долготе = 11, широте = 21)",,
geodeticDatum,Geodetic Datum,Geodetické datum,,Datum geodésico,Système géodésique,,,,Геодезический датум,,大地基準,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based.",,,,,,,,,,,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`.",,,,,,,,,,,,,,,,,,,,,
georeferencedBy,Georeferenced By,Georeferencováno od,,Georreferenciado por,Géoréférencé par,,,,Автор геопривязки,,地理點位紀錄者,"A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location.",,,,,,,,,,,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,Doporučeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `).,,,La pratique optimale recommandée consiste à séparer les valeurs d'une liste par une barre verticale (` | `).,,,,"Рекомендуемой лучшей практикой является разделение значений в списке с помощью пробела, вертикальной черты и пробела (` | `).",,,,,,,,,,,,,
