version,term
http://rs-test.tdwg.org/dwc/terms/version/dateIdentified-2009-08-24,http://rs-test.tdwg.org/dwc/terms/dateIdentified
http://rs-test.tdwg.org/dwc/terms/version/identificationQualifier-2009-04-24,http://rs-test.tdwg.org/dwc/terms/identificationQualifier
http://rs-test.tdwg.org/dwc/terms/version/identifiedBy-2014-10-23,http://rs-test.tdwg.org/dwc/terms/identifiedBy
http://rs-test.tdwg.org/dwc/terms/version/lifeStage-2009-04-24,http://rs-test.tdwg.org/dwc/terms/lifeStage
http://rs-test.tdwg.org/dwc/terms/version/nameAccordingTo-2009-09-21,http://rs-test.tdwg.org/dwc/terms/nameAccordingTo
http://rs-test.tdwg.org/dwc/terms/version/preparations-2014-10-23,http://rs-test.tdwg.org/dwc/terms/preparations
http://rs-test.tdwg.org/dwc/terms/version/scientificName-2009-09-21,http://rs-test.tdwg.org/dwc/terms/scientificName
http://rs-test.tdwg.org/dwc/terms/version/scientificNameID-2009-08-24,http://rs-test.tdwg.org/dwc/terms/scientificNameID
http://rs-test.tdwg.org/dwc/terms/version/sex-2009-04-24,http://rs-test.tdwg.org/dwc/terms/sex
http://rs-test.tdwg.org/dwc/terms/version/vernacularName-2009-07-06,http://rs-test.tdwg.org/dwc/terms/vernacularName
http://rs-test.tdwg.org/dwc/terms/version/continent-2009-04-24,http://rs-test.tdwg.org/dwc/terms/continent
http://rs-test.tdwg.org/dwc/terms/version/coordinatePrecision-2009-04-24,http://rs-test.tdwg.org/dwc/terms/coordinatePrecision
http://rs-test.tdwg.org/dwc/terms/version/coordinateUncertaintyInMeters-2009-04-24,http://rs-test.tdwg.org/dwc/terms/coordinateUncertaintyInMeters
http://rs-test.tdwg.org/dwc/terms/version/country-2009-04-24,http://rs-test.tdwg.org/dwc/terms/country
http://rs-test.tdwg.org/dwc/terms/version/countryCode-2009-04-24,http://rs-test.tdwg.org/dwc/terms/countryCode
http://rs-test.tdwg.org/dwc/terms/version/county-2009-04-24,http://rs-test.tdwg.org/dwc/terms/county
http://rs-test.tdwg.org/dwc/terms/version/decimalLatitude-2009-04-24,http://rs-test.tdwg.org/dwc/terms/decimalLatitude
http://rs-test.tdwg.org/dwc/terms/version/decimalLongitude-2009-04-24,http://rs-test.tdwg.org/dwc/terms/decimalLongitude
http://rs-test.tdwg.org/dwc/terms/version/footprintSpatialFit-2009-04-24,http://rs-test.tdwg.org/dwc/terms/footprintSpatialFit
http://rs-test.tdwg.org/dwc/terms/version/footprintSRS-2009-07-06,http://rs-test.tdwg.org/dwc/terms/footprintSRS
http://rs-test.tdwg.org/dwc/terms/version/footprintWKT-2009-04-24,http://rs-test.tdwg.org/dwc/terms/footprintWKT
http://rs-test.tdwg.org/dwc/terms/version/geodeticDatum-2009-04-24,http://rs-test.tdwg.org/dwc/terms/geodeticDatum
http://rs-test.tdwg.org/dwc/terms/version/georeferencedBy-2009-04-24,http://rs-test.tdwg.org/dwc/terms/georeferencedBy
http://rs-test.tdwg.org/dwc/terms/version/georeferenceProtocol-2009-04-24,http://rs-test.tdwg.org/dwc/terms/georeferenceProtocol
http://rs-test.tdwg.org/dwc/terms/version/georeferenceRemarks-2009-04-24,http://rs-test.tdwg.org/dwc/terms/georeferenceRemarks
http://rs-test.tdwg.org/dwc/terms/version/georeferenceSources-2009-04-24,http://rs-test.tdwg.org/dwc/terms/georeferenceSources
