identifier,context,text
dateIdentified:label,Label for Date Identified http://rs.tdwg.org/dwc/terms/dateIdentified,Date Identified
dateIdentified:rdfs_comment,Comment for Date Identified http://rs.tdwg.org/dwc/terms/dateIdentified,The date on which the subject was determined as representing the Taxon.
dateIdentified:dcterms_description,Description for Date Identified http://rs.tdwg.org/dwc/terms/dateIdentified,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.
dateIdentified:examples,Examples for Date Identified http://rs.tdwg.org/dwc/terms/dateIdentified,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC). `2009-02-20T08:40Z` (20 February 2009 8:40am UTC). `2018-08-29T15:19` (3:19pm local time on 29 August 2018). `1809-02-12` (some time during 12 February 1809). `1906-06` (some time in June 1906). `1971` (some time in the year 1971). `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC). `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909). `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007).
identificationQualifier:label,Label for Identification Qualifier http://rs.tdwg.org/dwc/terms/identificationQualifier,Identification Qualifier
identificationQualifier:rdfs_comment,Comment for Identification Qualifier http://rs.tdwg.org/dwc/terms/identificationQualifier,"A brief phrase or a standard term (""cf."", ""aff."") to express the determiner's doubts about the Identification."
identificationQualifier:dcterms_description,Description for Identification Qualifier http://rs.tdwg.org/dwc/terms/identificationQualifier,"Splitting identification qualification and Scientific Taxon Name into separate fields is recommended practice in cases where only a single taxon name is available, or if the exchange format is able to keep relations between multiple names and identification qualifiers. Where the exchange format only supports simple multiplicities, a media item with multiple Scientific Taxon Names, some with, some without identification qualifiers, may have to be transferred with ""cf."" or ""aff."" qualifiers remaining embedded in the Scientific Taxon Name. Example: For the determinations ""cf. Fusarium oxysporum f. sp. palmarum"", ""Fusarium cf. oxysporum f. sp. palmarum"", ""Fusarium oxysporum cf. f. sp. palmarum"" the Scientific Taxon Name would always be ""Fusarium oxysporum f. sp. palmarum"", with Identification Qualifier ""cf. genus"", ""cf. species"" and ""cf. f.sp."", respectively. In most cases only the lowest taxon is in doubt, but cases exist where good reasons exist to suspect a specific or even infraspecific determination, without having a save generic identification."
identificationQualifier:examples,Examples for Identification Qualifier http://rs.tdwg.org/dwc/terms/identificationQualifier,"`aff. agrifolia var. oxyadenia` (for `Quercus aff. agrifolia var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia`  in specificEpithet, `oxyadenia`  in infraspecificEpithet, and `var.` in taxonRank. `cf. var. oxyadenia` for `Quercus agrifolia cf. var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia` in specificEpithet, `oxyadenia` in infraspecificEpithet, and `var.` in taxonRank."
identifiedBy:label,Label for Identified By http://rs.tdwg.org/dwc/terms/identifiedBy,Identified By
identifiedBy:rdfs_comment,Comment for Identified By http://rs.tdwg.org/dwc/terms/identifiedBy,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject."
identifiedBy:dcterms_description,Description for Identified By http://rs.tdwg.org/dwc/terms/identifiedBy,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).
lifeStage:label,Label for Subject Life Stage http://rs.tdwg.org/dwc/terms/lifeStage,Subject Life Stage
lifeStage:rdfs_comment,Comment for Subject Life Stage http://rs.tdwg.org/dwc/terms/lifeStage,The age class or life stage of the biological individual(s) at the time the Occurrence was recorded.
lifeStage:dcterms_description,Description for Subject Life Stage http://rs.tdwg.org/dwc/terms/lifeStage,Recommended best practice is to use a controlled vocabulary.
nameAccordingTo:label,Label for Name According To http://rs.tdwg.org/dwc/terms/nameAccordingTo,Name According To
nameAccordingTo:rdfs_comment,Comment for Name According To http://rs.tdwg.org/dwc/terms/nameAccordingTo,"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given."
nameAccordingTo:dcterms_description,Description for Name According To http://rs.tdwg.org/dwc/terms/nameAccordingTo,"Examples are ""Flora of North America"", ""Landrum 1981, Monograph of the Genus Myrceugenia (Myrtaceae)"", ""Peterson Field Guide to Birds of North America"", or ""Expert identification by J.Smith""."
preparations:label,Label for Subject Preparation Technique http://rs.tdwg.org/dwc/terms/preparations,Subject Preparation Technique
preparations:rdfs_comment,Comment for Subject Preparation Technique http://rs.tdwg.org/dwc/terms/preparations,A list (concatenated and separated) of preparations and preservation methods for a specimen.
preparations:dcterms_description,Description for Subject Preparation Technique http://rs.tdwg.org/dwc/terms/preparations,"Examples for such techniques are: Insect under CO2, cooled to immobility, preservation with ethanol or formaldehyde. See also Resource Creation Technique for technical aspects of digital media object creation."
scientificName:label,Label for Scientific Taxon Name http://rs.tdwg.org/dwc/terms/scientificName,Scientific Taxon Name
scientificName:rdfs_comment,Comment for Scientific Taxon Name http://rs.tdwg.org/dwc/terms/scientificName,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term."
scientificName:dcterms_description,Description for Scientific Taxon Name http://rs.tdwg.org/dwc/terms/scientificName,"The Scientific Taxon Name may possibly be of a higher rank, e.g., a genus or family name, if this is the most specific identification available. Where multiple taxa are the subject of the media item, multiple names may be given. If possible, add this information here even if the title or caption of the resource already contains scientific taxon names. Where the list of scientific taxon names is impractically large (e.g., media collections or identification tools), the number of taxa should be given in Taxon Count (see below). If possible, avoid repeating the Taxonomic Coverage here. Do not use abbreviated Genus names (""P. vulgaris""). It is recommended to provide author citation to scientific names, to avoid ambiguities in the presence of homonyms (the same name created by different authors for different taxa). Identifier qualifications should be supplied in the Identification Qualifier term rather than here (i. e. ""Abies cf. alba"" is deprecated, to be replaced with Scientific Taxon Name = ""Abies alba"" and Identification Qualifier = ""cf. species"")."
