replacing_term,replaced_term_localName
http://rs-test.tdwg.org/dwc/terms/dynamicProperties,Attributes
http://rs-test.tdwg.org/dwc/terms/occurrenceAttributes,Attributes
http://rs-test.tdwg.org/dwc/terms/scientificNameAuthorship,AuthorYearOfScientificName
http://rs-test.tdwg.org/dwc/terms/basisOfRecord,BasisOfRecord
http://rs-test.tdwg.org/dwc/terms/catalogNumber,CatalogNumber
http://rs-test.tdwg.org/dwc/terms/class,Class
http://rs-test.tdwg.org/dwc/terms/samplingProtocol,CollectingMethod
http://rs-test.tdwg.org/dwc/terms/collectionCode,CollectionCode
http://rs-test.tdwg.org/dwc/terms/recordedBy,Collector
http://rs-test.tdwg.org/dwc/terms/continent,Continent
http://rs-test.tdwg.org/dwc/terms/country,Country
http://rs-test.tdwg.org/dwc/terms/county,County
http://rs-test.tdwg.org/dwc/terms/endDayOfYear,DayOfYear
http://rs-test.tdwg.org/dwc/terms/startDayOfYear,DayOfYear
http://rs-test.tdwg.org/dwc/terms/EarliestDateCollected,EarliestDateCollected
http://rs-test.tdwg.org/dwc/terms/family,Family
http://rs-test.tdwg.org/dwc/terms/genus,Genus
http://rs-test.tdwg.org/dwc/terms/occurrenceID,GlobalUniqueIdentifier
http://rs-test.tdwg.org/dwc/terms/higherGeography,HigherGeography
http://rs-test.tdwg.org/dwc/terms/higherTaxonName,HigherTaxon
http://rs-test.tdwg.org/dwc/terms/identificationQualifier,IdentificationQualifier
http://rs-test.tdwg.org/dwc/terms/associatedMedia,ImageURL
http://rs-test.tdwg.org/dwc/terms/informationWithheld,InformationWithheld
http://rs-test.tdwg.org/dwc/terms/infraspecificEpithet,InfraspecificEpithet
http://rs-test.tdwg.org/dwc/terms/institutionCode,InstitutionCode
http://rs-test.tdwg.org/dwc/terms/island,Island
http://rs-test.tdwg.org/dwc/terms/islandGroup,IslandGroup
http://rs-test.tdwg.org/dwc/terms/kingdom,Kingdom
http://rs-test.tdwg.org/dwc/terms/LatestDateCollected,LatestDateCollected
http://rs-test.tdwg.org/dwc/terms/lifeStage,LifeStage
http://rs-test.tdwg.org/dwc/terms/locality,Locality
http://rs-test.tdwg.org/dwc/terms/maximumDepthInMeters,MaximumDepthInMeters
http://rs-test.tdwg.org/dwc/terms/maximumElevationInMeters,MaximumElevationInMeters
http://rs-test.tdwg.org/dwc/terms/minimumDepthInMeters,MinimumDepthInMeters
http://rs-test.tdwg.org/dwc/terms/minimumElevationInMeters,MinimumElevationInMeters
http://rs-test.tdwg.org/dwc/terms/nomenclaturalCode,NomenclaturalCode
http://rs-test.tdwg.org/dwc/terms/order,Order
http://rs-test.tdwg.org/dwc/terms/phylum,Phylum
http://rs-test.tdwg.org/dwc/terms/occurrenceDetails,RelatedInformation
http://rs-test.tdwg.org/dwc/terms/SampleRemarks,Remarks
http://rs-test.tdwg.org/dwc/terms/scientificName,ScientificName
http://rs-test.tdwg.org/dwc/terms/sex,Sex
http://rs-test.tdwg.org/dwc/terms/specificEpithet,SpecificEpithet
http://rs-test.tdwg.org/dwc/terms/stateProvince,StateProvince
http://rs-test.tdwg.org/dwc/terms/waterBody,WaterBody
