document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision
2017-09-23T06:53:00-05:00,FossilSpecimen,http://rs-test.tdwg.org/dwc/dwctype/,2008-11-19,2014-10-23,true,,,,Fossil Specimen,A resource describing a fossilized specimen.,,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/FossileSpecimen,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
2017-09-23T06:53:00-05:00,HumanObservation,http://rs-test.tdwg.org/dwc/dwctype/,2008-11-19,2014-10-23,true,,,,Human Observation,A resource describing an observation made by one or more people.,,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/HumanObservation,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
2017-09-23T06:53:00-05:00,LivingSpecimen,http://rs-test.tdwg.org/dwc/dwctype/,2008-11-19,2014-10-23,true,,,,Living Specimen,A resource describing a living specimen.,,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/LivingSpecimen,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
2017-09-23T06:53:00-05:00,Location,http://rs-test.tdwg.org/dwc/dwctype/,2009-04-24,2014-10-23,true,,,,Location,A resource describing an instance of the Location class.,,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
2017-09-23T06:53:00-05:00,MachineObservation,http://rs-test.tdwg.org/dwc/dwctype/,2008-11-19,2014-10-23,true,,,,Machine Observation,A resource describing an observation made by a machine.,,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/MachineObservation,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
2017-09-23T06:53:00-05:00,MaterialSample,http://rs-test.tdwg.org/dwc/dwctype/,2013-06-24,2014-10-23,true,,,,Material Sample,"A resource describing the physical results of a sampling (or subsampling) event. In biological collections, the material sample is typically collected, and either preserved or destructively processed.",,http://www.w3.org/2000/01/rdf-schema#Class,DataSets/DataSet/Units/Unit,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
2017-09-23T06:53:00-05:00,NomenclaturalChecklist,http://rs-test.tdwg.org/dwc/dwctype/,2009-01-23,2014-10-23,true,,,,Nomenclatural Checklist,A resource describing a nomenclatural checklist.,,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
2017-09-23T06:53:00-05:00,Occurrence,http://rs-test.tdwg.org/dwc/dwctype/,2009-04-24,2014-10-23,true,,,,Occurrence,A resource describing an instance of the Occurrence class.,,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
2017-09-23T06:53:00-05:00,PreservedSpecimen,http://rs-test.tdwg.org/dwc/dwctype/,2008-11-19,2014-10-23,true,,,,Preserved Specimen,A resource describing a preserved specimen.,,http://www.w3.org/2000/01/rdf-schema#Class,RecordBasisEnum/PreservedSpecimen,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
2017-09-23T06:53:00-05:00,Taxon,http://rs-test.tdwg.org/dwc/dwctype/,2009-01-23,2014-10-23,true,,,,Taxon,A resource describing an instance of the Taxon class.,,http://www.w3.org/2000/01/rdf-schema#Class,not in ABCD,,http://rs-test.tdwg.org/dwc/terms/history/decisions/#Decision-2014-10-26_15
