document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,type,tdwgutility_organizedInClass,term_localName
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-TitleCitation-2021-06-27,CrystalMeasurement-TitleCitation-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement TitleCitation,Formal citation for a paper or electronic publication.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-TitleCitation
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-DateText-2021-06-27,AnalysisDateTime-DateText-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisDateTime DateText,Free text to allow for vague dates or description of analysis period.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisDateTime-DateText
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Alteration-2021-06-27,Alteration-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Alteration,"Container for describing metasomatic, metamorphic or diagenetic changes to units",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Alteration
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-Bed-2021-06-27,HostRockStratigraphy-Bed-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,HostRockStratigraphy Bed,The smallest division of a named stratified series normally with well defined division from adjacent deposits.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HostRockStratigraphy-Bed
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-Parameter-2021-06-27,CrystalMeasurement-Parameter-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement Parameter,"Describes type of measurement or fact, such as width, abundance, circumference, temperature etc. or color etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-Parameter
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/FeedingPredationTraces-2021-06-27,FeedingPredationTraces-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,FeedingPredationTraces,"Free text description relating to aspects of feeding and predation e.g. ammonite with bite mark from plesiosaur,  shell drilled by predatory gastropod etc.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,FeedingPredationTraces
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/HazardText-2021-06-27,HazardText-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,HazardText,"Free text describing any hazards that may be associated with the specimen/unit e.g. is it radioactive, poisonous, carcinogenic?",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,HazardText
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-2021-06-27,Geologists-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists,The geologist(s) and or organisation responsible for logging the borehole and or maintaining the borehole record.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-Method-2021-06-27,CrystalMeasurement-Method-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,CrystalMeasurement Method,Method used to make measurement.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,CrystalMeasurement-Method
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/AnalysisReferences-TitleCitation-2021-06-27,AnalysisReferences-TitleCitation-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,AnalysisReferences TitleCitation,Formal citation for a paper or electronic publication.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,AnalysisReferences-TitleCitation
2021-06-27T22:26:13-05:00,http://rs.tdwg.org/efg/terms/version/Geologists-Representation-2021-06-27,Geologists-Representation-2021-06-27,http://rs.tdwg.org/efg/terms/version/,2021-06-27,recommended,,,,Geologists Representation,"Language-specific label representation.
[ATTR: language]",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Geologists-Representation
