version,term_localName
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-TitleCitation-2021-06-27,CrystalMeasurement-TitleCitation
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-DateText-2021-06-27,AnalysisDateTime-DateText
http://rs.tdwg.org/efg/terms/version/Alteration-2021-06-27,Alteration
http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-Bed-2021-06-27,HostRockStratigraphy-Bed
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-Parameter-2021-06-27,CrystalMeasurement-Parameter
http://rs.tdwg.org/efg/terms/version/FeedingPredationTraces-2021-06-27,FeedingPredationTraces
http://rs.tdwg.org/efg/terms/version/HazardText-2021-06-27,HazardText
http://rs.tdwg.org/efg/terms/version/Geologists-2021-06-27,Geologists
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-Method-2021-06-27,CrystalMeasurement-Method
http://rs.tdwg.org/efg/terms/version/AnalysisReferences-TitleCitation-2021-06-27,AnalysisReferences-TitleCitation
http://rs.tdwg.org/efg/terms/version/Geologists-Representation-2021-06-27,Geologists-Representation
http://rs.tdwg.org/efg/terms/version/HoleDirection-2021-06-27,HoleDirection
http://rs.tdwg.org/efg/terms/version/CrystalForm-2021-06-27,CrystalForm
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-ISODateTimeBegin-2021-06-27,AnalysisDateTime-ISODateTimeBegin
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-2021-06-27,CrystalMeasurement
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-TimeZone-2021-06-27,AnalysisDateTime-TimeZone
http://rs.tdwg.org/efg/terms/version/CrystalFormText-2021-06-27,CrystalFormText
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-2021-06-27,AnalysisDateTime
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-AppliesTo-2021-06-27,CrystalMeasurement-AppliesTo
http://rs.tdwg.org/efg/terms/version/AnalysisReferences-2021-06-27,AnalysisReferences
http://rs.tdwg.org/efg/terms/version/BaselineDatum-2021-06-27,BaselineDatum
http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-2021-06-27,HostRockStratigraphy
http://rs.tdwg.org/efg/terms/version/Geologists-Abbreviation-2021-06-27,Geologists-Abbreviation
http://rs.tdwg.org/efg/terms/version/Geologists-OrgUnit-2021-06-27,Geologists-OrgUnit
http://rs.tdwg.org/efg/terms/version/Completeness-2021-06-27,Completeness
http://rs.tdwg.org/efg/terms/version/DipDegrees-2021-06-27,DipDegrees
http://rs.tdwg.org/efg/terms/version/Hazard-2021-06-27,Hazard
http://rs.tdwg.org/efg/terms/version/Geologists-PreferredName-2021-06-27,Geologists-PreferredName
http://rs.tdwg.org/efg/terms/version/Geologists-Name-2021-06-27,Geologists-Name
http://rs.tdwg.org/efg/terms/version/AnalysisReferences-CitationDetail-2021-06-27,AnalysisReferences-CitationDetail
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-Duration-2021-06-27,CrystalMeasurement-Duration
http://rs.tdwg.org/efg/terms/version/EarthScienceSpecimen-2021-06-27,EarthScienceSpecimen
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-Accuracy-2021-06-27,CrystalMeasurement-Accuracy
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-TimeOfDayBegin-2021-06-27,AnalysisDateTime-TimeOfDayBegin
http://rs.tdwg.org/efg/terms/version/DrillMethod-2021-06-27,DrillMethod
http://rs.tdwg.org/efg/terms/version/BottomSurface-2021-06-27,BottomSurface
http://rs.tdwg.org/efg/terms/version/Geologists-SortingName-2021-06-27,Geologists-SortingName
http://rs.tdwg.org/efg/terms/version/Geologists-Suffix-2021-06-27,Geologists-Suffix
http://rs.tdwg.org/efg/terms/version/Contractor-2021-06-27,Contractor
http://rs.tdwg.org/efg/terms/version/BottomSurfaceFeature-2021-06-27,BottomSurfaceFeature
http://rs.tdwg.org/efg/terms/version/DatingQualifier-2021-06-27,DatingQualifier
http://rs.tdwg.org/efg/terms/version/Geologists-Organisation-2021-06-27,Geologists-Organisation
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-MeasurementOrFactText-2021-06-27,CrystalMeasurement-MeasurementOrFactText
http://rs.tdwg.org/efg/terms/version/AnalysisReferences-AnalysisReference-2021-06-27,AnalysisReferences-AnalysisReference
http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-BiostratigraphicAttribution-AppliesTo-2021-06-27,HostRockStratigraphy-BiostratigraphicAttribution-AppliesTo
http://rs.tdwg.org/efg/terms/version/DiageneticChange-2021-06-27,DiageneticChange
http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-BiostratigraphicAttribution-2021-06-27,HostRockStratigraphy-BiostratigraphicAttribution
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-CitationDetail-2021-06-27,CrystalMeasurement-CitationDetail
http://rs.tdwg.org/efg/terms/version/AssemblageOrigin-2021-06-27,AssemblageOrigin
http://rs.tdwg.org/efg/terms/version/AlterationType-2021-06-27,AlterationType
http://rs.tdwg.org/efg/terms/version/CrystalMeasurements-2021-06-27,CrystalMeasurements
http://rs.tdwg.org/efg/terms/version/Geologists-Text-2021-06-27,Geologists-Text
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-TimeOfDayEnd-2021-06-27,AnalysisDateTime-TimeOfDayEnd
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-ExactDate-DateText-2021-06-27,AnalysisDateTime-ExactDate-DateText
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-DayNumberEnd-2021-06-27,AnalysisDateTime-DayNumberEnd
http://rs.tdwg.org/efg/terms/version/AllocthonousMaterial-2021-06-27,AllocthonousMaterial
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-LowerValue-2021-06-27,CrystalMeasurement-LowerValue
http://rs.tdwg.org/efg/terms/version/CommissionedBy-2021-06-27,CommissionedBy
http://rs.tdwg.org/efg/terms/version/Certainty-2021-06-27,Certainty
http://rs.tdwg.org/efg/terms/version/Geologists-Person-2021-06-27,Geologists-Person
http://rs.tdwg.org/efg/terms/version/AlterationDegree-2021-06-27,AlterationDegree
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-MeasurementOrFactReference-2021-06-27,CrystalMeasurement-MeasurementOrFactReference
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-UpperValue-2021-06-27,CrystalMeasurement-UpperValue
http://rs.tdwg.org/efg/terms/version/Bioerosion-2021-06-27,Bioerosion
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-DayNumberBegin-2021-06-27,AnalysisDateTime-DayNumberBegin
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-MeasurementDateTime-2021-06-27,CrystalMeasurement-MeasurementDateTime
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-UnitOfMeasurement-2021-06-27,CrystalMeasurement-UnitOfMeasurement
http://rs.tdwg.org/efg/terms/version/DistanceFromBaseline-2021-06-27,DistanceFromBaseline
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-URI-2021-06-27,CrystalMeasurement-URI
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-ISODateTimeEnd-2021-06-27,AnalysisDateTime-ISODateTimeEnd
http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-BiostratigraphicAttribution-Abbreviation-2021-06-27,HostRockStratigraphy-BiostratigraphicAttribution-Abbreviation
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-ExactDate-2021-06-27,AnalysisDateTime-ExactDate
http://rs.tdwg.org/efg/terms/version/Geologists-Prefix-2021-06-27,Geologists-Prefix
http://rs.tdwg.org/efg/terms/version/Geologists-InheritedName-2021-06-27,Geologists-InheritedName
http://rs.tdwg.org/efg/terms/version/Geologists-FullName-2021-06-27,Geologists-FullName
http://rs.tdwg.org/efg/terms/version/Borehole-2021-06-27,Borehole
http://rs.tdwg.org/efg/terms/version/Geologists-OrgUnits-2021-06-27,Geologists-OrgUnits
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-MeasuredBy-2021-06-27,CrystalMeasurement-MeasuredBy
http://rs.tdwg.org/efg/terms/version/CrystalMeasurement-IsQuantitative-2021-06-27,CrystalMeasurement-IsQuantitative
http://rs.tdwg.org/efg/terms/version/HostRockStratigraphy-BiostratigraphicAttribution-Accuracy-2021-06-27,HostRockStratigraphy-BiostratigraphicAttribution-Accuracy
http://rs.tdwg.org/efg/terms/version/AnalysisDateTime-PeriodExplicit-2021-06-27,AnalysisDateTime-PeriodExplicit
http://rs.tdwg.org/efg/terms/version/AnalysisReferences-URI-2021-06-27,AnalysisReferences-URI
http://rs.tdwg.org/efg/terms/version/Encrustation-2021-06-27,Encrustation
http://rs.tdwg.org/efg/terms/version/HoleDiameter-2021-06-27,HoleDiameter
http://rs.tdwg.org/efg/terms/version/Geologists-GivenNames-2021-06-27,Geologists-GivenNames
http://rs.tdwg.org/efg/terms/version/Articulation-2021-06-27,Articulation
