"identifier","context","text"
"e:label","Label for establishmentMeans controlled concept scheme http://rs.tdwg.org/dwc/terms/e","esquema de conceptos controlado de establishmentMeans"
"e:definition","Definition for establishmentMeans controlled concept scheme http://rs.tdwg.org/dwc/terms/e","Un Esquema de Conceptos de SKOS para ser utilizado como vocabulario controlado para los términos de Darwin Core dwc:establishmentMeans y dwciri:establishmentMeans"
"e001:label","Label for native (indigenous) http://rs.tdwg.org/dwc/terms/e001","nativo (autóctono)"
"e001:definition","Definition for native (indigenous) http://rs.tdwg.org/dwc/terms/e001","Un taxón que se encuentra dentro de su área de distribución natural."
"e001:notes","Notes for native (indigenous) http://rs.tdwg.org/dwc/terms/e001","Lo que es considerado nativo a un área varía con la historia biogeográfica de un área y con la interpretación local de lo que es un ""rango natural""."
"e002:label","Label for native: reintroduced http://rs.tdwg.org/dwc/terms/e002","nativo: reintroducido"
"e002:definition","Definition for native: reintroduced http://rs.tdwg.org/dwc/terms/e002","Un taxón reestablecido por introducción humana directa en una zona que era parte de su área de distribución natural, pero en la cual estaba extinguido."
"e002:notes","Notes for native: reintroduced http://rs.tdwg.org/dwc/terms/e002",""
"e003:label","Label for introduced (alien, exotic, non-native, nonindigenous) http://rs.tdwg.org/dwc/terms/e003","introducido (exótico, no-nativo, no-autóctono)"
"e003:definition","Definition for introduced (alien, exotic, non-native, nonindigenous) http://rs.tdwg.org/dwc/terms/e003","Establecimiento de un taxón por acción humana en una zona que no es parte de su área de distribución natural."
"e003:notes","Notes for introduced (alien, exotic, non-native, nonindigenous) http://rs.tdwg.org/dwc/terms/e003","Organismos pueden ser introducidos a áreas nuevas y hábitats por actividad humana, ya sea a propósito o por accidente. Personas pueden también crear inadvertidamente corredores que rompen las barreras naturales lo que dispersa y permite a organismos propagarse más allá de su rango natural."
"e004:label","Label for introduced: assisted colonisation http://rs.tdwg.org/dwc/terms/e004","introducido: colonización asistida"
"e004:definition","Definition for introduced: assisted colonisation http://rs.tdwg.org/dwc/terms/e004","Establecimiento de un taxón específicamente con la intención de crear una población salvaje autosostenible en una zona que no es parte del área de distribución natural del taxón."
"e004:notes","Notes for introduced: assisted colonisation http://rs.tdwg.org/dwc/terms/e004","En el evento de cambio ambiental y destrucción de hábitat una opción de conservación es reintroducir un taxón en un área donde no ocurre naturalmente."
"e005:label","Label for vagrant (casual) http://rs.tdwg.org/dwc/terms/e005","vagabundo (incidental)"
"e005:definition","Definition for vagrant (casual) http://rs.tdwg.org/dwc/terms/e005","La presencia temporaria de un taxón muy por afuera de su área de distribución o de migración natural."
"e005:notes","Notes for vagrant (casual) http://rs.tdwg.org/dwc/terms/e005","Eventos naturales y actividad humana pueden dispersar organismos impredeciblemente en lugares donde pueden no permanecer o sobrevivir por un período."
"e006:label","Label for uncertain (unknown, cryptogenic) http://rs.tdwg.org/dwc/terms/e006","incierto (desconocido, criptogénico)"
"e006:definition","Definition for uncertain (unknown, cryptogenic) http://rs.tdwg.org/dwc/terms/e006","El origen de la ocurrencia del taxón en un área es obscura."
"e006:notes","Notes for uncertain (unknown, cryptogenic) http://rs.tdwg.org/dwc/terms/e006","Cuando hay carencia de fósiles o evidencia histórica de la ocurrencia de un taxón en el área puede ser imposible saber si el taxón es nuevo en el área o nativo."
"e007:label","Label for native: endemic http://rs.tdwg.org/dwc/terms/e007",""
"e007:definition","Definition for native: endemic http://rs.tdwg.org/dwc/terms/e007",""
"e007:notes","Notes for native: endemic http://rs.tdwg.org/dwc/terms/e007",""
