"identifier","context","text"
"e:label","Label for establishmentMeans controlled concept scheme http://rs.tdwg.org/dwc/terms/e","establishmentMeans gecontroleerd conceptschema"
"e:definition","Definition for establishmentMeans controlled concept scheme http://rs.tdwg.org/dwc/terms/e","Een SKOS Conceptschema te gebruiken als een gecontoleerde woordenschat voor de Darwin Core termen dwc:establishmentMeans en dwciri:establishmentMeans"
"e001:label","Label for native (indigenous) http://rs.tdwg.org/dwc/terms/e001","inheems"
"e001:definition","Definition for native (indigenous) http://rs.tdwg.org/dwc/terms/e001","Een taxon dat voorkomt binnen zijn natuurlijk verspreidingsgebied"
"e001:notes","Notes for native (indigenous) http://rs.tdwg.org/dwc/terms/e001",""
"e002:label","Label for native: reintroduced http://rs.tdwg.org/dwc/terms/e002","inheems: geherintroduceerd"
"e002:definition","Definition for native: reintroduced http://rs.tdwg.org/dwc/terms/e002","Een taxon dat zich opnieuw vestigde door directe introductie door mensen in een gebied dat oorspronkelijk deel uitmaakte van zijn natuurlijk verspreidingsgebied, maar waar het was uitgestorven."
"e002:notes","Notes for native: reintroduced http://rs.tdwg.org/dwc/terms/e002",""
"e003:label","Label for introduced (alien, exotic, non-native, nonindigenous) http://rs.tdwg.org/dwc/terms/e003","geïntroduceerd (uitheems, niet-inheems)"
"e003:definition","Definition for introduced (alien, exotic, non-native, nonindigenous) http://rs.tdwg.org/dwc/terms/e003","Vestiging van een taxon door menselijk handelen in een gebied dat geen deel uitmaakt van zijn natuurlijk verspreidingsgebied"
"e003:notes","Notes for introduced (alien, exotic, non-native, nonindigenous) http://rs.tdwg.org/dwc/terms/e003",""
"e004:label","Label for introduced: assisted colonisation http://rs.tdwg.org/dwc/terms/e004","geïntroduceerd: geassisteerde kolonisatie"
"e004:definition","Definition for introduced: assisted colonisation http://rs.tdwg.org/dwc/terms/e004","Vestiging van een taxon specifiek met het doel om een zich zelfonderhoudende wilde populatie te creëren in een gebied dat geen deel uitmaakt van het taxon zijn natuurlijk verspreidingsgebied"
"e004:notes","Notes for introduced: assisted colonisation http://rs.tdwg.org/dwc/terms/e004",""
"e005:label","Label for vagrant (casual) http://rs.tdwg.org/dwc/terms/e005","zwervend (incidenteel)"
"e005:definition","Definition for vagrant (casual) http://rs.tdwg.org/dwc/terms/e005","Het tijdelijk voorkomen van een taxon ver buiten zijn natuurlijk verspreidingsgebied of trekgebied."
"e005:notes","Notes for vagrant (casual) http://rs.tdwg.org/dwc/terms/e005",""
"e006:label","Label for uncertain (unknown, cryptogenic) http://rs.tdwg.org/dwc/terms/e006","onzeker (onbekend, cryptogeen)"
"e006:definition","Definition for uncertain (unknown, cryptogenic) http://rs.tdwg.org/dwc/terms/e006","De oorsprong van het voorkomen van het taxon in een gebied is onbekend"
"e006:notes","Notes for uncertain (unknown, cryptogenic) http://rs.tdwg.org/dwc/terms/e006",""
