"identifier","context","text"
"e:label","Label for establishmentMeans controlled concept scheme http://rs.tdwg.org/dwc/terms/e","establishmentMeans контроллируемая схема концепции"
"e:definition","Definition for establishmentMeans controlled concept scheme http://rs.tdwg.org/dwc/terms/e","Концептуальная схема SKOS, которая будет использоваться в качестве контролируемого словаря для терминов Darwin Core dwc:establishmentMeans и dwciri:establishmentMeans"
"e001:label","Label for native (indigenous) http://rs.tdwg.org/dwc/terms/e001","естественный (нативный)"
"e001:definition","Definition for native (indigenous) http://rs.tdwg.org/dwc/terms/e001","Таксон обитает в пределах естественного ареала."
"e001:notes","Notes for native (indigenous) http://rs.tdwg.org/dwc/terms/e001",""
"e002:label","Label for native: reintroduced http://rs.tdwg.org/dwc/terms/e002","естественный: реинтродуцированный"
"e002:definition","Definition for native: reintroduced http://rs.tdwg.org/dwc/terms/e002","Таксон, ранее обитавший в данной местности, но потом исчезнувший по вине человека, вовращен путем реинтродукции."
"e002:notes","Notes for native: reintroduced http://rs.tdwg.org/dwc/terms/e002",""
"e003:label","Label for introduced (alien, exotic, non-native, nonindigenous) http://rs.tdwg.org/dwc/terms/e003","интродуцирован (чужеродный, экзотичный, не местный, не свойствен для данной территории)"
"e003:definition","Definition for introduced (alien, exotic, non-native, nonindigenous) http://rs.tdwg.org/dwc/terms/e003","Таксон, случайно (не намеренно) перевезенный людьми и адаптировавшийся на новом месте."
"e003:notes","Notes for introduced (alien, exotic, non-native, nonindigenous) http://rs.tdwg.org/dwc/terms/e003",""
"e004:label","Label for introduced: assisted colonisation http://rs.tdwg.org/dwc/terms/e004","интродуцирован: преднамеренная интродукция"
"e004:definition","Definition for introduced: assisted colonisation http://rs.tdwg.org/dwc/terms/e004","Таксон, преднамеренно перезенный людьми и адаптировавшийсй на новом месте."
"e004:notes","Notes for introduced: assisted colonisation http://rs.tdwg.org/dwc/terms/e004",""
"e005:label","Label for vagrant (casual) http://rs.tdwg.org/dwc/terms/e005","бродячий (случайная интродукция)"
"e005:definition","Definition for vagrant (casual) http://rs.tdwg.org/dwc/terms/e005","Временное появление таксона далеко за пределами его естественного или миграционного ареала."
"e005:notes","Notes for vagrant (casual) http://rs.tdwg.org/dwc/terms/e005",""
"e006:label","Label for uncertain (unknown, cryptogenic) http://rs.tdwg.org/dwc/terms/e006","неопределенный (неизвестный, криптический)"
"e006:definition","Definition for uncertain (unknown, cryptogenic) http://rs.tdwg.org/dwc/terms/e006","Появление таксона в регионе имеет неясное происхождение."
"e006:notes","Notes for uncertain (unknown, cryptogenic) http://rs.tdwg.org/dwc/terms/e006",""
"e007:label","Label for native: endemic http://rs.tdwg.org/dwc/terms/e007",""
"e007:definition","Definition for native: endemic http://rs.tdwg.org/dwc/terms/e007",""
"e007:notes","Notes for native: endemic http://rs.tdwg.org/dwc/terms/e007",""
