header,predicate,type,value,attribute,subject_id
term_isDefinedBy,rdfs:isDefinedBy,iri,,,$root
term_isDefinedBy,dcterms:isPartOf,iri,,,$root
term_created,dcterms:created,datatype,,xsd:date,$root
term_modified,dcterms:modified,datatype,,xsd:date,$root
term_deprecated,owl:deprecated,datatype,,xsd:boolean,$root
replaces_term,dcterms:replaces,iri,,,$root
replaces1_term,dcterms:replaces,iri,,,$root
replaces2_term,dcterms:replaces,iri,,,$root
label,rdfs:label,language,,en,$root
label,skos:prefLabel,language,,en,$root
definition,rdfs:comment,language,,en,$root
definition,skos:definition,language,,en,$root
usage,skos:scopeNote,language,,en,$root
notes,dcterms:description,language,,en,$root
examples,skos:example,language,,en,$root
controlled_value_string,rdf:value,plain,,,$root
skos_broader,skos:broader,iri,http://rs.tdwg.org/format/values/,,$root
skos_inScheme,skos:inScheme,iri,http://rs.tdwg.org/format/values/,,$root
skos_exactMatch,skos:exactMatch,iri,http://rs.tdwg.org/format/values/,,$root
type,rdf:type,iri,,,$root
controlled_value_string,foaf:focus,iri,https://www.w3.org/ns/iana/media-types/,#Resource,$root
dcam_memberOf,dcam:memberOf,iri,,,$root
