document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,term_localName
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/CoordinateUncertaintyInMeters-2007-04-17,CoordinateUncertaintyInMeters-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/CoordinateUncertaintyInMeters-2003-06-17,,,Coordinate Uncertainty In Meters,"The upper limit of the distance (in meters) from the given DecimalLatitude and DecimalLongitude describing a circle within which the whole of the described locality lies. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Describes the point-radius representation of the location, along with DecimalLatitude, DecimalLongitude, and GeodeticDatum. Zero is not a valid value for this element.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLon/CoordinateErrorDistanceInMeters,,,CoordinateUncertaintyInMeters
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/DecimalLatitude-2007-04-17,DecimalLatitude-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DecimalLatitude-2003-06-17,,,Decimal Latitude,"The latitude of the geographic center of a location where an event occurred (organism collected, observation made), expressed in decimal degrees. Positive values are North of the Equator, negative values are South of the Equator. Describes the point-radius representation of the location, along with DecimalLongitude, GeodeticDatum, and CoordinateUncertaintyInMeters. Example: -41.0983423",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLon/LatitudeDecimal,,,DecimalLatitude
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/DecimalLongitude-2007-04-17,DecimalLongitude-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/DecimalLongitude-2003-06-17,,,Decimal Longitude,"The longitude of the geographic center of a location where an event occurred (organism collected, observation made), expressed in decimal degrees. Positive values are East of the Greenwich Meridian, negative values are West of the Greenwich Meridian. Describes the point-radius representation of the location, along with DecimalLatitude, GeodeticDatum, and CoordinateUncertaintyInMeters. Example: -71.0943235",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLon/LongitudeDecimal,,,DecimalLongitude
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/FootprintSpatialFit-2007-04-17,FootprintSpatialFit-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,,,,Footprint Spatial Fit,"A measure of how well the geometry expressed in the footprint match the original spatial representation, as a ratio of the area of the footprint given to the area of the original spatial representation. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given georeference does not completely contain the original representation. The FootprintSpatialFit is undefined if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the FootprintSpatialFit is 1. Detailed explanations with graphical examples can be found in the Guide to Best Practices for Georeferencing (Chapman and Wieczorek, eds. 2006).",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/FootprintSpatialFit (ABCD v2.06b),,,FootprintSpatialFit
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/FootprintWKT-2007-04-17,FootprintWKT-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,,,,Footprint WKT,"A Well-Known Text (WKT; see http://en.wikipedia.org/wiki/Well-known_text) representation of the the shape (footprint, geometry) that defines the location of the occurrence. The same place may have both a point-radius representation (see DecimalLatitude) and a footprint representation, and they may differ from each other for the same occurrence. Example: the one-degree bounding box with opposite corners at (longitude=10, latitude=20) and (longitude=11, latitude=21) would be expressed in well-known text as POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/FootprintWKT (ABCD v2.06b),,,FootprintWKT
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/GeodeticDatum-2007-04-17,GeodeticDatum-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/HorizontalDatum-2003-06-17,,,Geodetic Datum,"The geodetic datum to which the latitude and longitude refer. If not known, use ""not recorded"". This concept should be vocabulary-controlled. Example: ""WGS84""",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLon/SpatialDatum,,,GeodeticDatum
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceProtocol-2007-04-17,GeoreferenceProtocol-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/GeorefMethod-2003-06-17,,,Georeference Protocol,"A reference to the methods used for determining the coordinates and uncertainties. Example: ""http://manisnet.org/GeorefGuide.html"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinateMethod,,,GeoreferenceProtocol
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceRemarks-2007-04-17,GeoreferenceRemarks-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/LatLongComments-2003-06-17,,,Georeference Remarks,"Comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in GeoreferenceProtocol.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/GeoreferenceRemarks,,,GeoreferenceRemarks
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceSources-2007-04-17,GeoreferenceSources-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,,,,Georeference Sources,"A list of maps, gazetteers or other resources used to georeference the locality. The content of this concept is meant to be specific enough to allow anyone in the future to use the same resource to georeference the same locality. Examples: ""USGS 1:24000 Florence Montana Quad"", ""Terrametrics 2008 on Google Earth""",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/GeoreferenceSources,,,GeoreferenceSources
2017-09-23T06:53:00-05:00,http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceVerificationStatus-2007-04-17,GeoreferenceVerificationStatus-2007-04-17,http://rs-test.tdwg.org/dwc/geospatial/version/,2007-04-17,deprecated,,,,Georeference Verification Status,"A categorical description of the extent to which the georeference has been verified to represent the location where the specimen or observation was collected. This element should be vocabulary-controlled. Examples: ""requires verification"", ""verified by collector"", ""verified by curator"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/GeoreferenceVerificationStatus,,,GeoreferenceVerificationStatus
