version,term_localName
http://rs-test.tdwg.org/dwc/geospatial/version/CoordinateUncertaintyInMeters-2007-04-17,CoordinateUncertaintyInMeters
http://rs-test.tdwg.org/dwc/geospatial/version/DecimalLatitude-2007-04-17,DecimalLatitude
http://rs-test.tdwg.org/dwc/geospatial/version/DecimalLongitude-2007-04-17,DecimalLongitude
http://rs-test.tdwg.org/dwc/geospatial/version/FootprintSpatialFit-2007-04-17,FootprintSpatialFit
http://rs-test.tdwg.org/dwc/geospatial/version/FootprintWKT-2007-04-17,FootprintWKT
http://rs-test.tdwg.org/dwc/geospatial/version/GeodeticDatum-2007-04-17,GeodeticDatum
http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceProtocol-2007-04-17,GeoreferenceProtocol
http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceRemarks-2007-04-17,GeoreferenceRemarks
http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceSources-2007-04-17,GeoreferenceSources
http://rs-test.tdwg.org/dwc/geospatial/version/GeoreferenceVerificationStatus-2007-04-17,GeoreferenceVerificationStatus
http://rs-test.tdwg.org/dwc/geospatial/version/PointRadiusSpatialFit-2007-04-17,PointRadiusSpatialFit
http://rs-test.tdwg.org/dwc/geospatial/version/VerbatimCoordinates-2007-04-17,VerbatimCoordinates
http://rs-test.tdwg.org/dwc/geospatial/version/VerbatimCoordinateSystem-2007-04-17,VerbatimCoordinateSystem
http://rs-test.tdwg.org/dwc/geospatial/version/VerbatimLatitude-2007-04-17,VerbatimLatitude
http://rs-test.tdwg.org/dwc/geospatial/version/VerbatimLongitude-2007-04-17,VerbatimLongitude
