replacing_version,replaced_version_localName
http://rs.tdwg.org/eco/terms/version/absentTaxa-2024-03-26,absentTaxa-2024-02-28
http://rs.tdwg.org/eco/terms/version/compilationSourceTypes-2024-03-26,compilationSourceTypes-2024-02-28
http://rs.tdwg.org/eco/terms/version/compilationTypes-2024-03-26,compilationTypes-2024-02-28
http://rs.tdwg.org/eco/terms/version/eventDurationUnit-2024-03-26,eventDurationUnit-2024-02-28
http://rs.tdwg.org/eco/terms/version/excludedDegreeOfEstablishmentScope-2024-03-26,excludedDegreeOfEstablishmentScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/excludedGrowthFormScope-2024-03-26,excludedGrowthFormScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/excludedHabitatScope-2024-03-26,excludedHabitatScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/excludedLifeStageScope-2024-03-26,excludedLifeStageScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/excludedTaxonomicScope-2024-03-26,excludedTaxonomicScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/geospatialScopeAreaUnit-2024-03-26,geospatialScopeAreaUnit-2024-02-28
http://rs.tdwg.org/eco/terms/version/inventoryTypes-2024-03-26,inventoryTypes-2024-02-28
http://rs.tdwg.org/eco/terms/version/materialSampleTypes-2024-03-26,materialSampleTypes-2024-02-28
http://rs.tdwg.org/eco/terms/version/nonTargetTaxa-2024-03-26,nonTargetTaxa-2024-02-28
http://rs.tdwg.org/eco/terms/version/protocolNames-2024-03-26,protocolNames-2024-02-28
http://rs.tdwg.org/eco/terms/version/samplingEffortProtocol-2024-03-26,samplingEffortProtocol-2024-02-28
http://rs.tdwg.org/eco/terms/version/samplingEffortUnit-2024-03-26,samplingEffortUnit-2024-02-28
http://rs.tdwg.org/eco/terms/version/samplingPerformedBy-2024-03-26,samplingPerformedBy-2024-02-28
http://rs.tdwg.org/eco/terms/version/targetDegreeOfEstablishmentScope-2024-03-26,targetDegreeOfEstablishmentScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/targetGrowthFormScope-2024-03-26,targetGrowthFormScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/targetHabitatScope-2024-03-26,targetHabitatScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/targetLifeStageScope-2024-03-26,targetLifeStageScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/targetTaxonomicScope-2024-03-26,targetTaxonomicScope-2024-02-28
http://rs.tdwg.org/eco/terms/version/taxonCompletenessProtocols-2024-03-26,taxonCompletenessProtocols-2024-02-28
http://rs.tdwg.org/eco/terms/version/taxonCompletenessReported-2024-03-26,taxonCompletenessReported-2024-02-28
