version,term_localName
http://rs.tdwg.org/eco/terms/version/absentTaxa-2024-02-28,absentTaxa
http://rs.tdwg.org/eco/terms/version/abundanceCap-2024-02-28,abundanceCap
http://rs.tdwg.org/eco/terms/version/areNonTargetTaxaFullyReported-2024-02-28,areNonTargetTaxaFullyReported
http://rs.tdwg.org/eco/terms/version/compilationSourceTypes-2024-02-28,compilationSourceTypes
http://rs.tdwg.org/eco/terms/version/compilationTypes-2024-02-28,compilationTypes
http://rs.tdwg.org/eco/terms/version/eventDurationUnit-2024-02-28,eventDurationUnit
http://rs.tdwg.org/eco/terms/version/eventDurationValue-2024-02-28,eventDurationValue
http://rs.tdwg.org/eco/terms/version/excludedDegreeOfEstablishmentScope-2024-02-28,excludedDegreeOfEstablishmentScope
http://rs.tdwg.org/eco/terms/version/excludedGrowthFormScope-2024-02-28,excludedGrowthFormScope
http://rs.tdwg.org/eco/terms/version/excludedHabitatScope-2024-02-28,excludedHabitatScope
http://rs.tdwg.org/eco/terms/version/excludedLifeStageScope-2024-02-28,excludedLifeStageScope
http://rs.tdwg.org/eco/terms/version/excludedTaxonomicScope-2024-02-28,excludedTaxonomicScope
http://rs.tdwg.org/eco/terms/version/geospatialScopeAreaUnit-2024-02-28,geospatialScopeAreaUnit
http://rs.tdwg.org/eco/terms/version/geospatialScopeAreaValue-2024-02-28,geospatialScopeAreaValue
http://rs.tdwg.org/eco/terms/version/hasMaterialSamples-2024-02-28,hasMaterialSamples
http://rs.tdwg.org/eco/terms/version/hasNonTargetOrganisms-2024-02-28,hasNonTargetOrganisms
http://rs.tdwg.org/eco/terms/version/hasNonTargetTaxa-2024-02-28,hasNonTargetTaxa
http://rs.tdwg.org/eco/terms/version/hasVouchers-2024-02-28,hasVouchers
http://rs.tdwg.org/eco/terms/version/inventoryTypes-2024-02-28,inventoryTypes
http://rs.tdwg.org/eco/terms/version/isAbsenceReported-2024-02-28,isAbsenceReported
http://rs.tdwg.org/eco/terms/version/isAbundanceCapReported-2024-02-28,isAbundanceCapReported
http://rs.tdwg.org/eco/terms/version/isAbundanceReported-2024-02-28,isAbundanceReported
http://rs.tdwg.org/eco/terms/version/isDegreeOfEstablishmentScopeFullyReported-2024-02-28,isDegreeOfEstablishmentScopeFullyReported
http://rs.tdwg.org/eco/terms/version/isGrowthFormScopeFullyReported-2024-02-28,isGrowthFormScopeFullyReported
http://rs.tdwg.org/eco/terms/version/isLeastSpecificTargetCategoryQuantityInclusive-2024-02-28,isLeastSpecificTargetCategoryQuantityInclusive
http://rs.tdwg.org/eco/terms/version/isLifeStageScopeFullyReported-2024-02-28,isLifeStageScopeFullyReported
http://rs.tdwg.org/eco/terms/version/isSamplingEffortReported-2024-02-28,isSamplingEffortReported
http://rs.tdwg.org/eco/terms/version/isTaxonomicScopeFullyReported-2024-02-28,isTaxonomicScopeFullyReported
http://rs.tdwg.org/eco/terms/version/isVegetationCoverReported-2024-02-28,isVegetationCoverReported
http://rs.tdwg.org/eco/terms/version/materialSampleTypes-2024-02-28,materialSampleTypes
http://rs.tdwg.org/eco/terms/version/nonTargetTaxa-2024-02-28,nonTargetTaxa
http://rs.tdwg.org/eco/terms/version/protocolDescriptions-2024-02-28,protocolDescriptions
http://rs.tdwg.org/eco/terms/version/protocolNames-2024-02-28,protocolNames
http://rs.tdwg.org/eco/terms/version/protocolReferences-2024-02-28,protocolReferences
http://rs.tdwg.org/eco/terms/version/reportedExtremeConditions-2024-02-28,reportedExtremeConditions
http://rs.tdwg.org/eco/terms/version/reportedWeather-2024-02-28,reportedWeather
http://rs.tdwg.org/eco/terms/version/samplingEffortProtocol-2024-02-28,samplingEffortProtocol
http://rs.tdwg.org/eco/terms/version/samplingEffortUnit-2024-02-28,samplingEffortUnit
http://rs.tdwg.org/eco/terms/version/samplingEffortValue-2024-02-28,samplingEffortValue
http://rs.tdwg.org/eco/terms/version/samplingPerformedBy-2024-02-28,samplingPerformedBy
http://rs.tdwg.org/eco/terms/version/siteCount-2024-02-28,siteCount
http://rs.tdwg.org/eco/terms/version/siteNestingDescription-2024-02-28,siteNestingDescription
http://rs.tdwg.org/eco/terms/version/targetDegreeOfEstablishmentScope-2024-02-28,targetDegreeOfEstablishmentScope
http://rs.tdwg.org/eco/terms/version/targetGrowthFormScope-2024-02-28,targetGrowthFormScope
http://rs.tdwg.org/eco/terms/version/targetHabitatScope-2024-02-28,targetHabitatScope
http://rs.tdwg.org/eco/terms/version/targetLifeStageScope-2024-02-28,targetLifeStageScope
http://rs.tdwg.org/eco/terms/version/targetTaxonomicScope-2024-02-28,targetTaxonomicScope
http://rs.tdwg.org/eco/terms/version/taxonCompletenessProtocols-2024-02-28,taxonCompletenessProtocols
http://rs.tdwg.org/eco/terms/version/taxonCompletenessReported-2024-02-28,taxonCompletenessReported
http://rs.tdwg.org/eco/terms/version/totalAreaSampledUnit-2024-02-28,totalAreaSampledUnit
http://rs.tdwg.org/eco/terms/version/totalAreaSampledValue-2024-02-28,totalAreaSampledValue
http://rs.tdwg.org/eco/terms/version/verbatimSiteDescriptions-2024-02-28,verbatimSiteDescriptions
http://rs.tdwg.org/eco/terms/version/verbatimSiteNames-2024-02-28,verbatimSiteNames
http://rs.tdwg.org/eco/terms/version/verbatimTargetScope-2024-02-28,verbatimTargetScope
http://rs.tdwg.org/eco/terms/version/voucherInstitutions-2024-02-28,voucherInstitutions
http://rs.tdwg.org/eco/terms/version/absentTaxa-2024-03-26,absentTaxa
http://rs.tdwg.org/eco/terms/version/compilationSourceTypes-2024-03-26,compilationSourceTypes
http://rs.tdwg.org/eco/terms/version/compilationTypes-2024-03-26,compilationTypes
http://rs.tdwg.org/eco/terms/version/eventDurationUnit-2024-03-26,eventDurationUnit
http://rs.tdwg.org/eco/terms/version/excludedDegreeOfEstablishmentScope-2024-03-26,excludedDegreeOfEstablishmentScope
http://rs.tdwg.org/eco/terms/version/excludedGrowthFormScope-2024-03-26,excludedGrowthFormScope
http://rs.tdwg.org/eco/terms/version/excludedHabitatScope-2024-03-26,excludedHabitatScope
http://rs.tdwg.org/eco/terms/version/excludedLifeStageScope-2024-03-26,excludedLifeStageScope
http://rs.tdwg.org/eco/terms/version/excludedTaxonomicScope-2024-03-26,excludedTaxonomicScope
http://rs.tdwg.org/eco/terms/version/geospatialScopeAreaUnit-2024-03-26,geospatialScopeAreaUnit
http://rs.tdwg.org/eco/terms/version/inventoryTypes-2024-03-26,inventoryTypes
http://rs.tdwg.org/eco/terms/version/materialSampleTypes-2024-03-26,materialSampleTypes
http://rs.tdwg.org/eco/terms/version/nonTargetTaxa-2024-03-26,nonTargetTaxa
http://rs.tdwg.org/eco/terms/version/protocolNames-2024-03-26,protocolNames
http://rs.tdwg.org/eco/terms/version/samplingEffortProtocol-2024-03-26,samplingEffortProtocol
http://rs.tdwg.org/eco/terms/version/samplingEffortUnit-2024-03-26,samplingEffortUnit
http://rs.tdwg.org/eco/terms/version/samplingPerformedBy-2024-03-26,samplingPerformedBy
http://rs.tdwg.org/eco/terms/version/targetDegreeOfEstablishmentScope-2024-03-26,targetDegreeOfEstablishmentScope
http://rs.tdwg.org/eco/terms/version/targetGrowthFormScope-2024-03-26,targetGrowthFormScope
http://rs.tdwg.org/eco/terms/version/targetHabitatScope-2024-03-26,targetHabitatScope
http://rs.tdwg.org/eco/terms/version/targetLifeStageScope-2024-03-26,targetLifeStageScope
http://rs.tdwg.org/eco/terms/version/targetTaxonomicScope-2024-03-26,targetTaxonomicScope
http://rs.tdwg.org/eco/terms/version/taxonCompletenessProtocols-2024-03-26,taxonCompletenessProtocols
http://rs.tdwg.org/eco/terms/version/taxonCompletenessReported-2024-03-26,taxonCompletenessReported
http://rs.tdwg.org/eco/terms/version/totalAreaSampledUnit-2024-03-26,totalAreaSampledUnit
