"identifier","context","text"
"absentTaxa:label","Label for Absent Taxa http://rs.tdwg.org/dwc/terms/absentTaxa","Chybějící taxony"
"absentTaxa:rdfs_comment","Comment for Absent Taxa http://rs.tdwg.org/dwc/terms/absentTaxa","Seznam (spojený a oddělený) taxonů, u nichž byla během dwc:Event zaznamenána nepřítomnost."
"absentTaxa:dcterms_description","Description for Absent Taxa http://rs.tdwg.org/dwc/terms/absentTaxa","Absence lze hlásit na jakékoli taxonomické úrovni. Doporučeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu."
"abundanceCap:label","Label for Abundance Cap http://rs.tdwg.org/dwc/terms/abundanceCap",""
"abundanceCap:rdfs_comment","Comment for Abundance Cap http://rs.tdwg.org/dwc/terms/abundanceCap","Uváděný maximální počet dwc:Organisms."
"areNonTargetTaxaFullyReported:label","Label for Are Non-target Taxa Fully Reported http://rs.tdwg.org/dwc/terms/areNonTargetTaxaFullyReported","Jsou necílové taxony plně hlášeny"
"areNonTargetTaxaFullyReported:rdfs_comment","Comment for Are Non-target Taxa Fully Reported http://rs.tdwg.org/dwc/terms/areNonTargetTaxaFullyReported","Byl nahlášen každý dwc:Organism, který se nacházel mimo cílový taxonomický rozsah (kombinace eco:targetTaxonomicScope a eco:excludedTaxonomicScope) a byl zjištěn během dwc:Event a který bylo možné zjistit pomocí daného protokolu (uvedeného v eco:protocolDescription a dwc:samplingProtocol)."
"areNonTargetTaxaFullyReported:dcterms_description","Description for Are Non-target Taxa Fully Reported http://rs.tdwg.org/dwc/terms/areNonTargetTaxaFullyReported","Tento termín má uživatele údajů informovat o tom, zda byly zjištěny necílové taxony, které nebyly zaznamenány. Tento termín je relevantní pouze v případě, že dwc:Event použil metody omezeného vyhledávání nebo otevřeného vyhledávání a že je deklarován cílový taxonomický rozsah. Taxonomický rozsah je založen na kombinaci eco:targetTaxonomicScope a eco:excludedTaxonomicScope. V rámci dwc:Events, které použily metodu omezeného vyhledávání nebo otevřeného vyhledávání a deklarovaly taxonomický rozsah, pokud byly vykázány všechny dwc:Organisms, které nejsou zahrnuty v cílovém taxonomickém rozsahu a které byly zjištěny během dwc:Event, měla by být hodnota tohoto termínu ""true"", jinak by měla být hodnota tohoto termínu ""false""."
"compilationSourceTypes:label","Label for Compilation Source Types http://rs.tdwg.org/dwc/terms/compilationSourceTypes","Typy zdrojů pro kompilaci"
"compilationSourceTypes:rdfs_comment","Comment for Compilation Source Types http://rs.tdwg.org/dwc/terms/compilationSourceTypes","Typy zdrojů dat, které se podílely na sestavování údajů."
