identifier,context,text
absentTaxa:label,Label for Absent Taxa http://rs.tdwg.org/dwc/terms/absentTaxa,Absent Taxa
absentTaxa:rdfs_comment,Comment for Absent Taxa http://rs.tdwg.org/dwc/terms/absentTaxa,A list (concatenated and separated) of taxa reported absent during the dwc:Event.
absentTaxa:dcterms_description,Description for Absent Taxa http://rs.tdwg.org/dwc/terms/absentTaxa,"Absences can be reported at any taxonomic level. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
abundanceCap:label,Label for Abundance Cap http://rs.tdwg.org/dwc/terms/abundanceCap,Abundance Cap
abundanceCap:rdfs_comment,Comment for Abundance Cap http://rs.tdwg.org/dwc/terms/abundanceCap,The reported maximum number of dwc:Organisms.
areNonTargetTaxaFullyReported:label,Label for Are Non-target Taxa Fully Reported http://rs.tdwg.org/dwc/terms/areNonTargetTaxaFullyReported,Are Non-target Taxa Fully Reported
areNonTargetTaxaFullyReported:rdfs_comment,Comment for Are Non-target Taxa Fully Reported http://rs.tdwg.org/dwc/terms/areNonTargetTaxaFullyReported,"Every dwc:Organism that was outside of the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) and detected during the dwc:Event, and that was detectable using the given protocol (given in eco:protocolDescriptions and dwc:samplingProtocol), was reported."
areNonTargetTaxaFullyReported:dcterms_description,Description for Are Non-target Taxa Fully Reported http://rs.tdwg.org/dwc/terms/areNonTargetTaxaFullyReported,"This term is meant to inform a user of the data whether there were non-target taxa that were detected, but left unreported. This term is only relevant if the dwc:Event used restricted search or open search methods and if a target taxonomic scope is declared. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Within dwc:Events that used either a restricted search or an open search method and declared a taxonomic scope, if all dwc:Organisms that are not included within the target taxonomic scope and that were detected during the dwc:Event were reported, the value of this term should be 'true', otherwise the value of this term should be ‘false'."
compilationSourceTypes:label,Label for Compilation Source Types http://rs.tdwg.org/dwc/terms/compilationSourceTypes,Compilation Source Types
compilationSourceTypes:rdfs_comment,Comment for Compilation Source Types http://rs.tdwg.org/dwc/terms/compilationSourceTypes,The types of data sources contributing to the compilation reported.
compilationSourceTypes:dcterms_description,Description for Compilation Source Types http://rs.tdwg.org/dwc/terms/compilationSourceTypes,"This term is only relevant if the dwc:Event is a compilation in which one or more types of data sources were used. Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
compilationTypes:label,Label for Compilation Types http://rs.tdwg.org/dwc/terms/compilationTypes,Compilation Types
compilationTypes:rdfs_comment,Comment for Compilation Types http://rs.tdwg.org/dwc/terms/compilationTypes,"A statement specifying whether data reported are derived from sampling events, ancillary data compiled from other sources, or a combination of both."
compilationTypes:dcterms_description,Description for Compilation Types http://rs.tdwg.org/dwc/terms/compilationTypes,"This term is only relevant if the dwc:Event is an inventory. Recommended best practice is to use a controlled vocabulary. Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
eventDurationUnit:label,Label for Event Duration Unit http://rs.tdwg.org/dwc/terms/eventDurationUnit,Event Duration Unit
eventDurationUnit:rdfs_comment,Comment for Event Duration Unit http://rs.tdwg.org/dwc/terms/eventDurationUnit,The units associated with the eco:eventDurationValue.
eventDurationUnit:dcterms_description,Description for Event Duration Unit http://rs.tdwg.org/dwc/terms/eventDurationUnit,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
eventDurationValue:label,Label for Event Duration Value http://rs.tdwg.org/dwc/terms/eventDurationValue,Event Duration Value
eventDurationValue:rdfs_comment,Comment for Event Duration Value http://rs.tdwg.org/dwc/terms/eventDurationValue,The numeric value for the duration of the dwc:Event.
eventDurationValue:dcterms_description,Description for Event Duration Value http://rs.tdwg.org/dwc/terms/eventDurationValue,An eco:eventDurationValue must have a corresponding eco:eventDurationUnit.
excludedDegreeOfEstablishmentScope:label,Label for Excluded Degree of Establishment Scope http://rs.tdwg.org/dwc/terms/excludedDegreeOfEstablishmentScope,Excluded Degree of Establishment Scope
excludedDegreeOfEstablishmentScope:rdfs_comment,Comment for Excluded Degree of Establishment Scope http://rs.tdwg.org/dwc/terms/excludedDegreeOfEstablishmentScope,The degrees of establishment of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.
excludedDegreeOfEstablishmentScope:dcterms_description,Description for Excluded Degree of Establishment Scope http://rs.tdwg.org/dwc/terms/excludedDegreeOfEstablishmentScope,"Recommended best practice is to use controlled value strings from the controlled vocabulary (http://rs.tdwg.org/dwcdoe/) for dwc:degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
excludedGrowthFormScope:label,Label for Excluded Growth Form Scope http://rs.tdwg.org/dwc/terms/excludedGrowthFormScope,Excluded Growth Form Scope
excludedGrowthFormScope:rdfs_comment,Comment for Excluded Growth Form Scope http://rs.tdwg.org/dwc/terms/excludedGrowthFormScope,The growth forms or habits of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.
excludedGrowthFormScope:dcterms_description,Description for Excluded Growth Form Scope http://rs.tdwg.org/dwc/terms/excludedGrowthFormScope,"Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
excludedHabitatScope:label,Label for Excluded Habitat Scope http://rs.tdwg.org/dwc/terms/excludedHabitatScope,Excluded Habitat Scope
excludedHabitatScope:rdfs_comment,Comment for Excluded Habitat Scope http://rs.tdwg.org/dwc/terms/excludedHabitatScope,The habitats explicitly excluded from sampling during the dwc:Event.
excludedHabitatScope:dcterms_description,Description for Excluded Habitat Scope http://rs.tdwg.org/dwc/terms/excludedHabitatScope,"Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
excludedLifeStageScope:label,Label for Excluded Life Stage Scope http://rs.tdwg.org/dwc/terms/excludedLifeStageScope,Excluded Life Stage Scope
excludedLifeStageScope:rdfs_comment,Comment for Excluded Life Stage Scope http://rs.tdwg.org/dwc/terms/excludedLifeStageScope,The age classes or life stages of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.
excludedLifeStageScope:dcterms_description,Description for Excluded Life Stage Scope http://rs.tdwg.org/dwc/terms/excludedLifeStageScope,"This term is defined based on dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Recommended best practice is to use the same controlled vocabulary as for dwc:lifeStage and to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
excludedTaxonomicScope:label,Label for Excluded Taxonomic Scope http://rs.tdwg.org/dwc/terms/excludedTaxonomicScope,Excluded Taxonomic Scope
excludedTaxonomicScope:rdfs_comment,Comment for Excluded Taxonomic Scope http://rs.tdwg.org/dwc/terms/excludedTaxonomicScope,The taxonomic group(s) explicitly excluded from sampling during the dwc:Event.
excludedTaxonomicScope:dcterms_description,Description for Excluded Taxonomic Scope http://rs.tdwg.org/dwc/terms/excludedTaxonomicScope,"The dwc:Event to which the eco:excludedTaxonomicScope refers could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all the taxonomic groups explicitly excluded from the child dwc:Events that contributed to the parent dwc:Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
geospatialScopeAreaUnit:label,Label for Geospatial Scope Area Unit http://rs.tdwg.org/dwc/terms/geospatialScopeAreaUnit,Geospatial Scope Area Unit
geospatialScopeAreaUnit:rdfs_comment,Comment for Geospatial Scope Area Unit http://rs.tdwg.org/dwc/terms/geospatialScopeAreaUnit,The units associated with eco:geospatialScopeAreaValue
geospatialScopeAreaUnit:dcterms_description,Description for Geospatial Scope Area Unit http://rs.tdwg.org/dwc/terms/geospatialScopeAreaUnit,"Recommended best practice is to use a controlled vocabulary. For units containing exponents, use characters from the Unicode Latin-1 Supplement character set (hex 00B2 for squared and 00B3 for cubed). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value."
geospatialScopeAreaValue:label,Label for Geospatial Scope Area Value http://rs.tdwg.org/dwc/terms/geospatialScopeAreaValue,Geospatial Scope Area Value
