"identifier","context","text"
"absentTaxa:label","Label for Absent Taxa http://rs.tdwg.org/dwc/terms/absentTaxa","Taxones Ausentes"
"absentTaxa:rdfs_comment","Comment for Absent Taxa http://rs.tdwg.org/dwc/terms/absentTaxa","Una lista (concatenada y separada) de taxones ausentes reportados durante el dwc:Event."
"absentTaxa:dcterms_description","Description for Absent Taxa http://rs.tdwg.org/dwc/terms/absentTaxa","Las ausencias se pueden reportar en cualquier nivel taxonómico. La práctica recomendada es separar los valores múltiples en una lista con un espacio vertical (|). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena."
"abundanceCap:label","Label for Abundance Cap http://rs.tdwg.org/dwc/terms/abundanceCap","Límite de Abundancia"
"abundanceCap:rdfs_comment","Comment for Abundance Cap http://rs.tdwg.org/dwc/terms/abundanceCap","El número máximo de dwc:Organismos reportados."
"areNonTargetTaxaFullyReported:label","Label for Are Non-target Taxa Fully Reported http://rs.tdwg.org/dwc/terms/areNonTargetTaxaFullyReported","Son taxones no objetivos completamente reportados"
"areNonTargetTaxaFullyReported:rdfs_comment","Comment for Are Non-target Taxa Fully Reported http://rs.tdwg.org/dwc/terms/areNonTargetTaxaFullyReported","Se informó cada dwc:Organism que estaba fuera del alcance taxonómico objetivo (la combinación de eco:targetTaxonomicScope y eco:excludedTaxonomicScope) y que se detectó durante el dwc:Event, y que era detectable utilizando el protocolo dado (proporcionado en eco:protocolDescriptions y dwc:samplingProtocol)."
"areNonTargetTaxaFullyReported:dcterms_description","Description for Are Non-target Taxa Fully Reported http://rs.tdwg.org/dwc/terms/areNonTargetTaxaFullyReported","Este término está destinado a informar al usuario de los datos si hubo taxones no-objetivos que fueron detectados, pero se dejaron no reportados. Este término solo es relevante si el dwc:Evento usó métodos de búsquedas restringidas o abiertas y se declaró un alcance taxonómico. Alcance taxonómico está basado en la combinación de eco:alcanceObjetivoTaxonómico y eco:alcanceExcluidoTaxonómico. Dentro de los dwc:Eventos que se usó ya sea un método de búsquedas restringidas o de búsquedas abiertas y declarados dentro de un alcance taxonómico, si todos los dwc:Organismos que no fueron incluidos dentro del alcance taxonómico objetivo y que fueron detectados durante el dwc:Evento fueron reportados, el valor de este término debería ser 'verdadero', de otra forma el valor de este término debería ser 'falso'."
"compilationSourceTypes:label","Label for Compilation Source Types http://rs.tdwg.org/dwc/terms/compilationSourceTypes","Tipos de Fuentes de Compilación"
"compilationSourceTypes:rdfs_comment","Comment for Compilation Source Types http://rs.tdwg.org/dwc/terms/compilationSourceTypes","Los tipos de fuentes de datos que contribuyeron a la compilación reportada."
"compilationSourceTypes:dcterms_description","Description for Compilation Source Types http://rs.tdwg.org/dwc/terms/compilationSourceTypes","Este término solo es relevante si dwc:Event es una compilación en la que se utilizaron uno o más tipos de fuentes de datos. Se recomienda usar un vocabulario controlado y separar los valores múltiples de una lista con un espacio (|). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena."
"compilationTypes:label","Label for Compilation Types http://rs.tdwg.org/dwc/terms/compilationTypes",""
"compilationTypes:rdfs_comment","Comment for Compilation Types http://rs.tdwg.org/dwc/terms/compilationTypes",""
"compilationTypes:dcterms_description","Description for Compilation Types http://rs.tdwg.org/dwc/terms/compilationTypes","Este término solo es relevante si dwc:Event es un inventario. Se recomienda usar un vocabulario controlado. Se recomienda separar los valores de una lista con espacio (` | `). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena."
"eventDurationUnit:label","Label for Event Duration Unit http://rs.tdwg.org/dwc/terms/eventDurationUnit",""
"eventDurationUnit:rdfs_comment","Comment for Event Duration Unit http://rs.tdwg.org/dwc/terms/eventDurationUnit",""
"eventDurationUnit:dcterms_description","Description for Event Duration Unit http://rs.tdwg.org/dwc/terms/eventDurationUnit","Se recomienda usar un vocabulario controlado. Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena."
"eventDurationValue:label","Label for Event Duration Value http://rs.tdwg.org/dwc/terms/eventDurationValue",""
"eventDurationValue:rdfs_comment","Comment for Event Duration Value http://rs.tdwg.org/dwc/terms/eventDurationValue",""
"eventDurationValue:dcterms_description","Description for Event Duration Value http://rs.tdwg.org/dwc/terms/eventDurationValue",""
"excludedDegreeOfEstablishmentScope:label","Label for Excluded Degree of Establishment Scope http://rs.tdwg.org/dwc/terms/excludedDegreeOfEstablishmentScope",""
"excludedDegreeOfEstablishmentScope:rdfs_comment","Comment for Excluded Degree of Establishment Scope http://rs.tdwg.org/dwc/terms/excludedDegreeOfEstablishmentScope",""
"excludedDegreeOfEstablishmentScope:dcterms_description","Description for Excluded Degree of Establishment Scope http://rs.tdwg.org/dwc/terms/excludedDegreeOfEstablishmentScope","Se recomienda usar cadenas de valores controlados del vocabulario controlado (http://rs.tdwg.org/dwcdoe/) para dwc:degreeOfEstablishment. Para más detalles, consulte https://doi.org/10.3897/biss.3.38084. Se recomienda separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri:, que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena."
"excludedGrowthFormScope:label","Label for Excluded Growth Form Scope http://rs.tdwg.org/dwc/terms/excludedGrowthFormScope",""
"excludedGrowthFormScope:rdfs_comment","Comment for Excluded Growth Form Scope http://rs.tdwg.org/dwc/terms/excludedGrowthFormScope",""
"excludedGrowthFormScope:dcterms_description","Description for Excluded Growth Form Scope http://rs.tdwg.org/dwc/terms/excludedGrowthFormScope","La práctica recomendada es usar un vocabulario controlado y separar los valores múltiples de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri:, que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena."
"excludedHabitatScope:label","Label for Excluded Habitat Scope http://rs.tdwg.org/dwc/terms/excludedHabitatScope",""
"excludedHabitatScope:rdfs_comment","Comment for Excluded Habitat Scope http://rs.tdwg.org/dwc/terms/excludedHabitatScope",""
"excludedHabitatScope:dcterms_description","Description for Excluded Habitat Scope http://rs.tdwg.org/dwc/terms/excludedHabitatScope","La práctica recomendada es usar un vocabulario controlado y separar los valores múltiples de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri:, que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena."
"excludedLifeStageScope:label","Label for Excluded Life Stage Scope http://rs.tdwg.org/dwc/terms/excludedLifeStageScope",""
"excludedLifeStageScope:rdfs_comment","Comment for Excluded Life Stage Scope http://rs.tdwg.org/dwc/terms/excludedLifeStageScope",""
"excludedLifeStageScope:dcterms_description","Description for Excluded Life Stage Scope http://rs.tdwg.org/dwc/terms/excludedLifeStageScope","Este término se define según dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Se recomienda usar el mismo vocabulario controlado que para dwc:lifeStage y separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena."
"excludedTaxonomicScope:label","Label for Excluded Taxonomic Scope http://rs.tdwg.org/dwc/terms/excludedTaxonomicScope",""
"excludedTaxonomicScope:rdfs_comment","Comment for Excluded Taxonomic Scope http://rs.tdwg.org/dwc/terms/excludedTaxonomicScope",""
"excludedTaxonomicScope:dcterms_description","Description for Excluded Taxonomic Scope http://rs.tdwg.org/dwc/terms/excludedTaxonomicScope","El dwc:Event al que se refiere eco:excludedTaxonomicScope puede estar en cualquier nivel jerárquico. En el caso de un dwc:Event de nivel superior (principal), incluya todos los grupos taxonómicos excluidos explícitamente de los dwc:Events secundarios que contribuyeron al dwc:Event principal. La práctica recomendada es separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena."
"geospatialScopeAreaUnit:label","Label for Geospatial Scope Area Unit http://rs.tdwg.org/dwc/terms/geospatialScopeAreaUnit",""
"geospatialScopeAreaUnit:rdfs_comment","Comment for Geospatial Scope Area Unit http://rs.tdwg.org/dwc/terms/geospatialScopeAreaUnit",""
"geospatialScopeAreaUnit:dcterms_description","Description for Geospatial Scope Area Unit http://rs.tdwg.org/dwc/terms/geospatialScopeAreaUnit","Se recomienda usar un vocabulario controlado. Para unidades con exponentes, utilice caracteres del conjunto de caracteres Unicode Latin-1 Supplement (hexadecimal 00B2 para el cuadrado y 00B3 para el cubo). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena."
"geospatialScopeAreaValue:label","Label for Geospatial Scope Area Value http://rs.tdwg.org/dwc/terms/geospatialScopeAreaValue",""
"geospatialScopeAreaValue:rdfs_comment","Comment for Geospatial Scope Area Value http://rs.tdwg.org/dwc/terms/geospatialScopeAreaValue",""
"geospatialScopeAreaValue:dcterms_description","Description for Geospatial Scope Area Value http://rs.tdwg.org/dwc/terms/geospatialScopeAreaValue",""
"hasMaterialSamples:label","Label for Has Material Samples http://rs.tdwg.org/dwc/terms/hasMaterialSamples",""
"hasMaterialSamples:rdfs_comment","Comment for Has Material Samples http://rs.tdwg.org/dwc/terms/hasMaterialSamples",""
"hasNonTargetOrganisms:label","Label for Has Non-target Organisms http://rs.tdwg.org/dwc/terms/hasNonTargetOrganisms",""
"hasNonTargetOrganisms:rdfs_comment","Comment for Has Non-target Organisms http://rs.tdwg.org/dwc/terms/hasNonTargetOrganisms",""
"hasNonTargetOrganisms:dcterms_description","Description for Has Non-target Organisms http://rs.tdwg.org/dwc/terms/hasNonTargetOrganisms",""
"hasNonTargetTaxa:label","Label for Has Non-target Taxa http://rs.tdwg.org/dwc/terms/hasNonTargetTaxa",""
"hasNonTargetTaxa:rdfs_comment","Comment for Has Non-target Taxa http://rs.tdwg.org/dwc/terms/hasNonTargetTaxa",""
"hasNonTargetTaxa:dcterms_description","Description for Has Non-target Taxa http://rs.tdwg.org/dwc/terms/hasNonTargetTaxa",""
"hasVouchers:label","Label for Has Vouchers http://rs.tdwg.org/dwc/terms/hasVouchers",""
"hasVouchers:rdfs_comment","Comment for Has Vouchers http://rs.tdwg.org/dwc/terms/hasVouchers",""
"inventoryTypes:label","Label for Inventory Types http://rs.tdwg.org/dwc/terms/inventoryTypes",""
"inventoryTypes:rdfs_comment","Comment for Inventory Types http://rs.tdwg.org/dwc/terms/inventoryTypes",""
"inventoryTypes:dcterms_description","Description for Inventory Types http://rs.tdwg.org/dwc/terms/inventoryTypes","Este término solo es relevante si dwc:Event representa un inventario. Se recomienda usar un vocabulario controlado. Se recomienda separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena."
"isAbsenceReported:label","Label for Is Absence Reported http://rs.tdwg.org/dwc/terms/isAbsenceReported",""
"isAbsenceReported:rdfs_comment","Comment for Is Absence Reported http://rs.tdwg.org/dwc/terms/isAbsenceReported",""
"isAbsenceReported:dcterms_description","Description for Is Absence Reported http://rs.tdwg.org/dwc/terms/isAbsenceReported",""
"isAbundanceCapReported:label","Label for Is Abundance Cap Reported http://rs.tdwg.org/dwc/terms/isAbundanceCapReported",""
"isAbundanceCapReported:rdfs_comment","Comment for Is Abundance Cap Reported http://rs.tdwg.org/dwc/terms/isAbundanceCapReported",""
"isAbundanceCapReported:dcterms_description","Description for Is Abundance Cap Reported http://rs.tdwg.org/dwc/terms/isAbundanceCapReported",""
"isAbundanceReported:label","Label for Is Abundance Reported http://rs.tdwg.org/dwc/terms/isAbundanceReported",""
"isAbundanceReported:rdfs_comment","Comment for Is Abundance Reported http://rs.tdwg.org/dwc/terms/isAbundanceReported",""
"isAbundanceReported:dcterms_description","Description for Is Abundance Reported http://rs.tdwg.org/dwc/terms/isAbundanceReported",""
"isDegreeOfEstablishmentScopeFullyReported:label","Label for Is Degree of Establishment Scope Fully Reported http://rs.tdwg.org/dwc/terms/isDegreeOfEstablishmentScopeFullyReported",""
"isDegreeOfEstablishmentScopeFullyReported:rdfs_comment","Comment for Is Degree of Establishment Scope Fully Reported http://rs.tdwg.org/dwc/terms/isDegreeOfEstablishmentScopeFullyReported",""
"isDegreeOfEstablishmentScopeFullyReported:dcterms_description","Description for Is Degree of Establishment Scope Fully Reported http://rs.tdwg.org/dwc/terms/isDegreeOfEstablishmentScopeFullyReported",""
"isGrowthFormScopeFullyReported:label","Label for Is Growth Form Scope Fully Reported http://rs.tdwg.org/dwc/terms/isGrowthFormScopeFullyReported",""
"isGrowthFormScopeFullyReported:rdfs_comment","Comment for Is Growth Form Scope Fully Reported http://rs.tdwg.org/dwc/terms/isGrowthFormScopeFullyReported",""
"isGrowthFormScopeFullyReported:dcterms_description","Description for Is Growth Form Scope Fully Reported http://rs.tdwg.org/dwc/terms/isGrowthFormScopeFullyReported",""
"isLeastSpecificTargetCategoryQuantityInclusive:label","Label for Is Least Specific Target Category Quantity Inclusive http://rs.tdwg.org/dwc/terms/isLeastSpecificTargetCategoryQuantityInclusive",""
"isLeastSpecificTargetCategoryQuantityInclusive:rdfs_comment","Comment for Is Least Specific Target Category Quantity Inclusive http://rs.tdwg.org/dwc/terms/isLeastSpecificTargetCategoryQuantityInclusive",""
"isLeastSpecificTargetCategoryQuantityInclusive:dcterms_description","Description for Is Least Specific Target Category Quantity Inclusive http://rs.tdwg.org/dwc/terms/isLeastSpecificTargetCategoryQuantityInclusive","Los valores recomendados son 'verdadero' y 'falso'. Este término solo es relevante si dwc:organismQuantity es un número. Para una explicación detallada, consulte http://rs.tdwg.org/dwc/doc/inclusive/."
"isLifeStageScopeFullyReported:label","Label for Is Life Stage Scope Fully Reported http://rs.tdwg.org/dwc/terms/isLifeStageScopeFullyReported",""
"isLifeStageScopeFullyReported:rdfs_comment","Comment for Is Life Stage Scope Fully Reported http://rs.tdwg.org/dwc/terms/isLifeStageScopeFullyReported",""
