version,term_localName
http://rs.tdwg.org/eco/iri/version/absentTaxa-2024-03-26,absentTaxa
http://rs.tdwg.org/eco/iri/version/compilationSourceTypes-2024-03-26,compilationSourceTypes
http://rs.tdwg.org/eco/iri/version/compilationTypes-2024-03-26,compilationTypes
http://rs.tdwg.org/eco/iri/version/eventDurationUnit-2024-03-26,eventDurationUnit
http://rs.tdwg.org/eco/iri/version/excludedDegreeOfEstablishmentScope-2024-03-26,excludedDegreeOfEstablishmentScope
http://rs.tdwg.org/eco/iri/version/excludedGrowthFormScope-2024-03-26,excludedGrowthFormScope
http://rs.tdwg.org/eco/iri/version/excludedHabitatScope-2024-03-26,excludedHabitatScope
http://rs.tdwg.org/eco/iri/version/excludedLifeStageScope-2024-03-26,excludedLifeStageScope
http://rs.tdwg.org/eco/iri/version/excludedTaxonomicScope-2024-03-26,excludedTaxonomicScope
http://rs.tdwg.org/eco/iri/version/geospatialScopeAreaUnit-2024-03-26,geospatialScopeAreaUnit
http://rs.tdwg.org/eco/iri/version/inventoryTypes-2024-03-26,inventoryTypes
http://rs.tdwg.org/eco/iri/version/materialSampleTypes-2024-03-26,materialSampleTypes
http://rs.tdwg.org/eco/iri/version/nonTargetTaxa-2024-03-26,nonTargetTaxa
http://rs.tdwg.org/eco/iri/version/protocolNames-2024-03-26,protocolNames
http://rs.tdwg.org/eco/iri/version/samplingEffortProtocol-2024-03-26,samplingEffortProtocol
http://rs.tdwg.org/eco/iri/version/samplingEffortUnit-2024-03-26,samplingEffortUnit
http://rs.tdwg.org/eco/iri/version/samplingPerformedBy-2024-03-26,samplingPerformedBy
http://rs.tdwg.org/eco/iri/version/targetDegreeOfEstablishmentScope-2024-03-26,targetDegreeOfEstablishmentScope
http://rs.tdwg.org/eco/iri/version/targetGrowthFormScope-2024-03-26,targetGrowthFormScope
http://rs.tdwg.org/eco/iri/version/targetHabitatScope-2024-03-26,targetHabitatScope
http://rs.tdwg.org/eco/iri/version/targetLifeStageScope-2024-03-26,targetLifeStageScope
http://rs.tdwg.org/eco/iri/version/targetTaxonomicScope-2024-03-26,targetTaxonomicScope
http://rs.tdwg.org/eco/iri/version/taxonCompletenessProtocols-2024-03-26,taxonCompletenessProtocols
http://rs.tdwg.org/eco/iri/version/taxonCompletenessReported-2024-03-26,taxonCompletenessReported
http://rs.tdwg.org/eco/iri/version/totalAreaSampledUnit-2024-03-26,totalAreaSampledUnit
