document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope
2025-08-17T14:26:42-05:00,absentTaxa,http://rs.tdwg.org/eco/iri/,2024-03-26,2025-07-10,,,,,Absent Taxa (IRI),A taxon reported absent during the dwc:Event.,Absences can be reported at any taxonomic level. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2025-08-17T14:26:42-05:00,compilationSourceTypes,http://rs.tdwg.org/eco/iri/,2024-03-26,2025-07-10,,,,,Compilation Source Types (IRI),The type of data source contributing to the compilation reported.,This term is only relevant if the dwc:Event is a compilation in which one or more types of data sources were used. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2025-08-17T14:26:42-05:00,compilationTypes,http://rs.tdwg.org/eco/iri/,2024-03-26,2025-07-10,,,,,Compilation Types (IRI),"A statement specifying whether data reported are derived from sampling events, ancillary data compiled from other sources, or a combination of both.",This term is only relevant if the dwc:Event is an inventory. Recommended best practice is to use an IRI from a controlled vocabulary. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2024-03-26T14:27:47-05:00,eventDurationUnit,http://rs.tdwg.org/eco/iri/,2024-03-26,2024-03-26,,,,,Event Duration Unit (IRI),The units associated with the eco:eventDurationValue.,"Recommended best practice is to use an IRI from a controlled vocabulary of SI units, derived units, or other non-SI units accepted for use within the SI.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2025-08-17T14:26:42-05:00,excludedDegreeOfEstablishmentScope,http://rs.tdwg.org/eco/iri/,2024-03-26,2025-07-10,,,,,Excluded Degree of Establishment Scope (IRI),The degree of establishment of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,"Recommended best practice is to use an IRI from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/doe/. For details, refer to https://doi.org/10.3897/biss.3.38084 . Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.",`http://rs.tdwg.org/dwcem/values/e001`; `http://rs.tdwg.org/dwcem/values/e005`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2025-08-17T14:26:42-05:00,excludedGrowthFormScope,http://rs.tdwg.org/eco/iri/,2024-03-26,2025-07-10,,,,,Excluded Growth Form Scope (IRI),The growth form or habit of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,Recommended best practice is to use an IRI from a controlled vocabulary. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2025-08-17T14:26:42-05:00,excludedHabitatScope,http://rs.tdwg.org/eco/iri/,2024-03-26,2025-07-10,,,,,Excluded Habitat Scope (IRI),The habitat explicitly excluded from sampling during the dwc:Event.,Recommended best practice is to use an IRI from a controlled vocabulary. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2025-08-17T14:26:42-05:00,excludedLifeStageScope,http://rs.tdwg.org/eco/iri/,2024-03-26,2025-07-10,,,,,Excluded Life Stage Scope (IRI),The age class or life stage of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,This term is defined based on dwciri:lifeStage (http://rs.tdwg.org/dwc/terms/iri/lifeStage). Recommended best practice is to use an IRI from the same controlled vocabulary as for dwciri:lifeStage. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2025-08-17T14:26:42-05:00,excludedTaxonomicScope,http://rs.tdwg.org/eco/iri/,2024-03-26,2025-07-10,,,,,Excluded Taxonomic Scope (IRI),The taxonomic group explicitly excluded from sampling during the dwc:Event.,"The dwc:Event to which the ecoiri:excludedTaxonomicScope refers could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all the taxonomic groups explicitly excluded from the child dwc:Events that contributed to the parent dwc:Event. Terms in the ecoiri: namespace are intended to be used in RDF with non-literal objects.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
2024-03-26T14:27:47-05:00,geospatialScopeAreaUnit,http://rs.tdwg.org/eco/iri/,2024-03-26,2024-03-26,,,,,Geospatial Scope Area Unit (IRI),The units associated with eco:geospatialScopeAreaValue,"Recommended best practice is to use an IRI from a controlled vocabulary of SI units, derived units, or other non-SI units accepted for use within the SI.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,
