document_modified,term_localName,dcterms_isPartOf,dataset_iri,dcterms_modified,label,rdfs_comment
2022-05-27T14:43:39-05:00,audubon,http://rs.tdwg.org/index,http://rs.tdwg.org/index/audubon,2022-02-23,Audubon Core-defined terms,
2022-05-27T14:43:39-05:00,audubon-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/audubon-versions,2022-02-23,Audubon Core-defined term versions,
2018-10-09T11:00:00-05:00,curatorial,http://rs.tdwg.org/index,http://rs.tdwg.org/index/curatorial,2018-10-09,Darwin Core curatorial terms (deprecated),
2018-10-09T11:00:00-05:00,curatorial-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/curatorial-versions,2018-10-09,Darwin Core curatorial term versions (deprecated),
2021-02-01T12:36:17-05:00,dc-for-ac,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dc-for-ac,2021-02-01,Dublin Core legacy terms adopted by Audubon Core,
2021-02-01T12:36:17-05:00,dc-for-ac-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dc-for-ac-versions,2021-02-01,Dublin Core legacy term verions adopted by Audubon Core,
2023-07-01T17:28:24-05:00,dc-for-dwc,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dc-for-dwc,2023-06-28,Dublin Core legacy terms adopted by Darwin Core,
2023-07-01T17:28:24-05:00,dc-for-dwc-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dc-for-dwc-versions,2023-06-28,Dublin Core legacy term versions adopted by Darwin Core,
2021-10-07T13:17:47-05:00,dcterms-for-ac,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dcterms-for-ac,2021-10-05,Dublin Core dcterms terms adopted by Audubon Core,
2021-10-07T13:17:47-05:00,dcterms-for-ac-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dcterms-for-ac-versions,2021-10-05,Dublin Core dcterms term verions adopted by Audubon Core,
2023-06-28T16:39:28-05:00,dcterms-for-dwc,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dcterms-for-dwc,2023-06-28,Dublin Core dcterms terms adopted by Darwin Core,
2023-06-28T16:39:28-05:00,dcterms-for-dwc-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dcterms-for-dwc-versions,2023-06-28,Dublin Core dcterms term versions adopted by Darwin Core,
2018-10-09T11:00:00-05:00,decisions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/decisions,2018-10-09,TDWG Executive Committee decisions,
2020-10-28T22:40:05-04:00,dwc-for-ac,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dwc-for-ac,2020-10-28,Darwin Core terms adpoted by Audubon Core,
2020-10-28T22:40:05-04:00,dwc-for-ac-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dwc-for-ac-versions,2020-10-28,Darwin Core term versions adpoted by Audubon Core,
2018-10-09T11:00:00-05:00,dwc-obsolete,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dwc-obsolete,2018-10-09,Deprecated Darwin Core terms,
2018-10-09T11:00:00-05:00,dwc-obsolete-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dwc-obsolete-versions,2018-10-09,Deprecated Darwin Core term versions,
2018-10-09T11:00:00-05:00,dwcore,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dwcore,2018-10-09,Darwin Core core terms (deprecated),
2018-10-09T11:00:00-05:00,dwcore-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dwcore-versions,2018-10-09,Darwin Core core term versions (deprecated),
2018-10-09T11:00:00-05:00,dwctype,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dwctype,2018-10-09,Darwin Core type vocabulary terms (deprecated),
2018-10-09T11:00:00-05:00,dwctype-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/dwctype-versions,2018-10-09,Darwin Core type vocabulary term versions (deprecated),
2018-10-09T11:00:00-05:00,exif-for-ac,http://rs.tdwg.org/index,http://rs.tdwg.org/index/exif-for-ac,2018-10-09,EXIF terms adopted by Audubon Core,
2018-10-09T11:00:00-05:00,exif-for-ac-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/exif-for-ac-versions,2018-10-09,EXIF term versions adopted by Audubon Core,
2018-10-09T11:00:00-05:00,geospatial,http://rs.tdwg.org/index,http://rs.tdwg.org/index/geospatial,2018-10-09,Darwin Core geospatial terms (deprecated),
2018-10-09T11:00:00-05:00,geospatial-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/geospatial-versions,2018-10-09,Darwin Core geospatial term versions (deprecated),
2018-10-09T11:00:00-05:00,Iptc4xmpExt-for-ac,http://rs.tdwg.org/index,http://rs.tdwg.org/index/Iptc4xmpExt-for-ac,2018-10-09,IPTC terms adpoted by Audubon Core,
2018-10-09T11:00:00-05:00,Iptc4xmpExt-for-ac-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/Iptc4xmpExt-for-ac-versions,2018-10-09,IPTC term versions adpoted by Audubon Core,
2023-06-28T16:39:28-05:00,iri,http://rs.tdwg.org/index,http://rs.tdwg.org/index/iri,2023-06-28,Darwin Core IRI-object terms,
2023-06-28T16:39:28-05:00,iri-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/iri-versions,2023-06-28,Darwin Core IRI-object term versions,
2018-10-09T11:00:00-05:00,photoshop-for-ac,http://rs.tdwg.org/index,http://rs.tdwg.org/index/photoshop-for-ac,2018-10-09,Photoshop terms adopted by Audubon Core,
2018-10-09T11:00:00-05:00,photoshop-for-ac-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/photoshop-for-ac-versions,2018-10-09,Photoshop term versions adopted by Audubon Core,
2023-07-01T17:28:24-05:00,terms,http://rs.tdwg.org/index,http://rs.tdwg.org/index/terms,2023-06-28,Darwin Core-defined general terms,
2023-07-01T17:28:24-05:00,terms-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/terms-versions,2023-06-28,Darwin Core-defined general term versions,
2018-10-09T11:00:00-05:00,utility,http://rs.tdwg.org/index,http://rs.tdwg.org/index/utility,2018-10-09,TDWG utility terms,
2018-10-09T11:00:00-05:00,utility-versions,http://rs.tdwg.org/index,http://rs.tdwg.org/index/utility-versions,2018-10-09,TDWG utility term versions,
