number,uri
16162,/tapir/cs/dwc/1.4/model/dw_core_geo_cur.xml
3279,/dwc/terms/index.htm
2603,/dwc/text/tdwg_dwc_text.xsd
1078,/
838,/dwc/index.htm
677,/UBIF/2006/Schema/1.1/UBIF_CoreOntology.xsd
677,/dwc/terms/history/index.htm
478,/dwc/terms/simple/index.htm
401,/UBIF/2006/Schema/1.1/w3c-schemata/xml.xsd
396,/UBIF/2006/Schema/1.1/UBIF_EnumLib.xsd
395,/UBIF/2006/Schema/1.1/UBIF_CoreExtensions.xsd
394,/UBIF/2006/Schema/1.1/SDD_EnumLib.xsd
393,/UBIF/2006/Schema/1.1/UBIF_LinneanCore.xsd
393,/UBIF/2006/Schema/1.1/SDD_TypeLib.xsd
392,/UBIF/2006/Schema/1.1/UBIF_TypeLib.xsd
392,/UBIF/2006/Schema/1.1/UBIF_BasePattern.xsd
367,/dwc/terms/guides/text/index.htm
328,/dwc/terms/guides/rdf/index.htm
324,/dwc/xsd/tdwg_dwc_class_terms.xsd
211,/UBIF/2006/Schema/1.1/SDD.xsd
175,/dwc/xsd/tdwg_dwc_simple.xsd
171,/dwc/terms/namespace/index.htm
163,/dwc/xsd/tdwg_dwcterms.xsd
146,/dwc/terms/guides/xml/index.htm
133,/dwc/terms/history/dwctoabcd/index.htm
120,/dwc/xsd/tdwg_basetypes.xsd
93,/dwc/xsd/tdwg_dwc_extensions.xsd
92,/dwc/terms/history/versions/index.htm
61,/dwc/rdf/dwctermshistory.rdf
60,/dwc/terms/history/decisions/index.htm
53,/abcd/2.06/ABCD_2.06.xsd
52,/dwc/rdf/dwcterms.rdf
40,/dwc/DarwinCore_files/
39,/dwc/tdwg_dw_geospatial.xsd
37,/abcd2/terms/gathering-siteimage-license-details
35,/dwc/xsd/tdwg_dwc_classes.xsd
30,/dwc/tdwg_dw_curatorial.xsd
25,/dwc/tdwg_dw_core.xsd
22,/dwc/terms/history/
22,/abcd/2.06
20,/dwc/terms/history/dwctoabcd/
19,/UBIF/2006/rddl.html
18,/dwc/examples/text/example_text_simpledwc_complete.xml
17,/tapir/cs/mappings/index.xml
17,/dwc/examples/xml/example_simple.xml
12,/abcd2/terms/SpecimenUnit-PreparationAgent-Organisation-Name
11,/dwc/terms/history/versions/
11,/abcd2/terms/Identification-DayNumberEnd
10,/abcd/2.06/ABCD_2.06.zip
9,/tapir/1.0/schema/tdwg_tapir.xsd
9,/abcd/
8,/tapir/cns/dwc_1_4.xml
8,/dwc/terms/history/decisions/
8,/abcd/2.06/rddl-2007-06-13.html
7,/UBIF/2006/Schema/1.1/encoded-inline-formatting/EncodedFormattingProposal.html
7,/tapir/cns/dwgeo_1_4.xml
7,/tapir/cns/dwcur_1_4.xml
7,/ontology/voc/GeographicRegion.rdf
6,/tapir/cns/dwc_terms_2009_09_23.xml
6,/ontology/voc/TaxonConcept.rdf
6,/dwc/tdwg_basetypes.xsd
6,/abcd2/terms/Identification-TimeZone
6,/abcd2/terms/Identification-Result
6,/abcd2/terms/Gathering-Height-Parameter
5,/ontology/voc/SPMInfoItems.rdf
5,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-ISODateTimeEnd
5,/abcd/2.06/rddl-2007-10-18.html
5,/abcd/2.06/b/ABCD_2.06b.xsd
5,/abcd
4,/UBIF/2006/Schema/1.1/documentation/UBIF_EnumData.html
4,/tapir/1.0/template
4,/tapir/1.0/summary
4,/tapir/1.0/response
4,/tapir/1.0/outputModel
4,/tapir/1.0/maxElementRepetitions
4,/tapir/1.0/mappedConcept
4,/tapir/1.0/anyOutputModels
4,/ontology/voc/GeographicRegion
4,/ontology/Core.rdf
4,/abcd2/terms/Unit-Acknowledgement-Details
4,/abcd2/terms/Synecology-Syntaxon
4,/abcd2/terms/SequencingAgent-LogoURI
4,/abcd/2.06/
3,/UBIF/2006/Schema/1.1/xsl-experiments/xsd-SchemaReport.xsl/trackback/
3,/UBIF/2006/Schema/1.1/xsl-experiments/xsd-SchemaReport.xsl
3,/UBIF/2006/Schema/1.1/documentation/SDD_Overview.html
3,/tapir/cs/mappings/dwcgeo14_references.xml
3,/ontology/voc/TaxonRank
3,/ontology/voc/TaxonOccurrence
3,/ontology/voc/TaxonName.rdf
3,/ontology/voc/Specimen.rdf
3,/ontology/
3,/abcd-efg/terms/RockUnit-FullName
3,/abcd-efg/terms/Geologists-Name
3,/abcd2/terms/Units
3,/abcd2/terms/Unit-Acknowledgement-Text
3,/abcd2/terms/Unit
3,/abcd2/terms/SpecimenUnit-AcquiredFrom-LogoURI
3,/abcd2/terms/Gathering-SiteImage-License-Details
3,/abcd/2.06/a/ABCD_2.06a.xsd
2,/UBIF/2006/Schema/1.1/SDD_ForObjects.xsd
2,/UBIF/2006/Schema/1.1/encoded-inline-formatting/UBIF-EncodedFormatting-Strip-SampleOutput.html
2,/UBIF/2006/rddl-2006-05-11.html
2,/UBIF/2006
2,/UBIF/2005/rddl-2005-09-15.html
2,/tapir/1.0/schema/tapir.xsd
2,/ontology/voc/TaxonRank.rdf
2,/ontology/voc/TaxonOccurrenceInteraction.rdf
2,/ontology/voc/TaxonName
2,/ontology/voc/TaxonConcept
2,/ontology/voc/SPMInfoItems
2,/ontology/voc/SpeciesProfileModel
2,/ontology/voc/Common
2,/ontology/voc/Collection
2,/ontology/voc/
2,/dwc/xsd/simpledarwincore/
2,/dwc/trackback/
2,/dwc/examples/text/simplemetafile.xml
2,/abcd-efg/terms/RockUnit-ExactDate
2,/abcd-efg/terms/AnalysisDateTime-ISODateTimeBegin
2,/abcd-efg/terms/Alteration
2,/abcd2/terms/Unit-Acknowledgements
2,/abcd2/terms/Synecology-Bacterial
2,/abcd2/terms/SpecimenUnit
2,/abcd2/terms/SourceInstitutionID
2,/abcd2/terms/SequencingAgent-Organisation-Text
2,/abcd2/terms/PalaeontologicalUnit-Preservation
2,/abcd2/terms/MultiMediaObject
2,/abcd2/terms/Gathering-Permits-Permit
2,/abcd2/terms/GatheringAgentsText
2,/abcd2/terms/DataSets
2,/abcd2/terms/DataSet-IPRDeclaration-Details
2,/abcd/1.2/rddl-2006-11-15.html
1,/UBIF/2006/Schema/SDD1.1rev5.zip
1,/UBIF/2006/Schema/1.1/documentation/UBIF_EnumLib_Overview.html
1,/UBIF/2006/Schema/1.1/documentation/SDD_EnumData.html
1,/ontology/voc/SpeciesProfileModel.rdf
1,/ontology/voc/Ontology.owl
1,/ontology/voc/CollectionType.rdf
1,/ontology/voc
1,/dwc/tdwg_dw_record.xsd
1,/dwc/tdwg_dw_record_tapir.xsd
1,/abcd-efg/terms/ModeOfTransport
1,/abcd-efg/terms/MineralMeasurementOrFact
1,/abcd-efg/terms/LithologyHostRock-MineralRockGroup-MineralRockClassification
1,/abcd-efg/terms/LithologyHostRock-Certainty
1,/abcd-efg/terms/IdentificationAnalysisAtomised-Representation
1,/abcd-efg/terms/IdentificationAnalysisAtomised-Organisation
1,/abcd-efg/terms/IdentificationAnalysisAtomised-FullName
1,/abcd-efg/terms/IdentificationAnalysisAtomised-AppliesTo
1,/abcd-efg/terms/HostRockStratigraphy-Supergroup
1,/abcd-efg/terms/HostRockStratigraphy-RadiometricDate-Organisation
1,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-InheritedName
1,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-GivenNames
1,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-ExactDate
1,/abcd-efg/terms/HostRockStratigraphy-MagnetostratigraphicDetermination-CitationDetail
1,/abcd-efg/terms/HostRockStratigraphy-LithostratigraphicAttribution-Prefix
1,/abcd-efg/terms/HostRockStratigraphy-LithostratigraphicAttribution-Certainty
1,/abcd-efg/terms/HostRockStratigraphy-LithostratigraphicAttribution-Accuracy
