document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,rdfs_seeAlso,tdwgutility_usageScope,term_localName
2020-07-26T07:00:00-04:00,http://rs.tdwg.org/dwc/iri/version/inDescribedPlace-2015-03-27,inDescribedPlace-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,In Described Place,Use to link a dcterms:Location instance subject to the lowest level standardized hierarchically-described resource.,"Recommended best practice is to use an IRI from a controlled registry. A ""convenience property"" that replaces Darwin Core literal-value terms related to locations. See Section 2.7.5 of the Darwin Core RDF Guide for details.",`http://vocab.getty.edu/tgn/1019987`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,,,inDescribedPlace
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/identifiedBy-2015-03-27,identifiedBy-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Identified By (IRI),"A person, group, or organization who assigned the Taxon to the subject.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/identifiedBy,,identifiedBy
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/recordedBy-2015-03-27,recordedBy-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Recorded By (IRI),"A person, group, or organization responsible for recording the original Occurrence.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/recordedBy,,recordedBy
2020-07-26T07:00:00-04:00,http://rs.tdwg.org/dwc/iri/version/toTaxon-2015-03-27,toTaxon-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,To Taxon,"Use to link a dwc:Identification instance subject to a taxonomic entity such as a taxon, taxon concept, or taxon name use.","A ""convenience property"" that replaces Darwin Core literal-value terms related to taxonomic entities. See Section 2.7.4 of the Darwin Core RDF Guide for details.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,,,toTaxon
2020-07-26T07:00:00-04:00,http://rs.tdwg.org/dwc/iri/version/inCollection-2015-03-27,inCollection-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,In Collection,Use to link any subject resource that is part of a collection to the collection containing the resource.,"Recommended best practice is to use an IRI from a controlled registry. A ""convenience property"" that replaces literal-value terms related to collections and institutions. See Section 2.7.3 of the Darwin Core RDF Guide for details.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,,,inCollection
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/georeferencedBy-2015-03-27,georeferencedBy-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Georeferenced By (IRI),"A person, group, or organization who determined the georeference (spatial representation) for the Location.",Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/georeferencedBy,,georeferencedBy
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/behavior-2015-03-27,behavior-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Behavior (IRI),A description of the behavior shown by the subject at the time the Occurrence was recorded.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/behavior,,behavior
2020-07-26T07:00:00-04:00,http://rs.tdwg.org/dwc/iri/version/dataGeneralizations-2015-03-27,dataGeneralizations-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,Data Generalizations (IRI),Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.,Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/dataGeneralizations,,dataGeneralizations
2023-06-28T16:39:28-05:00,http://rs.tdwg.org/dwc/iri/version/disposition-2015-03-27,disposition-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Disposition (IRI),The current state of a specimen with respect to the collection identified in collectionCode or collectionID.,Recommended best practice is to use a controlled vocabulary. Terms in the dwciri namespace are intended to be used in RDF with non-literal objects.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,http://rs.tdwg.org/dwc/terms/disposition,,disposition
2023-09-15T17:37:28-05:00,http://rs.tdwg.org/dwc/iri/version/earliestGeochronologicalEra-2015-03-27,earliestGeochronologicalEra-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,superseded,,,,Earliest Geochronological Era,Use to link a dwc:GeologicalContext instance to chronostratigraphic time periods at the lowest possible level in a standardized hierarchy.   Use this property to point to the earliest possible geological time period from which the cataloged item was collected.,"Recommended best practice is to use an IRI from a controlled vocabulary. A ""convenience property"" that replaces Darwin Core literal-value terms related to geological context. See Section 2.7.6 of the Darwin Core RDF Guide for details.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/dwc/terms/attributes/UseWithIRI,,,,earliestGeochronologicalEra
