version,term_localName
http://rs.tdwg.org/ltc/terms/version/Address-2022-07-14,Address
http://rs.tdwg.org/ltc/terms/version/CollectionDescriptionScheme-2022-07-14,CollectionDescriptionScheme
http://rs.tdwg.org/ltc/terms/version/CollectionStatusHistory-2022-07-14,CollectionStatusHistory
http://rs.tdwg.org/ltc/terms/version/ContactDetail-2022-07-14,ContactDetail
http://rs.tdwg.org/ltc/terms/version/Event-2022-07-14,Event
http://rs.tdwg.org/ltc/terms/version/GeographicOrigin-2022-07-14,GeographicOrigin
http://rs.tdwg.org/ltc/terms/version/Identifier-2022-07-14,Identifier
http://rs.tdwg.org/ltc/terms/version/ObjectClassification-2022-07-14,ObjectClassification
http://rs.tdwg.org/ltc/terms/version/ObjectGroup-2022-07-14,ObjectGroup
http://rs.tdwg.org/ltc/terms/version/OrganisationalUnit-2022-07-14,OrganisationalUnit
http://rs.tdwg.org/ltc/terms/version/Person-2022-07-14,Person
http://rs.tdwg.org/ltc/terms/version/PersonRole-2022-07-14,PersonRole
http://rs.tdwg.org/ltc/terms/version/RecordLevel-2022-07-14,RecordLevel
http://rs.tdwg.org/ltc/terms/version/SchemeMeasurementOrFact-2022-07-14,SchemeMeasurementOrFact
http://rs.tdwg.org/ltc/terms/version/SchemeTerm-2022-07-14,SchemeTerm
http://rs.tdwg.org/ltc/terms/version/StorageLocation-2022-07-14,StorageLocation
http://rs.tdwg.org/ltc/terms/version/TemporalCoverage-2022-07-14,TemporalCoverage
http://rs.tdwg.org/ltc/terms/version/basisOfScheme-2022-07-14,basisOfScheme
http://rs.tdwg.org/ltc/terms/version/distinctObjects-2022-07-14,distinctObjects
http://rs.tdwg.org/ltc/terms/version/schemeName-2022-07-14,schemeName
http://rs.tdwg.org/ltc/terms/version/status-2022-07-14,status
http://rs.tdwg.org/ltc/terms/version/statusChangeReason-2022-07-14,statusChangeReason
http://rs.tdwg.org/ltc/terms/version/statusType-2022-07-14,statusType
http://rs.tdwg.org/ltc/terms/version/contactDetailCategory-2022-07-14,contactDetailCategory
http://rs.tdwg.org/ltc/terms/version/contactDetailType-2022-07-14,contactDetailType
http://rs.tdwg.org/ltc/terms/version/contactDetailValue-2022-07-14,contactDetailValue
http://rs.tdwg.org/ltc/terms/version/region-2022-07-14,region
http://rs.tdwg.org/ltc/terms/version/salinityType-2022-07-14,salinityType
http://rs.tdwg.org/ltc/terms/version/waterBodyType-2022-07-14,waterBodyType
http://rs.tdwg.org/ltc/terms/version/identifierType-2022-07-14,identifierType
http://rs.tdwg.org/ltc/terms/version/measurementDerivation-2022-07-14,measurementDerivation
http://rs.tdwg.org/ltc/terms/version/measurementFactText-2022-07-14,measurementFactText
http://rs.tdwg.org/ltc/terms/version/objectClassificationLevel-2022-07-14,objectClassificationLevel
http://rs.tdwg.org/ltc/terms/version/objectClassificationName-2022-07-14,objectClassificationName
http://rs.tdwg.org/ltc/terms/version/objectClassificationParent-2022-07-14,objectClassificationParent
http://rs.tdwg.org/ltc/terms/version/baseTypeOfCollection-2022-07-14,baseTypeOfCollection
http://rs.tdwg.org/ltc/terms/version/collectionManagementSystem-2022-07-14,collectionManagementSystem
