"identifier","context","text"
"Address:label","Label for Address http://rs.tdwg.org/dwc/terms/Address","Adresa"
"Address:definition","Definition for Address http://rs.tdwg.org/dwc/terms/Address",""
"ChronometricAge:label","Label for Chronometric Age http://rs.tdwg.org/dwc/terms/ChronometricAge","Chronometrický věk"
"ChronometricAge:definition","Definition for Chronometric Age http://rs.tdwg.org/dwc/terms/ChronometricAge",""
"ChronometricAge:notes","Notes for Chronometric Age http://rs.tdwg.org/dwc/terms/ChronometricAge",""
"CollectionStatusHistory:label","Label for Collection Status History http://rs.tdwg.org/dwc/terms/CollectionStatusHistory",""
"CollectionStatusHistory:definition","Definition for Collection Status History http://rs.tdwg.org/dwc/terms/CollectionStatusHistory",""
"CollectionStatusHistory:notes","Notes for Collection Status History http://rs.tdwg.org/dwc/terms/CollectionStatusHistory",""
"ContactDetail:label","Label for Contact Detail http://rs.tdwg.org/dwc/terms/ContactDetail","Detail kontaktu"
"ContactDetail:definition","Definition for Contact Detail http://rs.tdwg.org/dwc/terms/ContactDetail",""
"ContactDetail:notes","Notes for Contact Detail http://rs.tdwg.org/dwc/terms/ContactDetail",""
"EcologicalContext:label","Label for Ecological Context http://rs.tdwg.org/dwc/terms/EcologicalContext",""
"EcologicalContext:definition","Definition for Ecological Context http://rs.tdwg.org/dwc/terms/EcologicalContext",""
"EcologicalContext:notes","Notes for Ecological Context http://rs.tdwg.org/dwc/terms/EcologicalContext",""
"Event:label","Label for Event http://rs.tdwg.org/dwc/terms/Event","Událost"
"Event:definition","Definition for Event http://rs.tdwg.org/dwc/terms/Event",""
"Event:notes","Notes for Event http://rs.tdwg.org/dwc/terms/Event",""
"GeographicContext:label","Label for Geographic Context http://rs.tdwg.org/dwc/terms/GeographicContext",""
"GeographicContext:definition","Definition for Geographic Context http://rs.tdwg.org/dwc/terms/GeographicContext",""
"GeologicalContext:label","Label for Geological Context http://rs.tdwg.org/dwc/terms/GeologicalContext",""
"GeologicalContext:definition","Definition for Geological Context http://rs.tdwg.org/dwc/terms/GeologicalContext",""
"Identifier:label","Label for Identifier http://rs.tdwg.org/dwc/terms/Identifier","Identifikátor"
"Identifier:definition","Definition for Identifier http://rs.tdwg.org/dwc/terms/Identifier",""
"Identifier:notes","Notes for Identifier http://rs.tdwg.org/dwc/terms/Identifier",""
"LatimerCoreScheme:label","Label for Latimer Core Scheme http://rs.tdwg.org/dwc/terms/LatimerCoreScheme",""
"LatimerCoreScheme:definition","Definition for Latimer Core Scheme http://rs.tdwg.org/dwc/terms/LatimerCoreScheme",""
"LatimerCoreScheme:notes","Notes for Latimer Core Scheme http://rs.tdwg.org/dwc/terms/LatimerCoreScheme",""
"MeasurementOrFact:label","Label for Measurement or Fact http://rs.tdwg.org/dwc/terms/MeasurementOrFact",""
"MeasurementOrFact:definition","Definition for Measurement or Fact http://rs.tdwg.org/dwc/terms/MeasurementOrFact",""
"MeasurementOrFact:notes","Notes for Measurement or Fact http://rs.tdwg.org/dwc/terms/MeasurementOrFact",""
"ObjectClassification:label","Label for Object Classification http://rs.tdwg.org/dwc/terms/ObjectClassification",""
"ObjectClassification:definition","Definition for Object Classification http://rs.tdwg.org/dwc/terms/ObjectClassification",""
"ObjectClassification:notes","Notes for Object Classification http://rs.tdwg.org/dwc/terms/ObjectClassification",""
"ObjectGroup:label","Label for Object Group http://rs.tdwg.org/dwc/terms/ObjectGroup",""
"ObjectGroup:definition","Definition for Object Group http://rs.tdwg.org/dwc/terms/ObjectGroup",""
"OrganisationalUnit:label","Label for Organisational Unit http://rs.tdwg.org/dwc/terms/OrganisationalUnit","Organizační jednotka"
"OrganisationalUnit:definition","Definition for Organisational Unit http://rs.tdwg.org/dwc/terms/OrganisationalUnit",""
"OrganisationalUnit:notes","Notes for Organisational Unit http://rs.tdwg.org/dwc/terms/OrganisationalUnit",""
"Person:label","Label for Person http://rs.tdwg.org/dwc/terms/Person","Osoba"
"Person:definition","Definition for Person http://rs.tdwg.org/dwc/terms/Person",""
"Person:usage","Usage for Person http://rs.tdwg.org/dwc/terms/Person",""
"Person:notes","Notes for Person http://rs.tdwg.org/dwc/terms/Person",""
"PersonRole:label","Label for Person Role http://rs.tdwg.org/dwc/terms/PersonRole",""
"PersonRole:definition","Definition for Person Role http://rs.tdwg.org/dwc/terms/PersonRole",""
"PersonRole:notes","Notes for Person Role http://rs.tdwg.org/dwc/terms/PersonRole",""
"RecordLevel:label","Label for Record Level http://rs.tdwg.org/dwc/terms/RecordLevel",""
"RecordLevel:definition","Definition for Record Level http://rs.tdwg.org/dwc/terms/RecordLevel",""
