identifier,context,text
Address:http~//rs.tdwg.org/dwc/terms/attributes/Address:label,Label for Address (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Address) http://rs.tdwg.org/dwc/terms/Address,Address
Address:http~//rs.tdwg.org/dwc/terms/attributes/Address:definition,Definition for Address (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Address) http://rs.tdwg.org/dwc/terms/Address,A physical address for an organisational unit or person.
ChronometricAge:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:label,Label for Chronometric Age (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/ChronometricAge,Chronometric Age
ChronometricAge:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:definition,Definition for Chronometric Age (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/ChronometricAge,The age of a specimen or related materials that is generated from a dating assay.
ChronometricAge:http~//rs.tdwg.org/dwc/terms/attributes/ChronometricAge:notes,Notes for Chronometric Age (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ChronometricAge) http://rs.tdwg.org/dwc/terms/ChronometricAge,"To represent a single age, enter the same value in both earliestChronometricAge and latestChronometricAge. Leaving one or both of these fields blank indicates that the value is unknown, has yet to be recorded or is not applicable to the material being described. We recommend that you do not use this class to indicate chronostratigraphy: it is intended to be used to reflect a chronometric age or range of ages determined via one or more named analytical protocols, methods or techniques."
CollectionStatusHistory:http~//rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory:label,Label for Collection Status History (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory) http://rs.tdwg.org/dwc/terms/CollectionStatusHistory,Collection Status History
CollectionStatusHistory:http~//rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory:definition,Definition for Collection Status History (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory) http://rs.tdwg.org/dwc/terms/CollectionStatusHistory,A record of current and past statuses of the object group and the reason for status changes.
CollectionStatusHistory:http~//rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory:notes,Notes for Collection Status History (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/CollectionStatusHistory) http://rs.tdwg.org/dwc/terms/CollectionStatusHistory,"Use this class to record the history of and reason for changes in the status of the described collection. Types of status described by this class may, for example, include ownership, management, accessibility or accrual policy over time. Dates reflecting the start and end of the status described by this class should be recorded using an instance of TemporalCoverage. If temporalCoverageEndDateTime is empty, the status should be inferred to be the current status of the collection."
ContactDetail:http~//rs.tdwg.org/dwc/terms/attributes/ContactDetail:label,Label for Contact Detail (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ContactDetail) http://rs.tdwg.org/dwc/terms/ContactDetail,Contact Detail
ContactDetail:http~//rs.tdwg.org/dwc/terms/attributes/ContactDetail:definition,Definition for Contact Detail (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ContactDetail) http://rs.tdwg.org/dwc/terms/ContactDetail,Details of a method by which an entity such as a Person or OrganisationalUnit may be contacted.
ContactDetail:http~//rs.tdwg.org/dwc/terms/attributes/ContactDetail:notes,Notes for Contact Detail (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/ContactDetail) http://rs.tdwg.org/dwc/terms/ContactDetail,"The Address class should be used to store physical or postal addresses. For all other types of contact details, this class should be used."
EcologicalContext:http~//rs.tdwg.org/dwc/terms/attributes/EcologicalContext:label,Label for Ecological Context (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/EcologicalContext) http://rs.tdwg.org/dwc/terms/EcologicalContext,Ecological Context
EcologicalContext:http~//rs.tdwg.org/dwc/terms/attributes/EcologicalContext:definition,Definition for Ecological Context (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/EcologicalContext) http://rs.tdwg.org/dwc/terms/EcologicalContext,"The ecological and/or biogeographic classification of the region from which objects associated with the ObjectGroup were collected, or where an Event took place."
EcologicalContext:http~//rs.tdwg.org/dwc/terms/attributes/EcologicalContext:notes,Notes for Ecological Context (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/EcologicalContext) http://rs.tdwg.org/dwc/terms/EcologicalContext,"There is some conceptual overlap with the GeographicContext class with respect to geographic locations. This class should be used for biogeographic and ecological concepts, whereas for physical, political and administrative geographic locations, the GeographicContext class is more appropriate. Specific information about the habitat and ecological conditions that applied at the time that an event took place should be recorded in the `habitat` property of the Event class."
Event:http~//rs.tdwg.org/dwc/terms/attributes/Event:label,Label for Event (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Event) http://rs.tdwg.org/dwc/terms/Event,Event
Event:http~//rs.tdwg.org/dwc/terms/attributes/Event:definition,Definition for Event (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Event) http://rs.tdwg.org/dwc/terms/Event,An action that occurs at some location during some time.
Event:http~//rs.tdwg.org/dwc/terms/attributes/Event:notes,Notes for Event (tdwgutility_organizedInClass: http://rs.tdwg.org/dwc/terms/attributes/Event) http://rs.tdwg.org/dwc/terms/Event,Derived from dwc Class event (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). This class has been defined under the ltc namespace because it only has a subset of the properties of DwC:Event. All ltc:Event properties are borrowed from and reference the dwc namespace. Examples of an Event include: A specimen collection process. A camera trap image capture. A marine trawl.
