"identifier","context","text"
"Address:label","Label for Address http://rs.tdwg.org/dwc/terms/Address","Dirección"
"Address:definition","Definition for Address http://rs.tdwg.org/dwc/terms/Address","Una dirección física por una unidad organizacional o persona."
"ChronometricAge:label","Label for Chronometric Age http://rs.tdwg.org/dwc/terms/ChronometricAge","Edad Cronométrica"
"ChronometricAge:definition","Definition for Chronometric Age http://rs.tdwg.org/dwc/terms/ChronometricAge","La edad de un espécimen o material relacionado que es generado por un ensayo de datación."
"ChronometricAge:notes","Notes for Chronometric Age http://rs.tdwg.org/dwc/terms/ChronometricAge","Para representar una única edad, ingresar el mismo valor en ambos earliestChronometricAge y latestChronometricAge. Dejar uno de ambos en blanco indica que el valor es desconocido, aún no ha sido registrado o no es aplicable al material descrito. Recomendamos que no se utilice esta clase para indicar cronoestratigrafía: se destina para ser usada para reflejar la edad o rango de edades cronométrico mediante uno o más protocolos, métodos o técnicas analíticas mencionadas."
"CollectionStatusHistory:label","Label for Collection Status History http://rs.tdwg.org/dwc/terms/CollectionStatusHistory","Historial de Estados de la Colección"
"CollectionStatusHistory:definition","Definition for Collection Status History http://rs.tdwg.org/dwc/terms/CollectionStatusHistory","Un registro del estado actual y pasado del grupo de objetos y la razón de los cambios de estado."
"CollectionStatusHistory:notes","Notes for Collection Status History http://rs.tdwg.org/dwc/terms/CollectionStatusHistory","Usar esta clase para registrar la historia y la razón de los cambios en el estado descrito en la colección. Los tipos de estados descritos para esta clase pueden, por ejemplo, incluir, propiedad, manejo, accesibilidad o política de acumulación en el tiempo. Fechas que reflejan el estado inicial y final descrito por esta clase deberían estar registrados usando una instancia de TemporalCoverage. Si temporalCoverageEndDate está vacía, se debería inferir que el estado es el estado actual de la colección."
"ContactDetail:label","Label for Contact Detail http://rs.tdwg.org/dwc/terms/ContactDetail","Detalle del Contacto"
"ContactDetail:definition","Definition for Contact Detail http://rs.tdwg.org/dwc/terms/ContactDetail","Detalles de un método por el cual una entidad, tal como una ""Person"" (persona) o ""OrganisationalUnit"" (unidad organizacional) puede ser contactada."
"ContactDetail:notes","Notes for Contact Detail http://rs.tdwg.org/dwc/terms/ContactDetail","La clase Address debería ser usada para almacenar direcciones físicas o postales. Para todos los otros tipos de detalles del contacto, esta clase debe ser usada."
"EcologicalContext:label","Label for Ecological Context http://rs.tdwg.org/dwc/terms/EcologicalContext","Contexto Ecológico"
"EcologicalContext:definition","Definition for Ecological Context http://rs.tdwg.org/dwc/terms/EcologicalContext","La clasificación ecológica y/o biogeográfica de la región en que los objetos asociados con el ObjectGroup fueron colectados, o donde un Event ocurrió."
"EcologicalContext:notes","Notes for Ecological Context http://rs.tdwg.org/dwc/terms/EcologicalContext","Existe un traslape de conceptos con la clase GeographicContext respecto a la locación geográfica. Esta clase debería ser usada por conceptos biogeográficos y ecológicos, mientras que para locaciones geográficas físicas, políticas y administrativas, la clase GeographicContext es más apropiada. Información específica sobre el hábitat y las condiciones ecológicas que se aplican al tiempo en que el evento ocurrió deberían ser registradas en la propiedad `habitat` de la clase Event."
"Event:label","Label for Event http://rs.tdwg.org/dwc/terms/Event","Evento"
"Event:definition","Definition for Event http://rs.tdwg.org/dwc/terms/Event","Una acción que ocurre en alguna ubicación durante algún momento."
"Event:notes","Notes for Event http://rs.tdwg.org/dwc/terms/Event","Derivada desde dwc Clase evento (http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06). Esta clase ha sido definida bajo el namespace Itc debido a que solo tiene un subconjunto de propiedades de DwC:Event. Todas las propiedades ltc:Event son tomadas desde y referenciadas al namespace dwc. Ejemplo de un Evento incluye: Una proceso de colección de especímenes. Una imagen capturada por una cámara trampa. Un red barredera marina."
"GeographicContext:label","Label for Geographic Context http://rs.tdwg.org/dwc/terms/GeographicContext","Contexto Geográfico"
"GeographicContext:definition","Definition for Geographic Context http://rs.tdwg.org/dwc/terms/GeographicContext","La ubicación geográfica en la que se recogieron los objetos asociados con el ObjectGroup, o donde tuvo lugar un Evento."
"GeologicalContext:label","Label for Geological Context http://rs.tdwg.org/dwc/terms/GeologicalContext","Contexto geológico"
"GeologicalContext:definition","Definition for Geological Context http://rs.tdwg.org/dwc/terms/GeologicalContext","Información geológica, como la estratigrafía, que califica una región o un lugar."
"Identifier:label","Label for Identifier http://rs.tdwg.org/dwc/terms/Identifier","Identificador"
"Identifier:definition","Definition for Identifier http://rs.tdwg.org/dwc/terms/Identifier","Valor numérico, textual o referencia, como un IRI, que puede utilizarse para identificar de forma única el objeto al que se adjunta."
"Identifier:notes","Notes for Identifier http://rs.tdwg.org/dwc/terms/Identifier","Utilice esta clase para documentar identificadores estables que describan las colecciones y las entidades asociadas que se representan en la descripción de la colección. Por ejemplo, identificadores de personas, identificadores de taxones, identificadores de instituciones, identificadores de unidades organizativas, identificadores de nomenclátores. Los identificadores representados por esta clase pueden ser globalmente únicos o únicos dentro de un contexto determinado."
"LatimerCoreScheme:label","Label for Latimer Core Scheme http://rs.tdwg.org/dwc/terms/LatimerCoreScheme","Esquema Latimer Core"
"LatimerCoreScheme:definition","Definition for Latimer Core Scheme http://rs.tdwg.org/dwc/terms/LatimerCoreScheme","Agrupación de varios ObjectGroups para un caso de uso, propósito o implementación concretos."
"LatimerCoreScheme:notes","Notes for Latimer Core Scheme http://rs.tdwg.org/dwc/terms/LatimerCoreScheme","Cuando los mismos objetos de una misma colección pueden ser descritos por más de un ObjectGroup con fines diferentes (por ejemplo, una descripción de la colección «Mamíferos fósiles de Darwin» puede solaparse con una descripción de la colección «Paleontología externa»), esta clase puede utilizarse para distinguirlos y evitar el doble cómputo de métricas en las consultas de los datos."
"MeasurementOrFact:label","Label for Measurement or Fact http://rs.tdwg.org/dwc/terms/MeasurementOrFact","Medida o hecho"
"MeasurementOrFact:definition","Definition for Measurement or Fact http://rs.tdwg.org/dwc/terms/MeasurementOrFact","Medida o hecho sobre una clase dentro del estándar, o una relación entre el ObjectGroup y una clase asociada."
"MeasurementOrFact:notes","Notes for Measurement or Fact http://rs.tdwg.org/dwc/terms/MeasurementOrFact","Esta clase puede utilizarse para aplicar medidas, hechos o narraciones al ObjectGroup en su conjunto, o utilizarse para calificar la relación entre el ObjectGroup y un atributo asociado. Por ejemplo, un ObjectGroup puede contener 100 objetos, de los cuales 40 son de Europa y 60 de África. En este ejemplo, se adjuntaría una MeasurementOrFact (recuento de 100) al ObjectGroup, y una a cada una de las dos relaciones entre el ObjectGroup y GeographicContext (Europa: recuento de 40, África: recuento de 60)."
"ObjectClassification:label","Label for Object Classification http://rs.tdwg.org/dwc/terms/ObjectClassification",""
"ObjectClassification:definition","Definition for Object Classification http://rs.tdwg.org/dwc/terms/ObjectClassification",""
"ObjectClassification:notes","Notes for Object Classification http://rs.tdwg.org/dwc/terms/ObjectClassification",""
"ObjectGroup:label","Label for Object Group http://rs.tdwg.org/dwc/terms/ObjectGroup",""
"ObjectGroup:definition","Definition for Object Group http://rs.tdwg.org/dwc/terms/ObjectGroup",""
"OrganisationalUnit:label","Label for Organisational Unit http://rs.tdwg.org/dwc/terms/OrganisationalUnit",""
"OrganisationalUnit:definition","Definition for Organisational Unit http://rs.tdwg.org/dwc/terms/OrganisationalUnit",""
"OrganisationalUnit:notes","Notes for Organisational Unit http://rs.tdwg.org/dwc/terms/OrganisationalUnit",""
"Person:label","Label for Person http://rs.tdwg.org/dwc/terms/Person","Persona"
"Person:definition","Definition for Person http://rs.tdwg.org/dwc/terms/Person",""
"Person:usage","Usage for Person http://rs.tdwg.org/dwc/terms/Person",""
"Person:notes","Notes for Person http://rs.tdwg.org/dwc/terms/Person",""
"PersonRole:label","Label for Person Role http://rs.tdwg.org/dwc/terms/PersonRole",""
"PersonRole:definition","Definition for Person Role http://rs.tdwg.org/dwc/terms/PersonRole",""
"PersonRole:notes","Notes for Person Role http://rs.tdwg.org/dwc/terms/PersonRole",""
"RecordLevel:label","Label for Record Level http://rs.tdwg.org/dwc/terms/RecordLevel",""
"RecordLevel:definition","Definition for Record Level http://rs.tdwg.org/dwc/terms/RecordLevel",""
"RecordLevel:notes","Notes for Record Level http://rs.tdwg.org/dwc/terms/RecordLevel",""
"Reference:label","Label for Reference http://rs.tdwg.org/dwc/terms/Reference","Referencia"
"Reference:definition","Definition for Reference http://rs.tdwg.org/dwc/terms/Reference",""
"Reference:notes","Notes for Reference http://rs.tdwg.org/dwc/terms/Reference",""
"ResourceRelationship:label","Label for Resource Relationship http://rs.tdwg.org/dwc/terms/ResourceRelationship",""
"ResourceRelationship:definition","Definition for Resource Relationship http://rs.tdwg.org/dwc/terms/ResourceRelationship",""
"ResourceRelationship:notes","Notes for Resource Relationship http://rs.tdwg.org/dwc/terms/ResourceRelationship",""
"Role:label","Label for Role http://rs.tdwg.org/dwc/terms/Role","Rol"
"Role:definition","Definition for Role http://rs.tdwg.org/dwc/terms/Role",""
"Role:notes","Notes for Role http://rs.tdwg.org/dwc/terms/Role",""
"SchemeMeasurementOrFact:label","Label for Scheme Measurement Or Fact http://rs.tdwg.org/dwc/terms/SchemeMeasurementOrFact",""
"SchemeMeasurementOrFact:definition","Definition for Scheme Measurement Or Fact http://rs.tdwg.org/dwc/terms/SchemeMeasurementOrFact","Tipo de medida o hecho utilizado por el LatimerCoreScheme, y las reglas relativas a su aplicación."
"SchemeMeasurementOrFact:notes","Notes for Scheme Measurement Or Fact http://rs.tdwg.org/dwc/terms/SchemeMeasurementOrFact","Esta clase puede utilizarse para especificar las métricas cualitativas y cuantitativas que se incluirán en el LatimerCoreScheme utilizando la clase MeasurementOrFact, y dictar si cada una será obligatoria y/o repetible. Esta información puede ser utilizada por el software y las consultas para restringir y validar el conjunto de datos Latimer Core, y determinar cómo y si las métricas pueden ser agregadas y reportadas. La propiedad schemeMeasurementType debe corresponderse con la propiedad measurementType de la clase MeasurementOrFact para establecer la asociación pertinente entre la definición del esquema y los datos almacenados."
"SchemeTerm:label","Label for Scheme Term http://rs.tdwg.org/dwc/terms/SchemeTerm",""
"SchemeTerm:definition","Definition for Scheme Term http://rs.tdwg.org/dwc/terms/SchemeTerm","Término del Latimer Core utilizado por el LatimerCoreScheme y las normas relativas a su aplicación."
"SchemeTerm:notes","Notes for Scheme Term http://rs.tdwg.org/dwc/terms/SchemeTerm",""
"StorageLocation:label","Label for Storage Location http://rs.tdwg.org/dwc/terms/StorageLocation",""
"StorageLocation:definition","Definition for Storage Location http://rs.tdwg.org/dwc/terms/StorageLocation",""
"Taxon:label","Label for Taxon http://rs.tdwg.org/dwc/terms/Taxon","Taxón"
"Taxon:definition","Definition for Taxon http://rs.tdwg.org/dwc/terms/Taxon",""
"TemporalCoverage:label","Label for Temporal Coverage http://rs.tdwg.org/dwc/terms/TemporalCoverage",""
"TemporalCoverage:definition","Definition for Temporal Coverage http://rs.tdwg.org/dwc/terms/TemporalCoverage",""
"TemporalCoverage:usage","Usage for Temporal Coverage http://rs.tdwg.org/dwc/terms/TemporalCoverage",""
"TemporalCoverage:notes","Notes for Temporal Coverage http://rs.tdwg.org/dwc/terms/TemporalCoverage",""
"addressType:label","Label for Address Type http://rs.tdwg.org/dwc/terms/addressType",""
"addressType:definition","Definition for Address Type http://rs.tdwg.org/dwc/terms/addressType","Una persona u organización puede tener diferentes direcciones, para diferentes propósitos. Por ejemplo, una dirección postal, una dirección para préstamos, una dirección para visitas, etc. Esta propiedad se utiliza para especificar el tipo de dirección."
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier","Esta propiedad se refiere a una o más instancias relacionadas de la clase Identificador."
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact","Tiene Medida o Hecho"
"hasMeasurementOrFact:definition","Definition for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
"hasReference:label","Label for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasReference:definition","Definition for Has Reference http://rs.tdwg.org/dwc/terms/hasReference",""
"hasIdentifier:label","Label for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasIdentifier:definition","Definition for Has Identifier http://rs.tdwg.org/dwc/terms/hasIdentifier",""
"hasMeasurementOrFact:label","Label for Has Measurement Or Fact http://rs.tdwg.org/dwc/terms/hasMeasurementOrFact",""
